DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;FT;DPTO;AREA;fex_c_2011
803409;1;2;1;90;;2;;1;2;2;2;2;2;2;2;1;;;42;;;;;;;;3;1;1;5;5;596.990.279.194.023
803409;1;3;1;90;;2;;2;1;2;2;2;2;2;2;2;;;;50;;;;;;;;1;1;5;5;596.990.279.194.023
803409;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;596.990.279.194.023
803409;1;5;1;90;;2;;2;2;2;2;2;2;2;2;1;;;;;;;;;;;30;1;1;5;5;596.990.279.194.023
803409;2;1;2;90;;2;;1;2;1;1;2;2;2;2;2;;;26;;10;10;;;;;;1;1;5;5;596.990.279.194.023
803409;2;2;2;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;596.990.279.194.023
803409;2;3;2;90;;2;;1;2;2;1;2;2;2;2;2;;;24;;;6;;;;;;1;1;5;5;596.990.279.194.023
803409;2;4;2;90;;2;;1;2;2;1;2;2;2;2;2;;;8;;;3;;;;;;1;1;5;5;596.990.279.194.023
803409;2;5;2;90;;1;;2;2;2;2;2;1;2;2;2;7;;;;;;;2;;;;1;1;5;5;596.990.279.194.023
803409;2;6;2;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;1;1;5;5;596.990.279.194.023
803410;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;883.957.855.050.243
803410;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;28;;;;;;;1;1;5;5;883.957.855.050.243
803411;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;1;1;5;5;819.797.140.576.471
803411;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;1;1;5;5;819.797.140.576.471
803411;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;1;1;5;5;819.797.140.576.471
803411;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;1;1;5;5;819.797.140.576.471
803412;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;1;1;5;5;706.224.567.456.494
803412;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;706.224.567.456.494
803413;1;1;1;90;;2;;2;2;1;2;2;1;2;2;2;;;;;28;;;2;;;;1;1;5;5;850.369.506.193.844
803413;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;54;;30;;;;;;;1;1;5;5;850.369.506.193.844
803414;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;24;;;;;;;;;1;1;5;5;65.577.309.557.793
803414;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;1;1;5;5;65.577.309.557.793
803414;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;65.577.309.557.793
803415;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;1;1;5;5;672.500.997.446.207
803415;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;54;;;;;;;;;1;1;5;5;672.500.997.446.207
803415;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;672.500.997.446.207
803415;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;1;1;5;5;672.500.997.446.207
803416;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;68.020.413.348.359
803416;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;50;;20;;;;;;;1;1;5;5;68.020.413.348.359
803416;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;68.020.413.348.359
803416;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;1;1;5;5;68.020.413.348.359
803417;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;218.483.243.761.826
803417;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;1;1;5;5;218.483.243.761.826
803417;1;3;1;90;;2;;1;2;2;2;2;2;2;2;1;;;4;;;;;;;;25;1;1;5;5;218.483.243.761.826
803418;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;1;1;5;5;792.011.587.941.054
803420;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;1;1;5;5;236.863.616.261.074
803421;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;651.234.139.751.394
803421;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;651.234.139.751.394
803421;1;3;1;90;;2;;1;2;1;2;2;2;2;2;2;;;2;;1;;;;;;;1;1;5;5;651.234.139.751.394
803421;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;651.234.139.751.394
803421;1;6;1;90;;2;;1;2;2;2;2;2;2;2;2;;;1;;;;;;;;;1;1;5;5;651.234.139.751.394
803421;1;7;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;651.234.139.751.394
803422;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;30;;;;;;;1;1;5;5;709.117.373.599.438
803422;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;3;;5;;;;;;;1;1;5;5;709.117.373.599.438
803423;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;201.077.427.733.209
803423;1;2;1;90;;2;;1;2;2;1;2;1;2;2;2;;;21;;;24;;2;;;;1;1;5;5;201.077.427.733.209
803424;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;5;;10;;;;;;;1;1;5;5;63.666.974.358.763
803424;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;1;1;5;5;63.666.974.358.763
803426;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;6;;;;;;;;;1;1;5;5;536.485.800.485.044
803426;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;536.485.800.485.044
803426;2;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;1;1;5;5;536.485.800.485.044
803426;2;2;2;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;1;1;5;5;536.485.800.485.044
803427;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;141.244.913.491.299
803427;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;25;;;;;;;;;1;1;5;5;141.244.913.491.299
803429;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;30;;;;;;;1;1;5;5;165.187.693.657.637
803430;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;5;;;;;;;1;1;5;5;113.326.312.072.723
803430;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;40;;;;;;;1;1;5;5;113.326.312.072.723
803431;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;6;;;;;;;1;1;5;5;140.751.673.410.471
803431;1;2;1;90;;2;;1;2;2;2;2;2;2;2;1;;;7;;;;;;;;10;1;1;5;5;140.751.673.410.471
803432;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;1;;;;;;;;;1;1;5;5;255.009.292.410.934
803432;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;1;1;5;5;255.009.292.410.934
803433;1;1;1;90;;2;;1;2;1;2;2;2;2;2;1;;;30;;45;;;;;;3;1;1;5;5;237.705.035.829.536
803434;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;1;1;5;5;201.077.427.733.209
803434;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;1;1;5;5;201.077.427.733.209
803435;1;1;1;90;;2;;2;2;1;2;2;2;2;2;1;;;;;5;;;;;;8;1;1;5;5;208.406.739.104.906
803435;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;21;;6;;;;;;;1;1;5;5;208.406.739.104.906
803435;1;3;1;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;28;;;;;;;1;1;5;5;208.406.739.104.906
803436;1;1;1;90;;2;;1;2;2;1;2;2;2;2;1;;;28;;;10;;;;;10;1;1;5;5;751.488.280.093.602
803436;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;28;;;;;;;;;1;1;5;5;751.488.280.093.602
803436;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;751.488.280.093.602
803436;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;1;1;5;5;751.488.280.093.602
803436;1;5;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;1;1;5;5;751.488.280.093.602
803436;1;6;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;1;1;5;5;751.488.280.093.602
803437;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;212.735.212.079.831
803437;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;15;;10;;;;;;;1;1;5;5;212.735.212.079.831
803438;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;909.456.031.811.709
803438;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;909.456.031.811.709
803438;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;1;1;5;5;909.456.031.811.709
803438;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;909.456.031.811.709
803438;1;6;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;909.456.031.811.709
803439;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;12;;;;;;;;;1;1;5;5;818.594.780.566.776
803439;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;818.594.780.566.776
803439;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;818.594.780.566.776
803439;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;818.594.780.566.776
803440;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;661.100.781.493.289
803440;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;10;;;;;;;1;1;5;5;661.100.781.493.289
803440;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;661.100.781.493.289
803441;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;920.350.935.801.512
803441;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;920.350.935.801.512
803443;1;1;1;90;;2;;1;2;2;1;2;2;2;2;2;;;15;;;10;;;;;;1;1;5;5;637.648.808.195.363
803443;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;637.648.808.195.363
803443;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;637.648.808.195.363
803443;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;637.648.808.195.363
803444;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;956.722.302.631.592
803444;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;1;1;5;5;956.722.302.631.592
803444;1;3;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;5;;;;;;;1;1;5;5;956.722.302.631.592
803444;2;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;1;1;5;5;956.722.302.631.592
803446;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;828.326.201.154.785
803446;1;2;1;90;;2;;1;2;2;1;2;1;2;2;2;;;10;;;10;;8;;;;1;1;5;5;828.326.201.154.785
803446;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;828.326.201.154.785
803447;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;1;1;5;5;417.110.431.144.085
803447;1;2;1;90;;2;;1;2;2;2;2;1;2;2;2;;;15;;;;;5;;;;1;1;5;5;417.110.431.144.085
803447;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;417.110.431.144.085
803447;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;417.110.431.144.085
803447;1;6;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;417.110.431.144.085
803448;1;1;1;90;;2;;1;2;2;1;2;2;2;2;2;;;6;;;20;;;;;;1;1;5;5;194.461.554.208.331
803449;1;1;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;5;;;;1;1;5;5;765.903.079.720.077
803449;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;10;;;;;;;1;1;5;5;765.903.079.720.077
803449;1;3;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;4;;;;1;1;5;5;765.903.079.720.077
803450;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;644.956.659.125.666
803450;1;2;1;90;;2;;2;2;2;2;2;2;1;1;2;;;;;;;;;20;2;;1;1;5;5;644.956.659.125.666
803450;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;644.956.659.125.666
803450;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;644.956.659.125.666
803451;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;709.117.373.599.438
803451;2;1;2;90;;2;;1;2;1;2;2;1;2;2;2;;;15;;10;;;3;;;;1;1;5;5;709.117.373.599.438
803453;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;95.638.377.114.086
803453;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;95.638.377.114.086
803453;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;1;1;5;5;95.638.377.114.086
803453;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;95.638.377.114.086
803454;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;854.987.861.318.046
803454;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;1;1;5;5;854.987.861.318.046
803454;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;854.987.861.318.046
803454;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;854.987.861.318.046
803455;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;566.631.560.363.613
803455;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;10;;;;;;;1;1;5;5;566.631.560.363.613
803456;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;1;1;5;5;792.011.587.941.054
803457;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;830.113.033.738.488
803457;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;830.113.033.738.488
803457;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;830.113.033.738.488
803457;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;830.113.033.738.488
803457;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;830.113.033.738.488
803457;1;6;1;90;;2;;1;2;1;2;2;2;2;2;2;;;6;;20;;;;;;;1;1;5;5;830.113.033.738.488
803459;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;1;1;5;5;237.603.476.382.316
803460;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;96.360.354.782.309
803460;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;96.360.354.782.309
803460;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;96.360.354.782.309
803460;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;96.360.354.782.309
803462;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;728.277.479.206.087
803462;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;728.277.479.206.087
803462;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;728.277.479.206.087
803463;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;745.431.986.813.168
803463;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;1;1;5;5;745.431.986.813.168
803463;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;745.431.986.813.168
803463;1;4;1;90;;2;;1;1;1;2;2;2;2;2;2;;;20;5;10;;;;;;;1;1;5;5;745.431.986.813.168
803464;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;157.451.602.332.593
803465;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;1;1;5;5;169.055.479.685.004
803465;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;169.055.479.685.004
803466;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;134.051.618.488.806
803466;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;6;;;;;;;;;1;1;5;5;134.051.618.488.806
803467;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;134.051.618.488.806
803467;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;134.051.618.488.806
803468;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;211.867.370.236.948
803468;1;2;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;2;;;;1;1;5;5;211.867.370.236.948
803469;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;244.192.927.632.772
803469;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;12;;;;;;;;;1;1;5;5;244.192.927.632.772
803470;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;249.923.933.229.862
803470;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;249.923.933.229.862
803470;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;249.923.933.229.862
803471;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;854.987.861.318.046
803471;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;25;;;;;;;;;1;1;5;5;854.987.861.318.046
803471;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;854.987.861.318.046
803471;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;854.987.861.318.046
803472;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;10;;;;;;;1;1;5;5;835.884.509.327.746
803472;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;35;;15;;;;;;;1;1;5;5;835.884.509.327.746
803472;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;835.884.509.327.746
803473;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;615.683.970.693.843
803473;1;2;1;90;;2;;1;2;2;2;2;2;2;2;1;;;15;;;;;;;;3;1;1;5;5;615.683.970.693.843
803473;2;1;2;90;;2;;1;2;2;2;2;2;2;2;1;;;15;;;;;;;;2;1;1;5;5;615.683.970.693.843
803475;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;254.269.432.289.692
803475;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;16;;;;;;;;;1;1;5;5;254.269.432.289.692
803476;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;737.864.071.929.673
803476;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;24;;20;;;;;;;1;1;5;5;737.864.071.929.673
803477;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;10;;;;;;;1;1;5;5;833.079.777.432.875
803477;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;18;;22;;;;;;;1;1;5;5;833.079.777.432.875
803477;1;3;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;2;;;;1;1;5;5;833.079.777.432.875
803478;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;799.491.428.576.476
803478;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;1;1;5;5;799.491.428.576.476
803478;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;799.491.428.576.476
803479;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;9;;;;;;;1;1;5;5;813.976.425.442.574
803479;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;15;;20;;;;;;;1;1;5;5;813.976.425.442.574
803480;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;648.205.180.694.435
803481;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;18;;;;;;;;;1;1;5;5;706.224.567.456.494
803481;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;706.224.567.456.494
803482;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;10;;;;;;;1;1;5;5;636.612.989.971.281
803482;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;15;;;;;;;1;1;5;5;636.612.989.971.281
803483;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;775.060.390.670.816
803483;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;775.060.390.670.816
803484;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;20;;;;;;;1;1;5;5;622.184.746.721.532
