DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;DSI;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DPTO;fex_c_2011
503419;1;2;11;70;152;48;1; ;1;2;2;152;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;85;37;7411;74;11;2699,74115784797
503420;1;3;11;70;12;55;1; ;2;2;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3200000;1;39;45;5233;52;11;2497,71903975424
503421;1;4;11;70;24;48;1; ;2;2;2;48;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;50000;1;200000;1;15;15;8511;85;11;1381,48003331998
503422;1;3;11;70;60;48;1; ;1;1;2;120;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;37;95;1741;17;11;2644,11737158702
503423;1;3;11;70;24;48;1; ;1;1;2;1;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;6000000;1;03;32;5125;51;11;2030,83519979756
503423;1;4;11;70;48;48;1; ;1;1;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;6000000;1;33;00;5249;52;11;2030,83519979756
503425;1;2;11;70;50;48;1; ;1;1;2;50;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;37;16;9242;92;11;2799,89752081234
503428;1;1;11;70;12;60;1; ;1;1;2;16;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;1;79;79;1810;18;11;1988,811964595
503428;1;4;11;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;03; ; ; ;11;1988,811964595
503428;1;5;11;70;40;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;37; ; ; ;11;1988,811964595
503435;1;3;11;70;192;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;11;2232,99616523077
503441;1;5;11;70;56;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;11;2601,41626908679
