directorio;secuencia_p;orden;p6020;p6040;mes;area;clase;DPTO;fex_c_2011
12582;1;1;1;54;04;17;1;17;73,3756279571782
12582;1;2;2;83;04;17;1;17;73,3756279571782
12582;1;3;1;55;04;17;1;17;73,3756279571782
12583;1;1;1;34;04;17;1;17;519,125550660793
12583;1;2;2;34;04;17;1;17;519,125550660793
12583;1;3;1;15;04;17;1;17;519,125550660793
12583;1;4;1;9;04;17;1;17;519,125550660793
12599;1;1;2;39;04;23;1;23;326,343720450516
12599;1;2;2;15;04;23;1;23;326,343720450516
12599;1;3;1;20;04;23;1;23;326,343720450516
12601;1;1;2;43;04;70;1;70;127,70854579044
12601;1;2;2;23;04;70;1;70;127,70854579044
12601;1;3;2;22;04;70;1;70;127,70854579044
12601;1;4;2;65;04;70;1;70;127,70854579044
12604;1;1;1;68;04;70;1;70;144,972093658419
12604;1;2;2;70;04;70;1;70;144,972093658419
12604;1;3;1;18;04;70;1;70;144,972093658419
12615;1;1;2;61;04;70;1;70;179,578337817345
12615;1;2;1;34;04;70;1;70;179,578337817345
12615;1;3;1;40;04;70;1;70;179,578337817345
12615;1;4;2;21;04;70;1;70;179,578337817345
12615;1;5;1;4;04;70;1;70;179,578337817345
12615;1;6;1;95;04;70;1;70;179,578337817345
12615;1;7;1;17;04;70;1;70;179,578337817345
12621;1;1;2;51;04;17;1;17;86,9469026317363
12627;1;1;1;36;04;17;1;17;90,3132864055912
12627;1;2;2;42;04;17;1;17;90,3132864055912
12629;1;1;1;49;04;19;1;19;60,1690677903604
12629;1;2;1;20;04;19;1;19;60,1690677903604
12629;1;3;1;18;04;19;1;19;60,1690677903604
12629;1;4;2;70;04;19;1;19;60,1690677903604
12634;1;1;2;47;04;70;1;70;156,144041300842
12636;1;1;1;31;04;17;1;17;111,052059262159
12636;1;2;2;61;04;17;1;17;111,052059262159
12638;1;1;2;51;04;19;1;19;93,6659647017045
12638;1;2;1;34;04;19;1;19;93,6659647017045
12638;1;3;2;26;04;19;1;19;93,6659647017045
12638;1;4;1;9;04;19;1;19;93,6659647017045
12638;1;5;1;1;04;19;1;19;93,6659647017045
12640;1;1;1;71;04;70;1;70;74,2662147119771
12640;1;2;2;58;04;70;1;70;74,2662147119771
12642;1;1;1;57;04;70;1;70;136,225188101123
12642;1;2;2;53;04;70;1;70;136,225188101123
12642;1;3;2;29;04;70;1;70;136,225188101123
12645;1;1;1;51;04;63;1;63;191,809892452343
12645;1;2;2;43;04;63;1;63;191,809892452343
12645;1;3;1;17;04;63;1;63;191,809892452343
12645;1;4;2;10;04;63;1;63;191,809892452343
12646;1;1;1;55;04;63;1;63;177,70518438089
12646;1;2;2;71;04;63;1;63;177,70518438089
12646;1;3;1;38;04;63;1;63;177,70518438089
12646;1;4;1;11;04;63;1;63;177,70518438089
12648;1;1;2;44;04;70;1;70;90,9833240418381
12648;1;2;2;21;04;70;1;70;90,9833240418381
12648;1;3;2;15;04;70;1;70;90,9833240418381
12648;1;4;2;8;04;70;1;70;90,9833240418381
12648;1;5;2;68;04;70;1;70;90,9833240418381
12651;1;1;1;72;04;63;1;63;63,9795342829626
12651;1;2;2;67;04;63;1;63;63,9795342829626
12656;1;1;2;54;04;63;1;63;78,2081887586442
12656;1;2;1;34;04;63;1;63;78,2081887586442
12661;1;1;1;24;04;23;1;23;228,544534675789
12662;1;1;2;77;04;23;1;23;156,789573141574
12662;1;2;2;31;04;23;1;23;156,789573141574
12663;1;1;1;37;04;17;1;17;268,123274788565
12664;1;1;2;57;04;23;1;23;235,985425294035
12664;1;2;1;29;04;23;1;23;235,985425294035
12664;1;3;2;27;04;23;1;23;235,985425294035
12664;1;4;1;4;04;23;1;23;235,985425294035
12664;1;5;2;1;04;23;1;23;235,985425294035
12666;1;1;2;60;04;23;1;23;156,789573141574
12666;1;2;2;27;04;23;1;23;156,789573141574
12670;1;1;1;33;04;11;1;11;4716,12274926342
12670;1;2;2;34;04;11;1;11;4716,12274926342
12670;1;3;1;4;04;11;1;11;4716,12274926342
12670;1;4;1;0;04;11;1;11;4716,12274926342
12671;1;1;1;27;04;63;1;63;172,24138977063
12672;1;1;1;61;04;11;1;11;3764,83995829261
12672;1;2;2;51;04;11;1;11;3764,83995829261
12674;1;1;1;71;04;76;1;76;1284,38514951468
12675;1;1;2;66;04;63;1;63;141,058391905206
12676;1;1;2;32;04;23;1;23;153,726274712921
12676;1;2;2;15;04;23;1;23;153,726274712921
12676;1;3;1;8;04;23;1;23;153,726274712921
12676;1;4;1;5;04;23;1;23;153,726274712921
12677;1;1;2;55;04;19;1;19;91,4144414553587
12677;1;2;1;54;04;19;1;19;91,4144414553587
12677;1;3;2;37;04;19;1;19;91,4144414553587
12679;1;1;1;38;04;70;1;70;217,293135976313
12679;1;2;2;38;04;70;1;70;217,293135976313
12679;1;3;1;16;04;70;1;70;217,293135976313
12679;1;4;1;13;04;70;1;70;217,293135976313
12681;1;1;1;38;04;70;1;70;85,1336253135877
12681;1;2;2;32;04;70;1;70;85,1336253135877
12681;1;3;1;12;04;70;1;70;85,1336253135877
12681;1;4;1;9;04;70;1;70;85,1336253135877
12683;1;1;2;71;04;13;1;13;141,945382180017
12683;1;2;2;47;04;13;1;13;141,945382180017
12683;1;3;2;40;04;13;1;13;141,945382180017
12683;1;4;1;11;04;13;1;13;141,945382180017
12684;1;1;1;62;04;70;1;70;138,662362255616
12684;1;2;2;65;04;70;1;70;138,662362255616
12684;1;3;1;34;04;70;1;70;138,662362255616
12686;1;1;2;73;04;70;1;70;81,6978196553274
12686;1;2;2;34;04;70;1;70;81,6978196553274
12689;1;1;1;26;04;70;1;70;195,880424830295
12689;1;2;2;24;04;70;1;70;195,880424830295
12690;1;1;2;72;04;76;1;76;1479,44073153944
12690;1;2;1;51;04;76;1;76;1479,44073153944
12694;1;1;2;50;04;70;1;70;192,332904480394
12694;1;2;1;25;04;70;1;70;192,332904480394
12694;1;3;1;14;04;70;1;70;192,332904480394
12696;1;1;1;29;04;23;1;23;192,562070808415
12696;1;2;2;37;04;23;1;23;192,562070808415
12696;1;3;2;1;04;23;1;23;192,562070808415
12699;1;1;1;33;04;11;1;11;4027,71706765083
12699;1;2;2;28;04;11;1;11;4027,71706765083
12699;1;3;2;7;04;11;1;11;4027,71706765083
12699;1;4;1;5;04;11;1;11;4027,71706765083
12700;1;1;1;51;04;73;1;73;149,296916578951
12700;1;2;2;49;04;73;1;73;149,296916578951
12700;1;3;1;24;04;73;1;73;149,296916578951
12702;1;1;2;70;04;76;1;76;1479,44073153944
12702;1;2;1;45;04;76;1;76;1479,44073153944
12704;1;1;1;72;04;17;1;17;137,41838142506
12704;1;2;2;59;04;17;1;17;137,41838142506
12713;1;1;1;72;04;70;1;70;73,791674334313
12713;1;2;2;52;04;70;1;70;73,791674334313
12713;1;3;2;23;04;70;1;70;73,791674334313
12715;1;1;2;77;04;17;1;17;154,377242083127
12715;1;2;2;58;04;17;1;17;154,377242083127
12715;1;3;1;21;04;17;1;17;154,377242083127
12717;1;1;1;39;04;68;1;68;463,493420248765
12717;1;2;2;35;04;68;1;68;463,493420248765
12717;1;3;1;17;04;68;1;68;463,493420248765
12717;1;4;2;16;04;68;1;68;463,493420248765
12719;1;1;2;50;04;11;1;11;3505,42778479191
12719;1;2;1;30;04;11;1;11;3505,42778479191
12719;1;3;1;25;04;11;1;11;3505,42778479191
12719;1;4;2;19;04;11;1;11;3505,42778479191
12720;1;1;1;43;04;11;1;11;1735,254576949
12720;1;2;2;40;04;11;1;11;1735,254576949
12720;1;3;1;21;04;11;1;11;1735,254576949
12720;1;4;1;18;04;11;1;11;1735,254576949
12720;1;5;1;12;04;11;1;11;1735,254576949
12721;1;1;2;27;04;11;1;11;2461,15662693098
12721;1;2;1;29;04;11;1;11;2461,15662693098
12723;1;1;1;36;04;63;1;63;99,8908493568853
12723;1;2;2;68;04;63;1;63;99,8908493568853
12723;1;3;2;20;04;63;1;63;99,8908493568853
12727;1;1;1;44;04;13;1;13;511,060970471449
12727;1;2;2;43;04;13;1;13;511,060970471449
12727;1;3;2;17;04;13;1;13;511,060970471449
12727;1;4;1;10;04;13;1;13;511,060970471449
12728;1;1;2;67;04;63;1;63;37,4395267633896
12728;1;2;2;35;04;63;1;63;37,4395267633896
12729;1;1;2;28;04;05;1;05;2454,70417560858
12729;1;2;2;8;04;05;1;05;2454,70417560858
12730;1;1;2;47;04;13;1;13;222,156890833767
12730;1;2;1;50;04;13;1;13;222,156890833767
12730;1;3;1;84;04;13;1;13;222,156890833767
12731;1;1;1;56;04;11;1;11;1451,0718201198
12731;1;2;2;40;04;11;1;11;1451,0718201198
12731;1;3;1;20;04;11;1;11;1451,0718201198
12731;1;4;2;16;04;11;1;11;1451,0718201198
12733;1;1;2;60;04;63;1;63;80,3183111487597
12733;1;2;2;14;04;63;1;63;80,3183111487597
12733;1;3;1;67;04;63;1;63;80,3183111487597
12734;1;1;1;55;04;20;1;20;275,133921647452
12734;1;2;2;50;04;20;1;20;275,133921647452
12734;1;3;1;26;04;20;1;20;275,133921647452
12734;1;4;2;26;04;20;1;20;275,133921647452
12735;1;1;1;40;04;63;1;63;204,011824641779
12735;1;2;1;16;04;63;1;63;204,011824641779
12741;1;1;2;67;04;63;1;63;109,712082592938
12742;1;1;2;19;04;63;1;63;157,186812377952
12743;1;1;2;54;04;52;1;52;299,504464161252
12743;1;2;1;27;04;52;1;52;299,504464161252
12743;1;3;1;10;04;52;1;52;299,504464161252
12743;1;4;1;9;04;52;1;52;299,504464161252
12744;1;1;2;34;04;50;1;50;301,304036809866
12744;1;2;2;17;04;50;1;50;301,304036809866
12744;1;3;2;15;04;50;1;50;301,304036809866
12744;1;4;2;13;04;50;1;50;301,304036809866
12744;1;5;1;8;04;50;1;50;301,304036809866
12745;1;1;1;54;04;05;1;05;916,584533960834
12746;1;1;1;51;04;70;1;70;97,6512041738223
12746;1;2;2;51;04;70;1;70;97,6512041738223
12746;1;3;1;16;04;70;1;70;97,6512041738223
12746;1;4;2;13;04;70;1;70;97,6512041738223
12747;1;1;2;53;04;63;1;63;64,1932788473904
12747;1;2;2;33;04;63;1;63;64,1932788473904
12747;1;3;1;17;04;63;1;63;64,1932788473904
12747;1;4;2;13;04;63;1;63;64,1932788473904
12748;1;1;1;28;04;11;1;11;4815,37466352505
12749;1;1;2;34;04;13;1;13;267,132574898727
12749;1;2;1;35;04;13;1;13;267,132574898727
12749;1;3;2;3;04;13;1;13;267,132574898727
12749;1;4;2;19;04;13;1;13;267,132574898727
12750;1;1;1;32;04;47;1;47;167,957067513845
12750;1;2;2;21;04;47;1;47;167,957067513845
12751;1;1;1;53;04;63;1;63;75,4983657642766
12751;1;2;2;51;04;63;1;63;75,4983657642766
12751;1;3;1;21;04;63;1;63;75,4983657642766
12751;1;4;1;14;04;63;1;63;75,4983657642766
12751;1;5;2;26;04;63;1;63;75,4983657642766
12752;1;1;1;30;04;63;1;63;242,533715168467
12752;1;2;2;27;04;63;1;63;242,533715168467
12752;1;3;2;5;04;63;1;63;242,533715168467
12752;1;4;1;60;04;63;1;63;242,533715168467
12753;1;1;1;47;04;63;1;63;71,1267782948387
12753;1;2;2;41;04;63;1;63;71,1267782948387
12753;1;3;2;21;04;63;1;63;71,1267782948387
12755;1;1;1;45;04;70;1;70;250,933698204848
12757;1;1;1;68;04;73;1;73;227,245277768608
12757;1;2;2;61;04;73;1;73;227,245277768608
12758;1;1;1;65;04;52;1;52;181,32088986947
12758;1;2;2;41;04;52;1;52;181,32088986947
12758;1;3;1;22;04;52;1;52;181,32088986947
12760;1;1;2;23;04;47;1;47;185,228273321675
12760;1;2;1;62;04;47;1;47;185,228273321675
12760;1;3;1;26;04;47;1;47;185,228273321675
12760;1;4;2;25;04;47;1;47;185,228273321675
12760;1;5;1;51;04;47;1;47;185,228273321675
12760;1;6;2;18;04;47;1;47;185,228273321675
12760;1;7;2;1;04;47;1;47;185,228273321675
12760;1;8;2;82;04;47;1;47;185,228273321675
12765;1;1;1;56;04;70;1;70;89,3488513677686
12765;1;2;2;58;04;70;1;70;89,3488513677686
12767;1;1;1;29;04;50;1;50;195,558240437195
12767;1;2;2;27;04;50;1;50;195,558240437195
12767;1;3;1;4;04;50;1;50;195,558240437195
12768;1;1;2;73;04;19;1;19;49,2950205793409
12768;1;2;2;72;04;19;1;19;49,2950205793409
12768;1;3;1;49;04;19;1;19;49,2950205793409
12769;1;1;2;46;04;63;1;63;46,2877651501169
12769;1;2;1;48;04;63;1;63;46,2877651501169
12769;1;3;1;13;04;63;1;63;46,2877651501169
12770;1;1;1;66;04;68;1;68;224,843255948659
12770;1;2;2;58;04;68;1;68;224,843255948659
12770;1;3;2;34;04;68;1;68;224,843255948659
12770;1;4;2;23;04;68;1;68;224,843255948659
12771;1;1;1;29;04;11;1;11;5817,81354216232
12771;1;2;2;27;04;11;1;11;5817,81354216232
12771;1;3;1;8;04;11;1;11;5817,81354216232
12771;1;4;2;1;04;11;1;11;5817,81354216232
12773;1;1;1;40;04;54;1;54;169,719342091547
12773;1;2;2;38;04;54;1;54;169,719342091547
12773;1;3;1;17;04;54;1;54;169,719342091547
12773;1;4;1;8;04;54;1;54;169,719342091547
12774;1;1;2;30;04;68;1;68;974,132030576817
12774;1;2;1;38;04;68;1;68;974,132030576817
12774;1;3;2;15;04;68;1;68;974,132030576817
12774;1;4;1;10;04;68;1;68;974,132030576817
12774;1;5;2;2;04;68;1;68;974,132030576817
12776;1;1;2;78;04;73;1;73;248,6133008751
12777;1;1;2;61;04;11;1;11;1942,76151643438
12777;1;2;1;41;04;11;1;11;1942,76151643438
12777;1;3;2;30;04;11;1;11;1942,76151643438
12779;1;1;2;58;04;11;1;11;1481,89945415989
12779;1;2;2;34;04;11;1;11;1481,89945415989
12779;1;3;1;4;04;11;1;11;1481,89945415989
12780;1;1;2;68;04;63;1;63;40,8326923936122
12781;1;1;1;63;04;73;1;73;265,502277961508
12781;1;2;2;56;04;73;1;73;265,502277961508
12781;1;3;1;19;04;73;1;73;265,502277961508
12782;1;1;2;55;04;52;1;52;200,083152236236
12782;1;2;1;36;04;52;1;52;200,083152236236
12783;1;1;1;30;04;70;1;70;94,0804996106095
12783;1;2;2;21;04;70;1;70;94,0804996106095
12784;1;1;1;64;04;47;1;47;69,3615358244761
12784;1;2;2;63;04;47;1;47;69,3615358244761
12784;1;3;2;36;04;47;1;47;69,3615358244761
12784;1;4;2;19;04;47;1;47;69,3615358244761
12784;1;5;1;15;04;47;1;47;69,3615358244761
12784;1;6;2;30;04;47;1;47;69,3615358244761
12784;1;7;1;9;04;47;1;47;69,3615358244761
12784;1;8;2;6;04;47;1;47;69,3615358244761
12784;1;9;2;30;04;47;1;47;69,3615358244761
12785;1;1;1;0;04;17;1;17;260,936123348018
12786;1;1;2;39;04;13;1;13;264,690171820221
12786;1;2;1;40;04;13;1;13;264,690171820221
12786;1;3;1;7;04;13;1;13;264,690171820221
12786;1;4;2;21;04;13;1;13;264,690171820221
12786;1;5;1;3;04;13;1;13;264,690171820221
12787;1;1;1;65;04;63;1;63;142,299309008658
12787;1;2;2;64;04;63;1;63;142,299309008658
12788;1;1;1;44;04;50;1;50;339,357118668684
12790;1;1;2;56;04;19;1;19;90,6704865133705
12791;1;1;1;68;04;73;1;73;198,819862388975
12791;1;2;1;65;04;73;1;73;198,819862388975
12791;1;3;2;18;04;73;1;73;198,819862388975
12792;1;1;1;32;04;11;1;11;2175,22290046966
12792;1;2;2;33;04;11;1;11;2175,22290046966
12792;1;3;1;2;04;11;1;11;2175,22290046966
12793;1;1;1;63;04;76;1;76;710,011680235939
12793;1;2;2;60;04;76;1;76;710,011680235939
12793;1;3;2;57;04;76;1;76;710,011680235939
12795;1;1;2;51;04;63;1;63;250,528350618258
12795;1;2;2;22;04;63;1;63;250,528350618258
12795;1;3;1;20;04;63;1;63;250,528350618258
12795;1;4;2;11;04;63;1;63;250,528350618258
12796;1;1;1;31;04;05;1;05;2986,44966504815
12796;1;2;2;29;04;05;1;05;2986,44966504815
12796;1;3;1;12;04;05;1;05;2986,44966504815
12796;1;4;1;5;04;05;1;05;2986,44966504815
12796;1;5;2;2;04;05;1;05;2986,44966504815
12798;1;1;1;53;04;63;1;63;73,2461161764196
12798;1;2;2;50;04;63;1;63;73,2461161764196
12800;1;1;1;45;04;19;1;19;137,344624235368
12800;1;2;2;85;04;19;1;19;137,344624235368
12800;1;3;2;42;04;19;1;19;137,344624235368
12801;1;1;1;46;04;20;1;20;407,173878544454
12801;1;2;2;26;04;20;1;20;407,173878544454
12801;1;3;2;4;04;20;1;20;407,173878544454
12801;1;4;1;0;04;20;1;20;407,173878544454
12802;1;1;2;74;04;17;1;17;83,515521413599
12803;2;1;1;61;04;68;1;68;230,835105028964
12803;2;2;2;56;04;68;1;68;230,835105028964
12803;2;3;1;32;04;68;1;68;230,835105028964
12805;1;1;2;60;04;41;1;41;175,24848317721
12805;1;2;1;39;04;41;1;41;175,24848317721
12805;1;3;1;30;04;41;1;41;175,24848317721
12805;1;4;2;22;04;41;1;41;175,24848317721
12806;3;1;2;14;04;50;1;50;370,188668347439
12806;3;2;2;34;04;50;1;50;370,188668347439
12806;3;3;1;7;04;50;1;50;370,188668347439
12807;1;1;2;69;04;19;1;19;156,907043219566
12810;1;1;1;48;04;19;1;19;63,0936343155629
12811;1;1;2;41;04;13;1;13;209,909459223892
12811;1;2;1;58;04;13;1;13;209,909459223892
12811;1;3;1;15;04;13;1;13;209,909459223892
12811;1;4;2;9;04;13;1;13;209,909459223892
12812;1;1;2;66;04;70;1;70;153,55724748483
12812;1;2;2;49;04;70;1;70;153,55724748483
12812;1;3;1;25;04;70;1;70;153,55724748483
12812;1;4;2;22;04;70;1;70;153,55724748483
12812;1;5;2;19;04;70;1;70;153,55724748483
12813;1;1;1;82;04;11;1;11;1484,58318383859
12813;1;2;2;65;04;11;1;11;1484,58318383859
12813;1;3;1;42;04;11;1;11;1484,58318383859
12813;1;4;1;39;04;11;1;11;1484,58318383859
12814;1;1;1;54;04;63;1;63;109,524006690829
12814;1;2;2;55;04;63;1;63;109,524006690829
12814;1;3;2;28;04;63;1;63;109,524006690829
12814;1;4;2;7;04;63;1;63;109,524006690829
12815;1;1;2;57;04;13;1;13;581,13003813563
12815;1;2;1;55;04;13;1;13;581,13003813563
12815;1;3;1;29;04;13;1;13;581,13003813563
12816;1;1;1;43;04;19;1;19;200,730649106547
12816;1;2;2;43;04;19;1;19;200,730649106547
12816;1;3;1;25;04;19;1;19;200,730649106547
12816;1;4;2;8;04;19;1;19;200,730649106547
12817;1;1;2;54;04;76;1;76;1434,42596197834
12817;1;2;1;30;04;76;1;76;1434,42596197834
12818;1;1;1;57;04;63;1;63;132,092636770662
12818;1;2;2;56;04;63;1;63;132,092636770662
12818;1;3;1;14;04;63;1;63;132,092636770662
12821;1;1;2;52;04;52;1;52;164,153107336341
12822;1;1;2;65;04;19;1;19;156,907043219566
12823;1;1;2;56;04;11;1;11;2512,19161607894
12823;1;2;2;29;04;11;1;11;2512,19161607894
12823;1;3;1;27;04;11;1;11;2512,19161607894
12825;1;1;2;91;04;54;1;54;106,755024594812
12825;1;2;1;74;04;54;1;54;106,755024594812
12825;1;3;2;70;04;54;1;54;106,755024594812
12826;1;1;1;59;04;05;1;05;1861,6119026294
12826;1;2;2;59;04;05;1;05;1861,6119026294
12826;1;3;1;37;04;05;1;05;1861,6119026294
12826;1;4;2;29;04;05;1;05;1861,6119026294
12826;1;5;2;9;04;05;1;05;1861,6119026294
12826;1;6;2;32;04;05;1;05;1861,6119026294
12826;1;7;1;40;04;05;1;05;1861,6119026294
12826;1;8;1;0;04;05;1;05;1861,6119026294
12829;1;1;1;77;04;54;1;54;511,004811098746
12830;1;1;1;76;04;52;1;52;141,812335076213
12830;1;2;2;73;04;52;1;52;141,812335076213
12830;1;3;2;35;04;52;1;52;141,812335076213
12833;1;1;1;71;04;70;1;70;66,5989178321306
12833;1;2;2;61;04;70;1;70;66,5989178321306
12833;1;3;1;47;04;70;1;70;66,5989178321306
12835;1;1;2;63;04;63;1;63;114,560565073616
12835;1;2;2;65;04;63;1;63;114,560565073616
12837;1;1;2;35;04;76;1;76;1405,40376878186
12837;1;2;1;14;04;76;1;76;1405,40376878186
12837;1;3;1;7;04;76;1;76;1405,40376878186
12837;1;4;1;3;04;76;1;76;1405,40376878186
12839;1;1;1;83;04;41;1;41;26,2591523848462
12839;1;2;2;88;04;41;1;41;26,2591523848462
12841;1;1;2;56;04;19;1;19;87,9103920315389
12841;1;2;1;60;04;19;1;19;87,9103920315389
12842;1;1;1;49;04;54;1;54;311,5239138107
12842;1;2;2;46;04;54;1;54;311,5239138107
12844;1;1;2;53;04;47;1;47;94,3520891730006
12844;1;2;2;23;04;47;1;47;94,3520891730006
12844;1;3;2;2;04;47;1;47;94,3520891730006
12844;1;4;2;96;04;47;1;47;94,3520891730006
12844;1;5;2;56;04;47;1;47;94,3520891730006
