DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
6050761;1;1;1;70;2;6;48;500000;1;;2;8;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;1;12;5611;17;577.94483989
6050761;1;2;1;70;2;8;50;600000;8;;2;8;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;12;0123;17;577.94483989
6050805;1;2;1;70;2;72;40;3000000;1;;2;72;1;;5;2;1;;2;;;;;;;;;;;1;2;;42;02;02;1;2;12;4290;19;1222.4461923
6050814;1;5;1;70;2;152;40;450000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;12;;19;2938.8624436
6050825;1;3;1;70;2;32;40;600000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;12;;19;3442.7084966
6050826;1;2;1;70;2;5;40;908560;4;;2;42;1;;5;2;1;;2;;;;;;;;;;;1;2;;10;61;77;1;1;12;1040;19;3442.7084966
6050837;1;2;1;70;2;4;35;908526;3;;2;156;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;12;9700;19;1429.1914831
6050849;1;1;1;70;2;52;40;950000;2;;2;54;4;;9;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;2;12;8530;19;3418.8258818
6050881;1;3;1;70;2;75;40;908526;3;;2;75;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;19;860.67712415
6050888;1;2;1;70;2;2;40;600000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;12;;19;1631.9927364
6050894;1;3;1;70;2;4;40;800000;4;;2;4;4;;2;2;1;;2;;;;;;;;;;;1;1;450000;41;95;95;1;1;12;4111;19;1631.9927364
6050894;2;2;2;70;2;4;40;900000;1;;2;52;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;57;45;1;1;12;4719;19;1631.9927364
6050905;1;3;1;70;2;12;40;908526;1;;2;12;1;;2;2;5;;2;;;;;;;;;;;1;2;;96;57;57;1;1;12;9602;19;1252.8319898
6051110;1;3;1;70;2;8;48;1300000;1;;2;8;1;;9;2;7;;2;;;;;;;;;;;1;2;;47;97;97;1;1;12;4792;05;1514.5171844
6051112;1;1;1;70;2;48;48;909000;1;;2;52;1;;6;2;2;;2;;;;;;;;;;;1;2;;10;45;77;1;2;12;1081;05;1097.0346104
6051115;1;4;1;70;2;20;20;1300000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;11;;1;2;12;;05;887.90971845
6051116;1;1;1;70;2;104;48;1400000;1;;2;104;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;12;4711;05;887.90971845
6051185;1;3;1;70;2;2;48;1000000;1;;2;2;1;;9;2;1;;2;;;;;;;;;;;1;1;1400000;01;97;97;1;1;12;0125;05;1954.5888828
6051191;1;1;1;70;2;4;48;908000;1;;2;8;1;;9;2;4;;2;;;;;;;;;;;1;2;;01;97;97;1;1;12;0125;05;4052.0173111
6051234;1;3;1;70;2;12;48;908526;4;;1;;;;;;;;;;.;.;;;;;;;;;;.;;34;;1;1;12;;44;1560.2627454
6051249;1;2;1;70;2;100;50;400000;1;;2;100;1;;9;2;1;;2;;;;;;;;;;;1;2;;80;58;58;1;2;12;8010;44;1621.9737968
6051253;1;1;1;70;2;4;60;600000;1;;2;4;1;;8;2;1;;2;;;;;;;;;;;1;1;1200000;47;45;45;1;1;12;4711;44;1081.0220822
6051253;1;2;1;70;2;6;20;350000;4;;2;8;4;;3;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;1;12;5619;44;1081.0220822
6051287;1;2;1;70;2;104;48;1000000;1;;2;104;8;;8;2;1;;2;;;;;;;;;;;1;2;;01;53;60;1;2;12;0126;50;818.6417162
6051295;1;1;1;70;2;2;45;900000;4;;2;2;4;;1;2;1;;2;;;;;;;;;;;1;1;900000;01;62;62;1;1;12;0161;50;638.8656846
6051586;1;2;1;70;2;24;48;1200000;1;;2;52;1;;6;2;1;;2;;;;;;;;;;;1;2;;41;05;39;1;2;12;4111;05;5217.0765793
6051614;1;1;1;70;2;24;48;1200000;1;;2;24;1;;9;2;1;;2;;;;;;;;;;;1;2;;06;58;58;1;2;12;0610;05;7818.3555313
6051636;1;2;1;70;2;52;48;1000000;1;;2;52;1;;3;2;1;;2;;;;;;;;;;;1;2;;69;32;32;1;2;12;6910;73;2369.957712
6051746;1;4;1;70;2;52;48;1000000;1;;2;52;1;;8;2;1;;2;;;;;;;;;;;1;2;;42;53;59;1;2;12;4290;73;2763.1141855
6051750;1;1;1;70;2;12;48;600000;4;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;12;0145;73;4309.2220197
6051750;1;2;1;70;2;28;24;250000;4;;2;28;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;2;12;0145;73;4309.2220197
6051754;1;1;1;70;2;8;48;800000;1;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;03;77;64;1;1;12;0312;73;4309.2220197
6051786;1;2;1;70;2;3;28;600000;4;;2;52;4;;1;2;2;;2;;;;;;;;;;;1;2;;81;55;55;1;1;12;8121;73;2763.1141855
6051823;1;1;1;70;2;26;48;908526;8;;2;26;1;;4;2;1;;2;;;;;;;;;;;1;2;;10;62;77;1;2;12;1072;76;5418.0297613
6051833;1;3;1;70;2;21;48;600000;3;;2;264;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;54;62;1;2;12;0123;76;2399.2567435
6052637;1;2;1;70;2;4;40;800000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;1;12;;25;1694.3103694
6052641;1;1;1;70;2;20;48;500000;3;;2;20;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;25;2012.2116498
6052650;1;3;1;70;2;4;70;900000;2;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;58;62;1;1;12;0161;25;1890.3059243
6052653;1;1;1;70;2;2;48;2000000;1;;2;3;1;;8;2;1;;2;;;;;;;;;;;1;1;4000000;01;84;70;1;1;12;0162;25;2850.7644249
6052695;1;4;1;70;2;40;54;1000000;1;;2;78;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;33;33;1;2;12;4711;25;5135.7072204
6052710;1;1;1;70;2;8;48;908526;1;;2;8;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;62;60;1;1;12;0150;25;3981.9015618
6052710;1;3;1;70;2;4;48;908526;4;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;300000;52;62;97;1;1;12;5224;25;3981.9015618
6052710;1;4;1;70;2;8;48;908526;1;;2;8;6;;2;2;1;;2;;;;;;;;;;;1;2;;01;95;62;1;1;12;0142;25;3981.9015618
6052721;1;2;1;70;2;8;48;908526;1;;2;76;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;12;0121;25;2215.6799242
6052768;1;3;1;70;2;60;48;1100000;1;;2;260;1;;9;2;4;;2;;;;;;;;;;;1;2;;82;38;38;1;2;12;8220;25;2711.8372688
6052813;1;6;1;70;2;104;48;908526;1;;2;104;4;;9;2;1;;2;;;;;;;;;;;1;2;;84;08;03;1;2;12;8412;47;976.6943724
6052824;1;3;1;70;2;28;48;908526;1;;2;28;1;;5;2;1;;2;;;;;;;;;;;1;2;;86;39;39;1;2;12;8610;47;798.28842216
6052828;1;1;1;70;2;20;48;908526;1;;2;20;1;;9;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;2;12;4921;47;2011.9979294
6052838;1;2;1;70;2;52;48;908000;1;;2;110;4;;1;2;1;;2;;;;;;;;;;;1;2;;85;45;13;1;2;12;8559;47;1613.6578274
6052868;1;2;1;70;2;52;24;500000;4;;2;24;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;12;5619;47;1697.1172402
6052875;1;3;1;70;2;12;48;908526;4;;2;16;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;12;4711;47;1579.8647012
6052875;1;5;1;70;2;96;48;700000;3;;2;96;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;47;1579.8647012
6052877;1;2;1;70;2;96;24;908526;2;;2;96;2;;9;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;12;5629;47;1537.5581689
6052889;1;3;1;70;2;104;48;908000;1;;2;12;1;;4;2;1;;2;;;;;;;;;;;1;2;;47;39;45;1;2;12;4771;47;870.29764305
6052889;1;4;1;70;2;8;48;908000;1;;2;8;1;;7;2;1;;2;;;;;;;;;;;1;2;;42;98;98;1;1;12;4290;47;870.29764305
6052946;1;3;1;70;2;8;48;2500000;1;;2;9;1;;9;2;3;;1;2;;;1;;;;;;;;2;;71;09;32;1;1;12;7120;47;1906.6371794
6052948;1;2;1;70;2;52;48;908526;1;;2;20;1;;3;2;1;;2;;;;;;;;;;;1;2;;43;45;32;1;2;12;4390;47;1574.2296677
6052964;1;7;1;70;2;52;48;450000;3;;2;72;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;47;1673.417218
6052965;1;1;1;70;2;40;48;1000000;1;;2;40;1;;9;2;1;;2;;;;;;;;;;;1;2;;35;19;19;1;2;12;3520;47;1467.9037276
6052966;1;4;1;70;2;108;48;908526;1;;2;108;1;;4;2;1;;2;;;;;;;;;;;1;2;;25;95;87;1;2;12;2511;47;1716.612581
6053068;1;3;1;70;2;4;48;700000;4;;2;5;4;;2;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;12;4111;20;787.28383238
6053072;1;1;1;70;2;4;48;904000;4;;2;4;4;;2;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;12;4111;20;1537.1644544
6053727;1;2;1;70;2;12;48;1200000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;1;12;;17;1500.2651613
6053730;1;2;1;70;2;3;48;908526;1;;2;4;1;;2;2;8;;2;;;;;;;;;;;1;1;120000;45;95;99;1;1;12;4520;17;577.94483989
6053754;1;1;1;70;2;2;50;908526;1;;2;4;1;;2;2;1;;2;;;;;;;;;;;1;1;1000000;49;98;98;1;1;12;4923;17;3551.6388738
6053869;1;5;1;70;2;5;48;600000;4;;2;6;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;12;0121;41;662.83546702
6053870;1;2;1;70;2;104;48;2000000;2;;1;;;;;;;;;;.;.;;;;;;;;;;.;;21;;1;2;12;;41;1623.9426755
6053874;1;2;1;70;2;52;48;908000;1;;2;52;1;;9;2;1;;2;;;;;;;;;;;1;2;;51;55;55;1;2;12;5111;41;662.83546702
6053874;1;3;1;70;2;4;48;908000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;1;12;;41;662.83546702
6053925;1;2;1;70;2;4;48;98;3;;2;8;3;;1;2;4;;2;;;;;;;;;1;;;2;;97;54;54;1;1;12;9700;41;662.83546702
6053928;1;1;1;70;2;3;48;600000;4;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;400000;01;62;62;1;1;12;0123;41;2362.1809325
6053928;1;2;1;70;2;2;48;700000;4;;2;2;4;;1;2;1;;2;;;;;;;;;;;1;1;600000;01;62;62;1;1;12;0123;41;2362.1809325
6053949;1;5;1;70;2;52;48;98;1;;2;32;4;;1;2;4;;2;;;;;;;;;;;1;2;;47;79;45;1;2;12;4723;41;664.11452543
6053976;1;2;1;70;2;8;45;600000;3;;1;;;;;;;;;;.;.;;;;;;;;;;.;;54;;1;1;12;;54;1139.8297089
6053980;1;1;1;70;2;2;50;600000;4;;2;2;4;;1;2;1;;2;;;;;;;;;;;1;1;500000;01;62;62;1;1;12;0161;54;832.09979642
6054252;1;2;1;70;2;104;48;908526;1;;2;104;4;;9;2;1;;2;;;;;;;;;;;1;2;;84;03;19;1;2;12;8412;66;954.01750166
6054292;1;3;1;70;2;8;48;900000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;95;;1;1;12;;66;2369.7788916
6054300;1;1;1;70;2;70;60;800000;1;;2;74;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;12;5611;66;1300.3668674
6054305;1;2;1;70;2;20;48;908526;1;;2;21;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;12;4771;66;887.90971845
6054322;1;1;1;70;2;104;48;908526;3;;2;108;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;66;1032.1469905
6054333;1;3;1;70;2;8;48;300000;3;;2;6;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;55;45;1;1;12;4781;76;3964.082867
6054342;1;3;1;70;2;2;48;900000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;12;;76;3194.2516568
6054344;1;1;1;70;2;19;48;750000;3;;2;24;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;76;8777.6153619
6054344;1;2;1;70;2;12;56;900000;1;;2;15;1;;3;2;8;;2;;;;;;;;;;;1;2;;41;95;95;1;1;12;4111;76;8777.6153619
6054344;1;4;1;70;2;24;56;800000;3;;2;28;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;76;8777.6153619
6054344;1;5;1;70;2;2;70;1000000;1;;2;3;1;;6;2;8;;2;;;;;;;;;;;1;2;;01;95;62;1;1;12;0129;76;8777.6153619
6054345;1;4;1;70;2;24;48;908526;1;;2;2;3;;1;2;2;;2;;;;;;;;;;;1;1;400000;97;33;55;1;2;12;9700;76;2194.4038405
6054349;1;4;1;70;2;52;48;908526;1;;2;52;1;;3;2;1;;2;;;;;;;;;;;1;2;;96;33;21;1;2;12;9603;76;2194.4038405
6054521;1;2;1;70;2;104;48;1200000;1;;2;130;4;;1;2;4;;2;;;;;;;;;;;1;1;800000;43;98;93;1;2;12;4330;76;2399.2567435
6057946;1;1;1;70;2;12;48;600000;3;;1;;;;;;;;;;.;.;;;;;;;;;;.;;54;;1;1;12;;13;1102.339263
6057947;1;2;1;70;2;9;48;300000;4;;2;10;4;;2;2;7;;2;;;;;;;;;;;1;2;;41;95;95;1;1;12;4111;13;1447.7624898
6057951;1;1;1;70;2;6;48;600000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;55;;1;1;12;;13;1102.339263
6057956;1;3;1;70;2;22;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;03;;1;2;12;;13;1355.4914227
6057959;1;4;1;70;2;7;48;908526;1;;2;16;2;;9;2;1;;2;;;;;;;;;;;1;2;;84;58;58;1;1;12;8422;13;1052.559864
6057986;1;1;1;70;2;20;48;600000;3;;1;;;;;;;;;;.;.;;;;;;;;;;.;;55;;1;2;12;;13;1102.339263
6058002;1;4;1;70;2;9;48;500000;4;;2;12;4;;2;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;12;4111;13;1231.6694765
6058007;1;1;1;70;2;14;48;200000;3;;2;108;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;13;1159.1030698
6058008;1;2;1;70;2;18;48;400000;1;;2;208;1;;4;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;2;12;8512;13;1077.9674871
6058026;1;3;1;70;2;15;48;800000;1;;2;16;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;12;5611;13;873.55347738
6058068;1;3;1;70;2;8;40;500000;4;;1;;;;;;;;;;.;.;;;;;;;;;;.;;62;;1;1;12;;18;1554.2374063
6058079;1;3;1;70;2;5;45;500000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;500000;41;95;95;1;1;12;4111;18;1462.6740415
6058083;1;1;1;70;2;5;45;700000;1;;2;2;4;;1;2;1;;2;;;;;;;;;;;1;1;800000;01;60;62;1;1;12;0161;18;1047.3980922
6058083;1;2;1;70;2;5;46;200000;3;;2;30;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;54;45;1;1;12;4711;18;1047.3980922
6058087;1;1;1;70;2;2;50;700000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;900000;01;62;62;1;1;12;0161;18;823.53029044
6058118;1;5;1;70;2;2;40;908526;1;;2;24;1;;9;2;4;;2;;;;;;;;;;;1;2;;84;32;32;1;1;12;8412;18;438.9319218
6058119;1;2;1;70;2;5;48;400000;8;;1;;;;;;;;;;.;.;;;;;;;;;;.;;62;;1;1;12;;18;1503.9236574
6058404;1;3;1;70;2;3;40;400000;4;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;12;0112;70;1012.444809
6058420;1;2;1;70;2;4;45;400000;4;;2;10;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;12;0161;70;1094.973887
6059698;1;2;1;70;2;16;48;900000;8;;2;16;8;;3;2;1;;2;;;;;;;;;;;1;1;200000;01;62;62;1;2;12;0141;18;1359.444257
6059699;1;2;1;70;2;66;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;12;;18;418.07408268
6059714;1;1;1;70;2;72;48;1000000;1;;2;72;1;;3;2;8;;2;;;;;;;;;;;1;1;500000;01;06;60;1;2;12;0141;18;1477.2942913
6059746;1;4;1;70;2;8;48;500000;1;;2;12;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;45;54;1;1;12;9700;18;1031.5909891
6059768;1;2;1;70;2;12;48;800000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;12;;18;1211.5545767
6059775;1;1;1;70;2;4;40;350000;3;;2;4;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;54;54;1;1;12;9700;23;3601.3823226
6059782;1;1;1;70;2;12;48;400000;3;;2;18;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;12;9700;23;3875.7642122
6059783;1;3;1;70;2;20;40;900000;1;;2;20;1;;2;2;1;;2;;;;;;;;;;;1;2;;56;33;53;1;2;12;5613;23;2126.7036164
6059785;1;1;1;70;2;4;48;600000;3;;2;6;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;12;9700;23;2882.2075231
6059792;1;2;1;70;2;20;40;600000;3;;2;20;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;23;3036.0581442
6059824;1;1;1;70;2;3;48;500000;3;;2;3;3;;1;2;1;;2;;;;;;;;;;;1;1;500000;97;54;54;1;1;12;9700;23;1491.4289592
6059884;1;3;1;70;2;5;40;600000;3;;2;84;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;12;9700;70;520.12450297
6059886;1;2;1;70;2;2;48;900000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;58;;1;1;12;;70;1101.6355155
6059930;1;2;1;70;2;15;40;300000;1;;2;15;3;;2;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;70;457.82088456
6059933;1;2;1;70;2;12;40;908526;3;;2;12;1;;2;2;1;;2;;;;;;;;;;;1;2;;56;54;53;1;1;12;5630;70;883.84645705
6059936;1;2;1;70;2;6;40;1300000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;12;;1;1;12;;70;825.0255615
6059948;1;2;1;70;2;4;49;400000;3;;2;104;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;12;9700;70;854.62219477
6059959;1;2;1;70;2;4;24;360000;4;;2;520;4;;1;2;1;;2;;;;;;;;;;;1;2;;14;55;79;1;1;12;1410;76;1631.9927364
6059960;1;3;1;70;2;4;48;908526;1;;2;20;8;;7;2;1;;2;;;;;;;;;;;1;2;;01;55;62;1;1;12;0128;76;1631.9927364
6062625;1;1;1;70;2;52;48;960000;8;;2;52;1;;2;2;2;;2;;;;;;;;;;;1;1;80000;93;62;62;1;2;12;9329;76;1631.9927364
