DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;DPTO;fex_c_2011
5135946;1;3;1;50; ;2;4; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;02;68;1565,0781976311
5135947;1;1;1;50; ;2; ; ;1;6;DESCANSANDO POR ENFERMEDAD;1; ; ; ; ; ; ; ; ; ; ; ;02;68;1303,56503507788
5135947;1;2;1;50; ;2;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;68;1303,56503507788
5137241;1;1;1;50; ;2;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;02;44;1487,37001728184
5137241;1;2;1;50; ;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;44;1487,37001728184
5137241;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;44;1487,37001728184
5137241;1;4;1;50; ;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;44;1487,37001728184
5137242;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1343,31972583354
5137243;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1154,80170248505
5137243;1;2;1;50; ;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;44;1154,80170248505
5137244;1;1;1;50; ;2;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;02;44;1154,80170248505
5137244;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1154,80170248505
5137245;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;981,872916374408
5137246;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1359,47045623439
5137247;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1886,51759460998
5137247;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1886,51759460998
5137247;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;44;1886,51759460998
5140336;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1425,2564770092
5140336;1;2;1;50; ;2; ; ;2;6;ES PENSIONADO;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1425,2564770092
5140336;1;3;1;50; ;2; ; ;3;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;23;1425,2564770092
5140337;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1387,58584679606
5140337;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1387,58584679606
5140337;1;3;1;50; ;2;1; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;23;1387,58584679606
5140337;1;5;1;50; ;2; ; ;5;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;23;1387,58584679606
5140337;1;6;1;50; ;2; ; ;6;6;ESTA ENFERMA;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1387,58584679606
5140338;1;1;1;50; ;2; ; ;1;6;ESTA ENFERMA;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1150,17407854881
5140338;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1150,17407854881
5140338;1;3;1;50; ;2; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1150,17407854881
5140338;1;4;1;50; ;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1150,17407854881
5140339;1;1;1;50; ;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;4209,01182391076
5140339;1;2;1;50; ;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;4209,01182391076
5140339;1;3;1;50; ;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;4209,01182391076
5140339;1;4;1;50; ;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;4209,01182391076
5140340;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2265,02486843399
5140340;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2265,02486843399
5140340;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2265,02486843399
5140340;1;4;1;50; ;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2265,02486843399
5140341;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;3394,04110492102
5140341;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;23;3394,04110492102
5140341;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;3394,04110492102
5140341;1;5;1;50; ;2; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;3394,04110492102
5140342;1;1;1;50; ;2; ; ;1;6;INCAPACITADA POR ENFERMEDAD;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1966,79342667147
5140342;1;2;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1966,79342667147
5140343;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;23;2651,19477556553
5140343;1;2;1;50; ;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2651,19477556553
5140344;1;1;1;50; ;2; ; ;1;6;ESTABA ENFERMA;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1188,01419927458
5140344;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1188,01419927458
5140344;1;3;1;50; ;2; ; ;3;6;ESTABA ENFERMA;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1188,01419927458
5140344;1;4;1;50; ;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1188,01419927458
5140344;1;5;1;50; ;2; ; ;5;6;HABLANDO CON AMIGOS Y FAMILIARES;2;2;1; ; ; ; ; ; ; ; ; ;02;23;1188,01419927458
5140345;1;1;1;50; ;2;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;23;2050,62446250489
5140345;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;23;2050,62446250489
5140345;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2050,62446250489
5140347;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1506,54332927614
5140347;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1506,54332927614
5140348;1;1;1;50; ;2;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;23;1981,81902709606
5140348;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1981,81902709606
5140348;1;3;1;50; ;2; ; ;3;4; ;2;2;2;2;1;8; ;2; ;2; ; ;02;23;1981,81902709606
5140349;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;1;2; ;2; ;2; ; ;02;23;2238,68250943015
5140349;1;2;1;50; ;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2238,68250943015
5140349;1;3;1;50; ;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2238,68250943015
5140350;1;1;1;50; ;2; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;23;2410,77292227779
5140350;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2410,77292227779
5140350;1;4;1;50; ;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2410,77292227779
5140351;1;1;1;50; ;2; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;23;1618,49099177004
5140351;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1618,49099177004
5140352;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1869,87136460216
5140352;1;2;1;50; ;2; ; ;2;6;ESTA ENFERMO;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1869,87136460216
5140352;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1869,87136460216
5140353;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;3214,17551234538
5140353;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;3214,17551234538
5140354;1;1;1;50; ;2; ; ;1;6;EN REPOSO EN SU HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1695,43361020501
5140356;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;3020,94099758454
5140356;1;2;1;50; ;2; ; ;2;6;ESTABA ENFERMA;2;2;2;2;2; ; ; ; ; ; ; ;02;23;3020,94099758454
5140356;1;3;1;50; ;2; ; ;3;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;23;3020,94099758454
5140357;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2971,42434249993
5140357;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2971,42434249993
5140357;1;3;1;50; ;2; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2971,42434249993
5140357;1;4;1;50; ;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2971,42434249993
5140357;1;5;1;50; ;2; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2971,42434249993
5140358;1;1;1;50; ;2; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;23;1659,78940989617
5140358;1;2;1;50; ;2;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;02;23;1659,78940989617
5140359;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1583,32078642994
5140359;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1583,32078642994
5140359;1;3;1;50; ;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1583,32078642994
5140359;1;6;1;50; ;2; ; ;6;6;INCAPACITADO DEBIDO A UNA CIRUGIA;2;2;2;2;1;11; ; ; ; ; ; ;02;23;1583,32078642994
5140360;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2111,45787616876
5140361;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2119,42989791372
5140361;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2119,42989791372
5140361;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2119,42989791372
5140362;1;1;1;50; ;2; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;23;1603,46539134545
5140363;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;3928,35016613931
5140363;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;3928,35016613931
5140363;1;3;1;50; ;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;3928,35016613931
5140363;1;4;1;50; ;2; ; ;4;3; ;2;2;2;2;1;12; ; ; ; ; ; ;02;23;3928,35016613931
5140363;1;5;1;50; ;2; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;3928,35016613931
5140364;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1789,74917061408
5140364;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1789,74917061408
5140364;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1789,74917061408
5140365;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;3282,98094775421
5140365;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;3282,98094775421
5140366;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1506,54332927614
5140366;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1506,54332927614
5140367;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1710,45921062959
5140367;1;2;1;50; ;2; ; ;1;6;EN REPOSO EN EL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1710,45921062959
5140368;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1687,29642717887
5140368;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1687,29642717887
5140369;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2628,35290376001
5140369;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2628,35290376001
5140369;1;3;1;50; ;2; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2628,35290376001
5140369;1;4;1;50; ;2; ; ;2;6;CHARLANDO CON FAMILIARES Y AMIGOS;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2628,35290376001
5140369;1;5;1;50; ;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2628,35290376001
5140370;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2315,37375752221
5140371;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2302,8923406641
5140371;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2302,8923406641
5140372;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1846,70858115144
5140372;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1846,70858115144
5140372;1;3;1;50; ;2; ; ;3;6;ESTA ENFERMO;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1846,70858115144
5140373;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1618,49099177004
5140373;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1618,49099177004
5140374;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2184,90267444591
5140374;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2184,90267444591
5140374;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2184,90267444591
5140374;1;4;1;50; ;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2184,90267444591
5140375;1;1;1;50; ;2; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;02;23;2504,55921639465
5140375;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;1;6; ;2; ;2; ; ;02;23;2504,55921639465
5140375;1;3;1;50; ;2;5; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;23;2504,55921639465
5140375;1;4;1;50; ;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2504,55921639465
5140375;1;5;1;50; ;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;2504,55921639465
5140376;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2126,48347659335
5140376;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;2126,48347659335
5140377;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;23;1506,54332927614
5140377;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;23;1506,54332927614
5140379;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;25;2318,57299325032
5140379;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;25;2318,57299325032
5140379;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;25;2318,57299325032
5140379;1;4;1;50; ;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;25;2318,57299325032
5140380;1;1;1;50; ;2; ; ;1;6;DESCANSANDO;1; ; ; ; ; ; ; ; ; ; ; ;02;25;2300,69107610286
5140380;1;2;1;50; ;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;25;2300,69107610286
5140380;1;3;1;50; ;2; ; ;3;4; ;2;2;2;2;1;9; ; ; ; ; ; ;02;25;2300,69107610286
5140381;1;1;1;50; ;2; ; ;1;6;DESCANSANDO;1; ; ; ; ; ; ; ; ; ; ; ;02;25;2566,17295834739
5140381;1;2;1;50; ;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;25;2566,17295834739
5140381;1;3;1;50; ;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;25;2566,17295834739
5140381;1;4;1;50; ;2; ; ;4;6;DESCANSAR;1; ; ; ; ; ; ; ; ; ; ; ;02;25;2566,17295834739
5140381;1;5;1;50; ;2; ; ;5;6;CITAS MEDICAS PARTICULARES;2;2;2;2;1;13;EMBARAZO; ; ; ; ; ;02;25;2566,17295834739
5140382;1;1;1;50; ;2; ; ;1;6;DESCANSAR;1; ; ; ; ; ; ; ; ; ; ; ;02;25;2825,05265485286
5140383;1;1;1;50; ;2; ; ;1;6;DESCANSANDO;1; ; ; ; ; ; ; ; ; ; ; ;02;25;1728,51057819674
5140383;1;2;1;50; ;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;25;1728,51057819674
5140383;1;3;1;50; ;2; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;02;25;1728,51057819674
5140383;1;4;1;50; ;2; ; ;4;4; ;2;2;1; ; ; ; ; ; ; ; ; ;02;25;1728,51057819674
5140384;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;25;2758,62047326408
5140385;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;25;2421,15056096385
5140385;1;2;1;50; ;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;25;2421,15056096385
5140397;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;4467,9012072289
5140397;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;4467,9012072289
5140398;1;1;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;8089,24731489964
5140398;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;8089,24731489964
5140398;1;3;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;8089,24731489964
5140398;1;4;1;50; ;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;8089,24731489964
5140398;1;5;1;50; ;2; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;8089,24731489964
5140398;2;1;2;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;8089,24731489964
5140398;2;2;2;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;8089,24731489964
5140398;3;1;3;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;8089,24731489964
5140398;3;2;3;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;8089,24731489964
5140399;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;5201,59496348402
5140400;1;1;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;5046,35727486737
5140400;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;5046,35727486737
5140400;1;5;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;5046,35727486737
5140401;1;1;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;05;4331,8437401188
5140401;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;4331,8437401188
5140401;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;05;4331,8437401188
