directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;area;dpto;clase;fex_c_2011
292;1;7;45;47;4711;1;68;50;6;800000; ; ;1;03;13;13;1;622,906447998738
293;1;1;45;47;4792;4;24;0;6; ;300000;1;1;03;05;05;1;988,42060155376
295;1;4;95;41;4111;4;55;18;7; ;800000;1;1;03;54;54;1;220,36722063015
296;1;1;12;69;6910;4;15;2;7; ;2000000;1;1;03;68;68;1;427,465972555229
299;3;1;53;56;5611;1;20;0;6;200000; ; ;1;03;68;68;1;446,776303304652
299;3;2;95;41;4111;4;40;5;6; ; ;1;1;03;68;68;1;446,776303304652
300;1;1;54;81;8121;4;48;48; ; ;300000;1;1;03;05;05;1;881,173971944303
301;1;1;85;95;9529;4;20;0;6; ;120000;1;1;03;50;50;1;138,995201031131
304;1;1;54;94;9499;1;48;0;1;878000; ; ;1;03;05;05;1;880,658701110875
304;1;2;85;43;4321;4;48;20;7; ;300000;1;1;03;05;05;1;880,658701110875
304;1;6;84;30;3091;1;48;0;7;878000; ; ;1;03;05;05;1;880,658701110875
308;1;1;95;41;4111;4;70;30;6; ;1060000;1;1;03;05;05;1;893,071436663366
309;1;1;80;15;1522;4;62;44;6; ;450000;1;1;03;54;54;1;274,136746658826
309;1;4;95;41;4111;4;50;45;6; ;480000;1;1;03;54;54;1;274,136746658826
310;1;2;45;56;5619;4;45;0;6; ;600000;1;1;03;50;50;1;252,744812156796
311;1;1;97;47;4711;1;10;10; ;200000; ; ;1;03;05;05;1;947,873130217059
312;1;2;77;47;4711;1;60;42;5;877803; ; ;1;03;08;08;1;442,794885650824
312;1;3;33;59;5914;1;40;22;5;877803; ; ;1;03;08;08;1;442,794885650824
315;1;1;98;46;4631;1;72;84; ;980000; ; ;1;03;68;68;1;479,801803959937
319;1;1;12;84;8412;2;45;45; ;2998000; ; ;1;03;63;63;1;113,024645535704
320;1;1;95;41;4111;5;56;36;5; ;2400000;1;1;03;76;76;1;1210,73175190656
321;1;1;33;46;4631;1;60;40;7;952000; ; ;1;03;50;50;1;331,164237010253
323;1;1;45;47;4759;4;30;30; ; ;877803;1;1;03;23;23;1;142,565357260394
326;1;1;53;56;5611;1;24;10;7;160000; ; ;1;03;66;66;1;179,902551356096
326;1;2;53;56;5611;1;40;10;7;800000; ; ;1;03;66;66;1;179,902551356096
328;1;1;95;42;4210;4;48;0;6; ;800000;1;1;03;13;13;1;432,506107361086
328;1;2;94;32;3210;4;25;0;6; ;200000;1;1;03;13;13;1;432,506107361086
329;1;1;97;46;4631;6;10;10; ; ; ; ;1;03;73;73;1;72,8376242913311
329;1;2;41;46;4631;4;48;40;5; ;350000;1;1;03;73;73;1;72,8376242913311
337;1;1;45;47;4755;4;60;30;6; ;300000;1;1;03;23;23;1;142,565357260394
338;1;1;58;35;3520;1;48;48; ;1000000; ; ;1;03;47;47;1;71,6642025467513
339;1;1;12;69;6910;4;48;48; ; ;5000000;1;1;03;05;05;1;653,916718372812
340;1;1;80;15;1521;1;48;40;7;890000; ; ;1;03;05;05;1;577,648403505444
340;1;2;50;56;5619;1;38;24;7;850000; ; ;1;03;05;05;1;577,648403505444
345;1;1;58;86;8621;1;6;30; ;980000; ; ;1;03;05;05;1;787,837325046494
345;1;2;16;74;7410;1;12;60; ;980000; ; ;1;03;05;05;1;787,837325046494
348;1;1;40;47;4752;1;54;0;7;1500000; ; ;1;03;54;54;1;305,012834430038
348;1;2;41;47;4752;5;66;44;7; ;2000000;1;1;03;54;54;1;305,012834430038
351;1;1;55;68;6820;1;48;0;7;980657; ; ;1;03;50;50;1;76,6422536738623
351;1;2;99;38;3830;4;70;0;6; ;150000;1;1;03;50;50;1;76,6422536738623
353;1;1;87;25;2511;4;56;24;5; ;1000000;1;1;03;13;13;1;386,49732019601
353;1;2;56;96;9601;4;30;6;5; ;800000;1;1;03;13;13;1;386,49732019601
355;1;1;57;96;9602;4;25;9;6; ;450000;1;1;03;23;23;1;170,969683238708
356;1;1;37;47;4752;1;48;32;6;900000; ; ;1;03;66;66;1;384,173058495493
357;1;1;55;81;8121;4;40;0;5; ;800000;1;1;03;13;13;1;391,318159853291
358;1;1;98;84;8413;2;48;24;7;1814000; ; ;1;03;50;50;1;55,5000527971743
358;1;3;53;56;5611;1;48;24;7;980000; ; ;1;03;50;50;1;55,5000527971743
358;1;4;19;74;7490;1;48;24;7; ; ; ;1;03;50;50;1;55,5000527971743
361;1;1;21;61;6190;4;70;28;7; ;350000;1;1;03;23;23;1;162,392317183965
362;1;1;77;56;5619;4;30;30; ; ;60000;1;1;03;13;13;1;327,948581237533
364;1;1;53;56;5619;4;30;0;7; ;100000;1;1;03;23;23;1;196,493077671845
364;1;2;45;47;4781;4;48;10;7; ;600000;1;1;03;23;23;1;196,493077671845
364;1;3;97;52;5224;4;30;0;7; ;200000;1;1;03;23;23;1;196,493077671845
365;1;1;58;86;8621;1;105;105; ;877803; ; ;1;03;47;47;1;67,9297662523781
366;1;1;98;49;4921;4;60;40;6; ;1200000;1;1;03;05;05;1;954,120355777918
366;1;2;59;97;9700;3;48;48; ;1400000; ; ;1;03;05;05;1;954,120355777918
366;1;3;98;49;4921;4;60;40;6; ;800000;1;1;03;05;05;1;954,120355777918
367;1;2;57;96;9602;4;8;0;6; ;300000;1;1;03;50;50;1;70,1445620325667
370;1;3;55;68;6820;1;48;0;7;877803; ; ;1;03;05;05;1;623,853491769265
371;1;1;77;56;5619;4;20;0;6; ;200000;1;1;03;05;05;1;702,211409307471
373;1;1;79;86;8610;1;52;40;1;870000; ; ;1;03;19;19;1;62,8857407905796
373;1;2;45;47;4782;4;48;30;6; ;5500000;1;1;03;19;19;1;62,8857407905796
375;1;1;54;88;8890;1;40;0;7;877802; ; ;1;03;54;54;1;293,838748716206
379;1;3;53;56;5619;4;20;10;6; ;100000;1;1;03;23;23;1;83,454516181198
381;1;1;21;96;9602;4;70;0;6; ;140000;1;1;03;54;54;1;274,482540348108
381;1;3;21;93;9329;4;91;60;6; ;200000;1;1;03;54;54;1;274,482540348108
381;1;4;13;85;8559;4;20;12;7; ;140000;1;1;03;54;54;1;274,482540348108
383;2;1;55;81;8121;4;40;0;7; ;300000;1;1;03;13;13;1;286,475476816661
384;2;1;95;41;4111;5;45;40;6; ;1200000;1;1;03;23;23;1;220,568551519415
384;2;3;95;41;4111;1;45;40;7;600000; ; ;1;03;23;23;1;220,568551519415
385;1;1;39;47;4711;1;48;48; ;877803; ; ;1;03;63;63;1;63,2653022680644
385;1;2;54;97;9700;3;40;40; ;300000; ; ;1;03;63;63;1;63,2653022680644
386;1;1;79;95;9529;4;24;0;6; ;100000;1;1;03;66;66;1;300,132078539768
388;1;1;41;47;4723;4;40;10;6; ;600000;1;1;03;13;13;1;396,248242020396
388;1;2;51;56;5611;5;48;0;6; ; ;1;1;03;13;13;1;396,248242020396
389;1;1;12;69;6910;4;40;0;6; ;1500000;1;1;03;05;05;1;653,916718372812
390;1;1;16;73;7310;4;48;24;6; ;1000000;1;1;03;47;47;1;79,2460811728095
390;1;2;53;56;5611;1;48;0;5;500000; ; ;1;03;47;47;1;79,2460811728095
391;2;1;87;35;3520;1;40;32;7;1300000; ; ;1;03;50;50;1;177,890373834814
392;1;1;39;84;8412;4;40;0;1; ;400000;1;1;03;68;68;1;403,507135951488
392;1;7;59;86;8610;1;48;48; ;1000000; ; ;1;03;68;68;1;403,507135951488
393;1;1;53;55;5511;1;48;48; ;877802; ; ;1;03;13;13;1;297,316427044093
394;1;2;86;56;5630;1;24;8;7;720000; ; ;1;03;05;05;1;942,762556338276
395;1;6;58;68;6820;1;72;72; ;1300000; ; ;1;03;76;76;1;1687,54980521285
396;1;4;95;41;4111;4;50;50; ; ;1800000;1;1;03;05;05;1;889,455756413941
398;1;1;58;84;8423;2;80;80; ; ; ; ;1;03;15;15;1;137,153539925487
398;2;1;54;88;8890;2;40;0;1;877830; ; ;1;03;15;15;1;137,153539925487
400;1;1;45;47;4752;4;50;0;1; ;30000000;1;1;03;23;23;1;251,662079205704
400;1;2;13;85;8530;2;30;30; ;3400000; ; ;1;03;23;23;1;251,662079205704
404;1;1;53;56;5619;4;24;0;7; ;360000;1;1;03;08;08;1;832,423086550548
405;1;4;87;06;0610;1;60;48;7;1980000; ; ;1;03;50;50;1;284,213118148212
408;1;1;39;52;5222;1;48;20;7;1060000; ; ;1;03;47;47;1;52,5299485578001
412;1;1;83;25;2511;4;48;40;5; ;1000000;1;1;03;76;76;1;1486,36470326891
412;1;2;45;46;4631;1;42;14;5;600000; ; ;1;03;76;76;1;1486,36470326891
419;1;1;77;56;5619;4;10;5;6; ;140000;1;1;03;23;23;1;149,743358034282
421;1;1;97;14;1410;1;45;45; ;980803; ; ;1;03;76;76;1;1804,87142539795
421;1;2;79;14;1410;4;45;45; ; ;700000;1;1;03;76;76;1;1804,87142539795
422;1;1;41;47;4724;4;48;48; ; ;500000;1;1;03;13;13;1;292,713040780526
422;1;3;95;42;4210;4;48;48; ; ;800000;1;1;03;13;13;1;292,713040780526
423;1;1;45;47;4781;4;42;42; ; ;300000;1;1;03;23;23;1;95,0461529886041
424;1;1;79;14;1410;5;50;50; ; ;900000;1;1;03;68;68;1;596,702393775532
424;1;2;79;14;1410;6;4;30; ; ; ; ;1;03;68;68;1;596,702393775532
425;1;1;85;43;4321;1;48;48; ; ; ; ;1;03;05;05;1;729,156955093669
426;1;1;45;47;4729;4;30;0;6; ;300000;1;1;03;13;13;1;538,41350842648
427;1;1;53;56;5619;4;54;36;6; ;300000;1;1;03;63;63;1;65,1080664814279
430;1;1;13;85;8530;2;40;0;3;2450000; ; ;1;03;19;19;1;87,1103607150286
431;1;1;33;47;4711;1;48;48; ;1400000; ; ;1;03;23;23;1;373,176734669125
431;1;3;33;47;4711;1;48;48; ;1200000; ; ;1;03;23;23;1;373,176734669125
431;1;4;41;47;4759;4;20;0;6; ;600000;1;1;03;23;23;1;373,176734669125
432;1;1;95;41;4111;1;45;16;6;600000; ; ;1;03;23;23;1;124,192990942081
432;1;3;32;70;7010;1;50;30;6;877803; ; ;1;03;23;23;1;124,192990942081
433;1;1;79;14;1410;4;35;15;6; ; ;1;1;03;76;76;1;1644,23704168842
435;1;2;53;56;5611;1;30;30; ;360000; ; ;1;03;66;66;1;264,681757307111
436;1;1;54;97;9700;3;24;24; ;300000; ; ;1;03;13;13;1;321,810021264724
436;1;3;39;55;5511;1;48;48; ;877802; ; ;1;03;13;13;1;321,810021264724
437;1;1;45;47;4792;4;20;20; ; ;800000;1;1;03;13;13;1;696,884474718072
438;1;1;45;56;5619;4;40;18;7; ;150000;1;1;03;54;54;1;338,320264018988
438;1;2;80;15;1522;4;60;40;7; ;400000;1;1;03;54;54;1;338,320264018988
440;1;1;12;84;8415;2;48;0;7; ; ; ;1;03;50;50;1;120,827995491468
442;1;1;55;81;8121;4;48;48; ; ;1000000;1;1;03;68;68;1;924,479261069946
445;1;1;41;47;4752;5;60;40;6; ;1500000;1;1;03;23;23;1;75,7979579722994
445;1;2;45;47;4752;6;20;20; ; ; ; ;1;03;23;23;1;75,7979579722994
447;1;1;95;41;4111;1;48;0;7;720000; ; ;1;03;23;23;1;164,114849195148
452;1;1;45;47;4789;4;50;50; ; ;300000;1;1;03;23;23;1;220,894198827906
452;1;2;98;49;4921;4;70;40;7; ;300000;1;1;03;23;23;1;220,894198827906
453;1;1;80;15;1512;4;36;36; ; ;900000;1;1;03;13;13;1;372,171429224905
454;1;2;03;85;8551;4;40;28;7; ;1650000;1;1;03;19;19;1;58,2263466270377
455;1;1;44;64;6499;4;40;16;6; ;800000;1;1;03;23;23;1;213,520654782556
456;1;1;54;97;9700;3;50;50; ;500000; ; ;1;03;23;23;1;182,094842682782
456;1;4;59;86;8621;1;48;48; ;877803; ; ;1;03;23;23;1;182,094842682782
458;1;1;54;97;9700;3;60;60; ;350000; ; ;1;03;18;18;1;84,9986106032796
459;1;1;41;47;4771;5;54;27;7; ;900000;1;1;03;63;63;1;42,3637987222904
461;1;1;03;45;4511;1;48;48; ;980657; ; ;1;03;47;47;1;233,833598040772
462;1;1;39;47;4711;1;48;48; ;877103; ; ;1;03;63;63;1;122,117999947789
462;1;2;39;41;4111;1;24;0;6;500000; ; ;1;03;63;63;1;122,117999947789
463;1;1;56;96;9601;4;8;8; ; ;100000;1;1;03;68;68;1;471,72625925697
463;1;3;57;96;9602;4;25;0;6; ;350000;1;1;03;68;68;1;471,72625925697
464;1;1;84;45;4520;5;54;36;7; ;1300000;1;1;03;63;63;1;67,5631741248523
464;1;2;39;45;4520;6;21;14;7; ; ; ;1;03;63;63;1;67,5631741248523
464;1;3;07;86;8610;4;48;48; ; ;2690000;1;1;03;63;63;1;67,5631741248523
465;1;1;80;15;1521;4;40;36;6; ;1500000;1;1;03;52;52;1;206,295282537966
466;1;1;45;47;4799;4;12;12; ; ;600000;1;1;03;23;23;1;208,791821086125
467;1;1;85;43;4321;4;40;10;6; ; ;1;1;03;47;47;1;138,774338935574
468;1;1;55;81;8121;4;3;3; ; ;1;1;1;03;76;76;1;934,337980271397
469;1;1;98;49;4921;4;24;6;6; ;550000;1;1;03;52;52;1;183,119360904002
469;1;2;77;56;5619;4;60;40;6; ;700000;1;1;03;52;52;1;183,119360904002
469;1;3;17;90;9007;4;24;0;6; ;900000;1;1;03;52;52;1;183,119360904002
470;1;1;41;47;4781;4;92;70;6; ;300000;1;1;03;54;54;1;670,263344165583
472;1;1;53;56;5619;4;30;30; ; ;200000;1;1;03;23;23;1;183,799138123845
472;1;2;89;23;2393;4;48;10;7; ;800000;1;1;03;23;23;1;183,799138123845
473;1;2;34;63;6311;4;36;12;6; ;250000;1;1;03;63;63;1;70,7664288714745
475;1;4;08;61;6190;1;48;48; ;1400000; ; ;1;03;13;13;1;313,30528948278
475;1;5;08;61;6190;1;48;48; ;1400000; ; ;1;03;13;13;1;313,30528948278
476;1;1;79;14;1410;4;50;50; ; ;70000;1;1;03;63;63;1;45,2163145699326
478;1;1;98;49;4921;4;50;10;7; ;400000;1;1;03;44;44;1;78,0115720053615
478;1;4;98;49;4921;4;40;5;7; ;500000;1;1;03;44;44;1;78,0115720053615
479;1;1;39;84;8413;4;40;40; ; ;3200000;1;1;03;44;44;1;144,42826636819
479;1;2;30;84;8412;4;40;40; ; ;3200000;1;1;03;44;44;1;144,42826636819
480;1;2;58;84;8423;2;84;84; ;1400000; ; ;1;03;54;54;1;413,522903344873
482;1;3;54;97;9700;3;66;66; ;877803; ; ;1;03;63;63;1;44,2324226817016
483;1;1;98;49;4923;4;56;0;6; ;1400000;1;1;03;68;68;1;958,135170234204
484;1;2;98;49;4921;4;60;0;6; ;300000;1;1;03;68;68;1;482,952533564919
486;1;1;55;81;8121;4;50;10;6; ;800000;1;1;03;68;68;1;506,499494556187
486;1;3;95;41;4111;4;40;6;6; ;200000;1;1;03;68;68;1;506,499494556187
487;1;1;59;96;9609;4;9;9; ; ;40000;1;1;03;11;11;1;4958,86146827855
490;1;1;45;45;4530;1;60;40;6;1000000; ; ;1;03;23;23;1;173,328151134082
490;1;2;32;86;8621;1;48;0;3;877803; ; ;1;03;23;23;1;173,328151134082
491;1;2;95;41;4111;1;45;45; ;900000; ; ;1;03;23;23;1;145,048772623318
491;1;4;84;45;4542;1;54;36;6;700000; ; ;1;03;23;23;1;145,048772623318
491;1;5;98;49;4921;4;50;50; ; ;900000;1;1;03;23;23;1;145,048772623318
493;1;2;98;49;4921;4;70;40;7; ;300000;1;1;03;23;23;1;209,339737676535
495;1;1;61;01;0113;4;32;32; ; ;0;1;1;03;11;11;1;2020,57246827251
498;1;1;58;80;8010;4;60;60; ; ;700000;1;1;03;63;63;1;159,691213292534
498;1;3;95;41;4111;4;55;55; ; ;800000;1;1;03;63;63;1;159,691213292534
503;1;1;41;47;4711;4;70;70; ; ;900000;1;1;03;23;23;1;265,348858804978
503;1;2;45;47;4711;6;20;20; ; ; ; ;1;03;23;23;1;265,348858804978
505;1;1;80;15;1522;4;70;24;7; ;600000;1;1;03;54;54;1;353,122432321634
