directorio;secuencia_p;orden;p6020;p6040;mes;area;dpto;clase;fex_c_2011
197;2;2;2;55;03;66;66;1;372,132379986271
197;2;3;1;30;03;66;66;1;372,132379986271
197;2;4;1;26;03;66;66;1;372,132379986271
199;1;1;1;26;03;44;44;1;270,124933219309
199;1;2;2;24;03;44;44;1;270,124933219309
199;1;3;2;3;03;44;44;1;270,124933219309
200;1;1;2;38;03;66;66;1;355,540519650609
200;1;2;1;14;03;66;66;1;355,540519650609
200;1;3;2;13;03;66;66;1;355,540519650609
202;1;1;1;60;03;73;73;1;134,598568601049
202;1;2;2;54;03;73;73;1;134,598568601049
202;1;3;1;32;03;73;73;1;134,598568601049
205;1;1;2;73;03;68;68;1;686,193348281045
205;1;2;2;44;03;68;68;1;686,193348281045
205;1;3;2;22;03;68;68;1;686,193348281045
205;1;4;2;14;03;68;68;1;686,193348281045
208;1;1;1;50;03;68;68;1;1025,66147647628
208;1;2;2;50;03;68;68;1;1025,66147647628
211;1;1;2;69;03;70;70;1;100,556070601797
211;1;2;2;103;03;70;70;1;100,556070601797
212;1;1;2;83;03;70;70;1;93,7685191539288
212;1;2;1;56;03;70;70;1;93,7685191539288
212;1;3;2;0;03;70;70;1;93,7685191539288
215;1;1;1;57;03;70;70;1;91,1807527095298
216;1;1;2;58;03;05;05;1;637,875323056284
217;1;1;1;83;03;70;70;1;109,701843103653
218;1;1;2;34;03;70;70;1;89,6739632645419
218;1;2;1;31;03;70;70;1;89,6739632645419
218;1;3;2;28;03;70;70;1;89,6739632645419
218;1;4;1;5;03;70;70;1;89,6739632645419
220;1;1;1;35;03;13;13;1;360,257563838668
220;1;2;2;38;03;13;13;1;360,257563838668
220;1;3;2;5;03;13;13;1;360,257563838668
220;1;4;1;3;03;13;13;1;360,257563838668
221;1;1;1;51;03;54;54;1;222,640387972128
221;1;2;2;44;03;54;54;1;222,640387972128
222;1;1;1;56;03;05;05;1;899,135487762616
224;1;1;2;62;03;47;47;1;76,836222333021
224;1;2;1;43;03;47;47;1;76,836222333021
224;1;3;2;31;03;47;47;1;76,836222333021
224;1;4;2;8;03;47;47;1;76,836222333021
228;2;1;1;61;03;05;05;1;2991,32927865486
228;2;2;2;52;03;05;05;1;2991,32927865486
228;2;3;2;24;03;05;05;1;2991,32927865486
230;1;1;2;46;03;63;63;1;56,5123227678522
230;1;2;2;21;03;63;63;1;56,5123227678522
232;1;1;2;37;03;63;63;1;69,5609205777875
233;1;1;1;33;03;63;63;1;143,588226826348
234;1;1;2;40;03;66;66;1;267,920811982212
234;1;2;1;19;03;66;66;1;267,920811982212
234;1;3;1;19;03;66;66;1;267,920811982212
234;1;4;1;18;03;66;66;1;267,920811982212
234;1;5;1;15;03;66;66;1;267,920811982212
234;1;6;1;24;03;66;66;1;267,920811982212
234;1;7;1;0;03;66;66;1;267,920811982212
235;1;1;2;30;03;73;73;1;90,8139790731865
236;1;1;2;47;03;13;13;1;380,603642595711
236;1;2;1;24;03;13;13;1;380,603642595711
236;1;3;1;18;03;13;13;1;380,603642595711
236;1;4;2;25;03;13;13;1;380,603642595711
236;1;5;1;2;03;13;13;1;380,603642595711
238;2;1;1;82;03;73;73;1;83,502664798643
241;1;1;1;60;03;54;54;1;304,596385176473
241;1;2;2;53;03;54;54;1;304,596385176473
241;1;3;2;22;03;54;54;1;304,596385176473
241;1;4;1;3;03;54;54;1;304,596385176473
244;1;1;1;0;03;68;68;1;476,199696349154
244;1;2;2;0;03;68;68;1;476,199696349154
248;1;1;1;33;03;68;68;1;1025,66147647628
248;1;2;2;29;03;68;68;1;1025,66147647628
249;1;1;2;51;03;05;05;1;972,94958453578
249;1;2;2;26;03;05;05;1;972,94958453578
249;1;3;1;22;03;05;05;1;972,94958453578
251;1;1;2;47;03;66;66;1;444,381285368675
254;1;1;1;58;03;63;63;1;57,4511752379698
254;1;2;2;52;03;63;63;1;57,4511752379698
254;1;3;1;23;03;63;63;1;57,4511752379698
256;1;1;2;49;03;66;66;1;614,197634583875
256;1;2;1;29;03;66;66;1;614,197634583875
256;1;3;1;25;03;66;66;1;614,197634583875
256;1;4;2;22;03;66;66;1;614,197634583875
258;1;1;1;59;03;44;44;1;77,4928489590691
258;2;1;1;59;03;44;44;1;77,4928489590691
259;1;1;1;66;03;68;68;1;837,399321145756
259;1;2;2;57;03;68;68;1;837,399321145756
260;1;1;1;87;03;68;68;1;396,205397601406
260;1;2;2;78;03;68;68;1;396,205397601406
260;1;3;2;47;03;68;68;1;396,205397601406
262;1;1;1;41;03;68;68;1;691,998739998062
262;1;2;2;33;03;68;68;1;691,998739998062
262;1;3;1;6;03;68;68;1;691,998739998062
262;1;4;2;65;03;68;68;1;691,998739998062
263;1;1;2;80;03;05;05;1;867,837711118043
263;1;2;1;28;03;05;05;1;867,837711118043
264;1;1;2;38;03;68;68;1;451,415230736764
264;1;2;1;2;03;68;68;1;451,415230736764
267;1;1;1;22;03;54;54;1;230,55590498036
267;1;2;2;18;03;54;54;1;230,55590498036
267;1;3;1;46;03;54;54;1;230,55590498036
267;1;4;2;36;03;54;54;1;230,55590498036
269;1;1;2;48;03;68;68;1;575,554419189376
269;1;2;1;10;03;68;68;1;575,554419189376
271;1;1;2;57;03;63;63;1;154,324174741756
271;1;2;2;33;03;63;63;1;154,324174741756
271;1;3;2;3;03;63;63;1;154,324174741756
272;1;1;1;24;03;47;47;1;88,1589326673438
273;1;1;2;45;03;73;73;1;458,672143562571
273;1;2;1;26;03;73;73;1;458,672143562571
273;1;3;2;8;03;73;73;1;458,672143562571
273;1;4;2;14;03;73;73;1;458,672143562571
273;1;5;1;9;03;73;73;1;458,672143562571
274;1;1;1;71;03;23;23;1;142,565357260394
275;1;1;1;71;03;66;66;1;151,200343086566
275;1;2;2;67;03;66;66;1;151,200343086566
276;1;1;1;77;03;23;23;1;138,41863764826
276;1;2;2;17;03;23;23;1;138,41863764826
277;1;1;1;20;03;47;47;1;88,1589326673438
278;1;1;2;66;03;47;47;1;51,6372695107528
278;1;2;2;38;03;47;47;1;51,6372695107528
280;1;1;2;50;03;05;05;1;752,580090001698
280;1;2;1;52;03;05;05;1;752,580090001698
280;1;3;1;26;03;05;05;1;752,580090001698
280;1;4;1;24;03;05;05;1;752,580090001698
281;1;1;2;34;03;50;50;1;265,709988857599
281;1;2;1;8;03;50;50;1;265,709988857599
282;1;1;2;40;03;05;05;1;783,182968095888
283;1;1;1;35;03;05;05;1;943,241615385183
283;1;2;2;34;03;05;05;1;943,241615385183
283;1;3;2;8;03;05;05;1;943,241615385183
285;1;1;2;50;03;76;76;1;1150,93376092561
285;1;2;1;21;03;76;76;1;1150,93376092561
285;1;3;2;28;03;76;76;1;1150,93376092561
285;1;4;2;9;03;76;76;1;1150,93376092561
289;1;1;1;29;03;54;54;1;471,888379227737
289;1;2;2;31;03;54;54;1;471,888379227737
289;1;3;1;61;03;54;54;1;471,888379227737
289;1;4;2;6;03;54;54;1;471,888379227737
289;1;5;1;33;03;54;54;1;471,888379227737
290;1;1;1;44;03;73;73;1;97,7519065574599
290;1;2;2;62;03;73;73;1;97,7519065574599
290;1;3;1;18;03;73;73;1;97,7519065574599
290;1;4;1;26;03;73;73;1;97,7519065574599
290;1;5;2;87;03;73;73;1;97,7519065574599
292;1;1;1;32;03;13;13;1;622,906447998738
292;1;2;2;28;03;13;13;1;622,906447998738
292;1;3;2;2;03;13;13;1;622,906447998738
292;1;4;2;0;03;13;13;1;622,906447998738
292;1;5;1;18;03;13;13;1;622,906447998738
292;1;6;2;8;03;13;13;1;622,906447998738
292;1;7;1;34;03;13;13;1;622,906447998738
293;1;1;2;51;03;05;05;1;988,42060155376
293;1;2;1;21;03;05;05;1;988,42060155376
295;1;1;1;41;03;54;54;1;220,36722063015
295;1;2;2;46;03;54;54;1;220,36722063015
295;1;3;1;16;03;54;54;1;220,36722063015
295;1;4;1;35;03;54;54;1;220,36722063015
296;1;1;2;41;03;68;68;1;427,465972555229
299;3;1;2;46;03;68;68;1;446,776303304652
299;3;2;1;52;03;68;68;1;446,776303304652
299;3;3;1;17;03;68;68;1;446,776303304652
299;3;4;2;15;03;68;68;1;446,776303304652
300;1;1;2;34;03;05;05;1;881,173971944303
300;1;2;2;15;03;05;05;1;881,173971944303
300;1;3;1;5;03;05;05;1;881,173971944303
301;1;1;1;74;03;50;50;1;138,995201031131
304;1;1;2;47;03;05;05;1;880,658701110875
304;1;2;1;49;03;05;05;1;880,658701110875
304;1;3;2;22;03;05;05;1;880,658701110875
304;1;4;2;21;03;05;05;1;880,658701110875
304;1;5;2;0;03;05;05;1;880,658701110875
304;1;6;1;20;03;05;05;1;880,658701110875
305;1;1;2;36;03;18;18;1;196,011867312
308;1;1;1;53;03;05;05;1;893,071436663366
308;1;2;2;50;03;05;05;1;893,071436663366
308;1;3;2;22;03;05;05;1;893,071436663366
308;1;4;1;17;03;05;05;1;893,071436663366
309;1;1;2;36;03;54;54;1;274,136746658826
309;1;2;1;9;03;54;54;1;274,136746658826
309;1;3;2;21;03;54;54;1;274,136746658826
309;1;4;1;65;03;54;54;1;274,136746658826
310;1;1;1;21;03;50;50;1;252,744812156796
310;1;2;2;45;03;50;50;1;252,744812156796
310;1;3;2;23;03;50;50;1;252,744812156796
310;1;4;1;4;03;50;50;1;252,744812156796
311;1;1;1;54;03;05;05;1;947,873130217059
312;1;1;2;39;03;08;08;1;442,794885650824
312;1;2;1;37;03;08;08;1;442,794885650824
312;1;3;2;22;03;08;08;1;442,794885650824
312;1;4;2;19;03;08;08;1;442,794885650824
312;1;5;1;17;03;08;08;1;442,794885650824
312;1;6;1;2;03;08;08;1;442,794885650824
315;1;1;1;28;03;68;68;1;479,801803959937
319;1;1;2;43;03;63;63;1;113,024645535704
319;1;2;2;23;03;63;63;1;113,024645535704
320;1;1;1;55;03;76;76;1;1210,73175190656
320;1;2;2;48;03;76;76;1;1210,73175190656
320;1;3;1;8;03;76;76;1;1210,73175190656
321;1;1;2;34;03;50;50;1;331,164237010253
321;1;2;1;11;03;50;50;1;331,164237010253
321;1;3;1;3;03;50;50;1;331,164237010253
321;1;4;2;0;03;50;50;1;331,164237010253
323;1;1;1;59;03;23;23;1;142,565357260394
325;1;1;1;60;03;68;68;1;385,701997392316
325;1;2;2;0;03;68;68;1;385,701997392316
326;1;1;2;51;03;66;66;1;179,902551356096
326;1;2;1;19;03;66;66;1;179,902551356096
326;1;3;1;17;03;66;66;1;179,902551356096
326;1;4;1;15;03;66;66;1;179,902551356096
328;1;1;1;44;03;13;13;1;432,506107361086
328;1;2;2;29;03;13;13;1;432,506107361086
329;1;1;1;79;03;73;73;1;72,8376242913311
329;1;2;2;60;03;73;73;1;72,8376242913311
332;1;1;1;29;03;54;54;1;340,40789829637
332;1;2;2;18;03;54;54;1;340,40789829637
332;1;3;2;3;03;54;54;1;340,40789829637
332;1;4;2;0;03;54;54;1;340,40789829637
335;1;1;1;42;03;19;19;1;110,776231823383
335;1;2;2;49;03;19;19;1;110,776231823383
335;1;3;1;17;03;19;19;1;110,776231823383
335;1;4;2;13;03;19;19;1;110,776231823383
337;1;1;1;83;03;23;23;1;142,565357260394
338;1;1;1;42;03;47;47;1;71,6642025467513
338;1;2;2;35;03;47;47;1;71,6642025467513
339;1;1;1;61;03;05;05;1;653,916718372812
340;1;1;2;46;03;05;05;1;577,648403505444
340;1;2;1;23;03;05;05;1;577,648403505444
344;1;1;2;82;03;66;66;1;477,812138631633
344;1;2;2;82;03;66;66;1;477,812138631633
345;1;1;1;46;03;05;05;1;787,837325046494
345;1;2;2;50;03;05;05;1;787,837325046494
345;1;3;2;0;03;05;05;1;787,837325046494
345;1;4;1;0;03;05;05;1;787,837325046494
348;1;1;2;24;03;54;54;1;305,012834430038
348;1;2;1;24;03;54;54;1;305,012834430038
348;1;3;2;0;03;54;54;1;305,012834430038
350;1;1;2;68;03;68;68;1;672,93665347832
350;1;2;1;51;03;68;68;1;672,93665347832
350;1;3;1;22;03;68;68;1;672,93665347832
351;1;1;2;56;03;50;50;1;76,6422536738623
351;1;2;1;44;03;50;50;1;76,6422536738623
353;1;1;1;26;03;13;13;1;386,49732019601
353;1;2;2;23;03;13;13;1;386,49732019601
353;1;3;1;8;03;13;13;1;386,49732019601
353;1;5;2;6;03;13;13;1;386,49732019601
355;1;1;2;36;03;23;23;1;170,969683238708
355;1;2;2;15;03;23;23;1;170,969683238708
356;1;1;1;30;03;66;66;1;384,173058495493
356;1;2;2;27;03;66;66;1;384,173058495493
356;1;3;2;4;03;66;66;1;384,173058495493
356;1;4;1;0;03;66;66;1;384,173058495493
357;1;1;2;40;03;13;13;1;391,318159853291
357;1;2;2;13;03;13;13;1;391,318159853291
357;3;1;2;0;03;13;13;1;391,318159853291
358;1;1;1;61;03;50;50;1;55,5000527971743
358;1;2;2;61;03;50;50;1;55,5000527971743
358;1;3;1;28;03;50;50;1;55,5000527971743
358;1;4;2;23;03;50;50;1;55,5000527971743
359;1;1;1;83;03;54;54;1;135,599057651451
359;1;2;2;85;03;54;54;1;135,599057651451
360;1;1;1;19;03;15;15;1;121,95871386185
361;1;1;2;31;03;23;23;1;162,392317183965
361;1;2;2;8;03;23;23;1;162,392317183965
362;1;1;2;68;03;13;13;1;327,948581237533
362;1;2;2;83;03;13;13;1;327,948581237533
364;1;1;2;33;03;23;23;1;196,493077671845
364;1;2;1;54;03;23;23;1;196,493077671845
364;1;3;1;20;03;23;23;1;196,493077671845
364;1;4;2;18;03;23;23;1;196,493077671845
364;1;5;2;14;03;23;23;1;196,493077671845
364;1;6;2;0;03;23;23;1;196,493077671845
365;1;1;1;67;03;47;47;1;67,9297662523781
366;1;1;1;46;03;05;05;1;954,120355777918
366;1;2;2;40;03;05;05;1;954,120355777918
366;1;3;1;20;03;05;05;1;954,120355777918
367;1;1;1;59;03;50;50;1;70,1445620325667
367;1;2;2;54;03;50;50;1;70,1445620325667
367;1;3;1;21;03;50;50;1;70,1445620325667
368;1;1;2;77;03;63;63;1;57,115408146641
370;1;1;2;60;03;05;05;1;623,853491769265
370;1;2;1;0;03;05;05;1;623,853491769265
370;1;3;2;33;03;05;05;1;623,853491769265
371;1;1;2;42;03;05;05;1;702,211409307471
371;1;4;2;0;03;05;05;1;702,211409307471
373;1;1;2;70;03;19;19;1;62,8857407905796
373;1;2;1;43;03;19;19;1;62,8857407905796
373;1;3;1;0;03;19;19;1;62,8857407905796
375;1;1;2;44;03;54;54;1;293,838748716206
375;1;2;1;19;03;54;54;1;293,838748716206
375;1;3;1;11;03;54;54;1;293,838748716206
376;1;1;2;58;03;05;05;1;1340,69876326473
376;1;2;1;0;03;05;05;1;1340,69876326473
376;1;3;2;0;03;05;05;1;1340,69876326473
379;1;1;1;86;03;23;23;1;83,454516181198
379;1;2;2;61;03;23;23;1;83,454516181198
379;1;3;2;36;03;23;23;1;83,454516181198
381;1;1;2;36;03;54;54;1;274,482540348108
381;1;2;2;11;03;54;54;1;274,482540348108
381;1;3;1;20;03;54;54;1;274,482540348108
381;1;4;2;19;03;54;54;1;274,482540348108
381;1;5;2;25;03;54;54;1;274,482540348108
383;1;1;1;20;03;13;13;1;286,475476816661
383;2;1;2;51;03;13;13;1;286,475476816661
383;2;2;1;20;03;13;13;1;286,475476816661
384;2;1;1;47;03;23;23;1;220,568551519415
384;2;2;2;47;03;23;23;1;220,568551519415
384;2;3;1;19;03;23;23;1;220,568551519415
384;2;4;2;3;03;23;23;1;220,568551519415
385;1;1;1;27;03;63;63;1;63,2653022680644
385;1;2;2;37;03;63;63;1;63,2653022680644
385;1;3;1;18;03;63;63;1;63,2653022680644
386;1;1;2;67;03;66;66;1;300,132078539768
388;1;1;1;54;03;13;13;1;396,248242020396
388;1;2;2;53;03;13;13;1;396,248242020396
388;1;3;2;4;03;13;13;1;396,248242020396
389;1;1;1;65;03;05;05;1;653,916718372812
390;1;1;1;51;03;47;47;1;79,2460811728095
390;1;2;2;38;03;47;47;1;79,2460811728095
390;1;3;2;13;03;47;47;1;79,2460811728095
391;2;1;1;36;03;50;50;1;177,890373834814
392;1;1;1;45;03;68;68;1;403,507135951488
392;1;2;2;38;03;68;68;1;403,507135951488
392;1;3;1;16;03;68;68;1;403,507135951488
392;1;4;2;14;03;68;68;1;403,507135951488
392;1;5;1;11;03;68;68;1;403,507135951488
392;1;6;2;0;03;68;68;1;403,507135951488
392;1;7;2;31;03;68;68;1;403,507135951488
393;1;1;1;44;03;13;13;1;297,316427044093
393;1;2;2;40;03;13;13;1;297,316427044093
393;1;3;1;19;03;13;13;1;297,316427044093
393;1;4;2;3;03;13;13;1;297,316427044093
394;1;1;2;77;03;05;05;1;942,762556338276
394;1;2;1;22;03;05;05;1;942,762556338276
395;1;1;2;43;03;76;76;1;1687,54980521285
395;1;2;2;0;03;76;76;1;1687,54980521285
395;1;3;1;33;03;76;76;1;1687,54980521285
395;1;4;1;12;03;76;76;1;1687,54980521285
395;1;5;2;17;03;76;76;1;1687,54980521285
395;1;6;1;22;03;76;76;1;1687,54980521285
396;1;1;1;77;03;05;05;1;889,455756413941
396;1;2;2;47;03;05;05;1;889,455756413941
396;1;3;1;13;03;05;05;1;889,455756413941
396;1;4;1;46;03;05;05;1;889,455756413941
398;1;1;1;36;03;15;15;1;137,153539925487
398;1;2;2;27;03;15;15;1;137,153539925487
398;1;3;1;14;03;15;15;1;137,153539925487
398;1;4;1;12;03;15;15;1;137,153539925487
398;1;5;2;11;03;15;15;1;137,153539925487
398;1;6;1;8;03;15;15;1;137,153539925487
398;1;7;1;2;03;15;15;1;137,153539925487
398;2;1;2;59;03;15;15;1;137,153539925487
400;1;1;2;67;03;23;23;1;251,662079205704
400;1;2;2;31;03;23;23;1;251,662079205704
402;1;1;2;53;03;15;15;1;109,299174916088
404;1;1;2;59;03;08;08;1;832,423086550548
404;1;2;2;4;03;08;08;1;832,423086550548
405;1;1;2;32;03;50;50;1;284,213118148212
405;1;2;2;7;03;50;50;1;284,213118148212
405;1;3;2;3;03;50;50;1;284,213118148212
405;1;4;1;34;03;50;50;1;284,213118148212
408;1;1;2;47;03;47;47;1;52,5299485578001
408;1;2;1;81;03;47;47;1;52,5299485578001
412;1;1;1;42;03;76;76;1;1486,36470326891
412;1;2;2;53;03;76;76;1;1486,36470326891
413;1;1;2;65;03;23;23;1;183,714970527574
413;1;2;1;17;03;23;23;1;183,714970527574
414;1;1;2;58;03;66;66;1;269,332290830333
414;1;2;1;41;03;66;66;1;269,332290830333
414;1;3;2;26;03;66;66;1;269,332290830333
414;1;4;1;5;03;66;66;1;269,332290830333
416;1;1;2;43;03;13;13;1;383,062347178263
416;1;2;2;17;03;13;13;1;383,062347178263
416;1;3;1;4;03;13;13;1;383,062347178263
419;1;1;2;58;03;23;23;1;149,743358034282
421;1;1;1;37;03;76;76;1;1804,87142539795
421;1;2;2;25;03;76;76;1;1804,87142539795
422;1;1;1;67;03;13;13;1;292,713040780526
422;1;2;2;75;03;13;13;1;292,713040780526
422;1;3;1;45;03;13;13;1;292,713040780526
423;1;1;1;64;03;23;23;1;95,0461529886041
423;1;2;2;56;03;23;23;1;95,0461529886041
424;1;1;1;49;03;68;68;1;596,702393775532
424;1;2;1;15;03;68;68;1;596,702393775532
425;1;1;1;35;03;05;05;1;729,156955093669
425;1;2;2;41;03;05;05;1;729,156955093669
425;1;3;2;21;03;05;05;1;729,156955093669
425;1;4;1;8;03;05;05;1;729,156955093669
425;1;5;2;2;03;05;05;1;729,156955093669
425;1;6;1;17;03;05;05;1;729,156955093669
425;1;7;2;62;03;05;05;1;729,156955093669
426;1;1;2;40;03;13;13;1;538,41350842648
426;1;2;2;22;03;13;13;1;538,41350842648
426;1;3;1;20;03;13;13;1;538,41350842648
426;1;4;1;11;03;13;13;1;538,41350842648
427;1;1;2;46;03;63;63;1;65,1080664814279
427;1;2;2;21;03;63;63;1;65,1080664814279
427;1;3;1;19;03;63;63;1;65,1080664814279
427;1;4;1;16;03;63;63;1;65,1080664814279
428;1;1;2;51;03;23;23;1;176,670002457491
428;1;2;1;12;03;23;23;1;176,670002457491
430;1;1;2;40;03;19;19;1;87,1103607150286
430;1;2;2;6;03;19;19;1;87,1103607150286
431;1;1;1;51;03;23;23;1;373,176734669125
431;1;2;2;46;03;23;23;1;373,176734669125
431;1;3;1;24;03;23;23;1;373,176734669125
431;1;4;2;21;03;23;23;1;373,176734669125
432;1;1;1;57;03;23;23;1;124,192990942081
432;1;2;2;49;03;23;23;1;124,192990942081
432;1;3;2;24;03;23;23;1;124,192990942081
433;1;1;2;59;03;76;76;1;1644,23704168842
433;1;2;1;32;03;76;76;1;1644,23704168842
435;1;1;2;78;03;66;66;1;264,681757307111
435;1;2;2;51;03;66;66;1;264,681757307111
435;1;3;1;23;03;66;66;1;264,681757307111
