DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
6,000,591;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,592;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,594;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,595;1;1;1;80;2;;;;2;;;;1;2;8;;2;2;;2;;1;11;;15;1284.8264205
6,000,595;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1284.8264205
6,000,595;1;3;1;80;2;;;;1;1;;2;;;9;;2;2;;2;;1;11;3;15;1284.8264205
6,000,595;1;7;1;80;2;;;;1;9;EDAD;2;;;8;;2;2;;2;;1;11;4;15;1284.8264205
6,000,596;1;2;1;80;2;;;;1;8;;2;;;1;;2;2;;2;;1;11;3;15;2737.4329128
6,000,597;1;1;1;80;2;;;;1;5;;2;;;8;;2;2;;2;;1;11;4;15;1273.3850842
6,000,597;1;2;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;15;1273.3850842
6,000,603;1;1;1;80;2;1;40;800,000;1;4;;2;;;4;;2;2;;2;;1;11;3;15;1446.2152989
6,000,604;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;15;1698.0269879
6,000,604;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1698.0269879
6,000,604;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;1698.0269879
6,000,605;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;15;809.52275679
6,000,606;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;15;809.52275679
6,000,608;1;1;1;80;2;;;;1;9;PANDEMIA COVID 19;2;;;1;;2;2;;2;;1;11;2;15;1749.9837677
6,000,609;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;2;15;809.52275679
6,000,609;1;2;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;2;15;809.52275679
6,000,610;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;15;1110.4300308
6,000,612;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;15;1211.6337959
6,000,615;1;1;1;80;2;;;;1;9;POR LA EDAD;2;;;9;;2;2;;2;;1;11;4;15;809.52275679
6,000,616;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;15;809.52275679
6,000,616;1;3;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;15;809.52275679
6,000,617;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;15;809.52275679
6,000,619;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;2327.6939507
6,000,619;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;2327.6939507
6,000,620;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;2367.0541618
6,000,620;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;2367.0541618
6,000,620;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;2367.0541618
6,000,621;1;1;1;80;2;;;;1;3;;2;;;4;;2;2;;2;;1;11;4;15;809.52275679
6,000,621;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,621;1;4;1;80;2;1;16;400,000;1;2;;2;;;2;;2;2;;2;;1;11;2;15;809.52275679
6,000,622;1;1;1;80;2;1;40;908,700;1;8;;2;;;9;;2;2;;2;;1;11;2;15;1418.9652279
6,000,623;1;2;1;80;2;;;;1;9;PANDEMIA COVID 19;2;;;9;;2;2;;2;;1;11;2;15;1552.7870456
6,000,624;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;809.52275679
6,000,625;1;1;1;80;2;;;;1;5;;2;;;8;;2;2;;2;;1;11;4;15;1333.0602624
6,000,625;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1333.0602624
6,000,626;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;3;15;1333.0602624
6,000,626;1;2;1;80;2;;;;1;3;;2;;;8;;2;2;;2;;1;11;4;15;1333.0602624
6,000,627;1;2;1;80;2;;;;1;8;;2;;;1;;2;2;;2;;1;11;1.2;15;2946.5550338
6,000,627;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;2946.5550338
6,000,628;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;15;2881.7396435
6,000,629;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;15;1333.0602624
6,000,630;1;1;1;80;2;;;;1;8;;2;;;1;;2;2;;2;;1;11;2;15;1454.7840034
6,000,630;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1454.7840034
6,000,631;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;2946.5550338
6,000,631;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;2946.5550338
6,000,632;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;3347.0326181
6,000,632;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;3347.0326181
6,000,632;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;3347.0326181
6,000,634;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1333.0602624
6,000,636;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;15;2406.11302
6,000,636;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;2406.11302
6,000,637;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;15;1333.0602624
6,000,637;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1333.0602624
6,000,637;1;5;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;15;1333.0602624
6,000,638;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;15;809.52275679
6,000,639;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;2058.5189648
6,000,640;1;1;1;80;2;;;;1;8;;2;;;1;;2;2;;1;200,000;1;11;1.1;15;3852.0037697
6,000,640;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;3852.0037697
6,000,640;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;3852.0037697
6,000,641;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;3;15;1333.0602624
6,000,642;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;15;2381.5169242
6,000,643;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;15;1333.0602624
6,000,643;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1333.0602624
6,000,644;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;15;809.52275679
6,000,645;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;2;15;1454.7840034
6,000,645;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;15;1454.7840034
6,000,645;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;1454.7840034
6,000,646;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;2501.7958465
6,000,647;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;15;809.52275679
6,000,649;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;15;2395.7036016
6,000,649;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;15;2395.7036016
6,000,650;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;15;1895.9157255
6,000,650;1;4;1;80;2;;;;2;;;;1;3;9;;2;2;;2;;1;11;;15;1895.9157255
6,000,651;1;2;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;15;809.52275679
6,000,652;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;15;809.52275679
6,000,653;1;2;1;80;2;;;;1;3;;2;;;8;;2;2;;2;;1;11;1.4;15;809.52275679
6,000,653;1;3;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;15;809.52275679
6,000,653;1;4;1;80;2;;;;1;2;;2;;;2;;2;2;;2;;1;11;1.3;15;809.52275679
6,000,654;1;1;1;80;2;;;;1;6;;2;;;8;;2;2;;2;;1;11;3;15;809.52275679
6,000,654;1;2;1;80;2;;;;1;6;;2;;;11;;2;2;;2;;1;11;3;15;809.52275679
6,005,436;1;2;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;1989.0353007
6,005,437;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,437;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,438;1;1;1;80;2;2;;500,000;1;3;;2;;;9;;2;2;;2;;1;11;1.4;19;638.53295622
6,005,438;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,439;1;2;1;80;2;1;44;400,000;1;8;;2;;;1;;2;2;;2;;1;11;2;19;638.53295622
6,005,439;1;4;1;80;2;;;;1;9;POR LA PANDEMIA;2;;;4;;2;2;;2;;1;11;2;19;638.53295622
6,005,439;1;5;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,440;1;2;1;80;2;1;20;500,000;1;3;;2;;;8;;2;2;;2;;1;11;4;19;638.53295622
6,005,441;1;2;1;80;2;1;44;908,526;1;9;POR LA PANDEMIA;2;;;1;;2;2;;2;;1;11;2;19;638.53295622
6,005,441;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,442;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,453;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,454;1;2;1;80;2;1;44;600,000;1;6;;2;;;1;;2;2;;2;;1;11;1.4;19;638.53295622
6,005,455;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,456;1;2;1;80;2;2;;600,000;2;;;;2;;;.;2;2;;2;;1;11;;19;2331.8698831
6,005,458;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;2745.6917117
6,005,459;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,459;1;5;1;80;2;;;;1;2;;2;;;2;;2;2;;2;;1;11;1.2;19;638.53295622
6,005,460;1;4;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,462;1;2;1;80;2;1;15;200,000;1;3;;2;;;9;;2;2;;2;;1;11;4;19;638.53295622
6,005,463;1;2;1;80;2;2;;908,526;1;9;POR LA PANDEMIA RECORTARON PERSONAL Y PERDIO SU TRABAJO;2;;;12;POR ESTAR EN EMBARAZO;2;2;;2;;1;11;3;19;638.53295622
6,005,470;1;2;1;80;2;2;;908,526;1;7;;2;;;9;;2;2;;2;;1;11;2;19;857.15678177
6,005,470;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;857.15678177
6,005,473;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;2;19;638.53295622
6,005,473;1;2;1;80;2;;;;1;7;;2;;;1;;2;2;;2;;1;11;4;19;638.53295622
6,005,474;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;19;2745.6917117
6,005,474;1;3;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;19;2745.6917117
6,005,474;1;5;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;2745.6917117
6,005,474;1;6;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;2745.6917117
6,005,476;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;2745.6917117
6,005,477;1;2;1;80;2;2;;800,000;1;3;;2;;;9;;2;2;;2;;1;11;4;19;2745.6917117
6,005,477;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;2745.6917117
6,005,478;1;2;1;80;2;2;;200,000;1;3;;2;;;9;;2;2;;2;;1;11;1.2;19;2745.6917117
6,005,479;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;19;638.53295622
6,005,480;1;2;1;80;2;;;;1;6;;2;;;1;;2;2;;2;;1;11;4;19;638.53295622
6,005,480;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,480;1;5;1;80;2;2;;600,000;1;4;;2;;;4;;2;2;;2;;1;11;1.2;19;638.53295622
6,005,483;1;3;1;80;2;1;4;80,000;2;;;;2;;;.;;;;2;;1;11;;19;857.15678177
6,005,488;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;3;19;638.53295622
6,005,490;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;19;638.53295622
6,005,490;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;638.53295622
6,005,494;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;2745.6917117
6,005,496;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;19;638.53295622
6,005,496;1;2;1;80;2;;;;1;8;;2;;;11;;2;2;;2;;1;11;1.2;19;638.53295622
6,005,497;2;2;2;80;2;;;;2;;;;1;1;2;;2;2;;2;;1;11;;19;2745.6917117
6,005,498;1;2;1;80;2;2;;400,000;1;3;;2;;;9;;2;2;;2;;1;11;2;19;2745.6917117
6,005,500;1;3;1;80;2;;;;1;8;;2;;;11;;2;2;;2;;1;11;1.4;19;638.53295622
6,005,500;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,501;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;19;638.53295622
6,005,502;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;2745.6917117
6,005,504;1;2;1;80;2;;;;1;2;;2;;;2;;;;;2;;1;11;1.3;19;2745.6917117
6,005,507;1;2;1;80;2;;;;1;9;POR LA EDAD;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,509;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;19;638.53295622
6,005,509;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;638.53295622
6,005,509;1;5;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;19;638.53295622
6,005,510;1;1;1;80;2;1;15;450,000;1;3;;2;;;1;;2;2;;2;;1;11;4;19;638.53295622
6,005,511;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,512;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;19;638.53295622
6,005,512;1;2;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;19;638.53295622
6,005,513;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;2745.6917117
6,005,514;1;3;1;80;2;2;;500,000;1;8;;2;;;9;;2;2;;2;;1;11;1.4;19;638.53295622
6,005,514;1;5;1;80;2;2;;500,000;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,515;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,515;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;19;638.53295622
6,005,516;1;2;1;80;2;2;;600,000;1;8;;2;;;9;;2;2;;2;;1;11;4;19;2745.6917117
6,005,517;1;2;1;80;2;2;;400,000;1;3;;2;;;9;;2;2;;2;;1;11;2;19;2745.6917117
6,005,518;1;5;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;2745.6917117
6,005,519;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,519;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;638.53295622
6,005,521;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,523;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;638.53295622
6,005,524;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;19;638.53295622
6,005,525;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,526;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,526;1;6;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,526;1;7;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;19;638.53295622
6,005,527;1;3;1;80;2;2;;1,200,000;1;4;;2;;;4;;2;2;;2;;1;11;1.3;19;638.53295622
6,005,527;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;638.53295622
6,005,530;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;638.53295622
6,005,552;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;19;638.53295622
6,005,553;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,554;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,555;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;2745.6917117
6,005,559;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;19;1427.2221803
6,005,560;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,561;1;2;1;80;2;2;;500,000;1;3;;2;;;9;;2;2;;2;;1;11;4;19;638.53295622
6,005,561;1;4;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;2;19;638.53295622
6,005,561;1;5;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;19;638.53295622
6,005,564;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,566;1;4;1;80;2;;;;2;;;;1;1;2;;2;2;;2;;1;11;;19;638.53295622
6,005,566;1;6;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,567;1;4;1;80;2;2;;900,000;2;;;;2;;;.;2;2;;2;;1;11;;19;2745.6917117
6,005,567;1;6;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;2745.6917117
6,005,568;1;1;1;80;2;;;;1;6;;2;;;11;;2;2;;2;;1;11;2;19;1427.2221803
6,005,571;1;2;1;80;2;2;;600,000;1;8;;2;;;1;;2;2;;2;;1;11;2;19;638.53295622
6,005,571;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;638.53295622
6,005,572;1;1;1;80;2;2;;500,000;1;9;POR ESTAR EN EMBARAZO;2;;;12;POR EL EMBARAZO;2;2;;2;;1;11;1.3;19;638.53295622
6,005,573;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;19;638.53295622
6,005,577;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;19;2361.5995784
6,005,577;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;2361.5995784
6,005,577;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;2361.5995784
6,005,579;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,580;1;2;1;80;2;1;40;300,000;1;8;;2;;;9;;2;2;;2;;1;11;1.3;19;638.53295622
6,005,581;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;19;638.53295622
6,005,582;1;1;1;80;2;2;;600,000;2;;;;1;1;1;;2;2;;2;;1;11;;19;638.53295622
6,005,583;1;2;1;80;2;;;;1;7;;2;;;1;;2;2;;2;;1;11;4;19;638.53295622
6,005,585;1;2;1;80;2;;;;1;9;POR LA EDAD;2;;;8;;2;2;;2;;1;11;4;19;638.53295622
6,005,585;1;3;1;80;2;;;;1;9;POR LA EDAD;2;;;8;;2;2;;2;;1;11;4;19;638.53295622
6,005,586;1;3;1;80;2;2;;1,800,000;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,586;1;5;1;80;2;2;;908,526;2;;;;2;;;.;2;2;;2;;1;11;;19;638.53295622
6,005,586;1;7;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;638.53295622
6,005,593;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;19;2745.6917117
6,005,595;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;3116.5850061
6,005,598;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;2426.4947354
6,005,598;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;2426.4947354
6,005,599;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;2991.5053924
6,005,599;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;2991.5053924
6,005,599;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;2991.5053924
6,005,599;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;2991.5053924
6,005,604;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;20;697.41444633
6,005,619;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;1130.4915758
6,005,620;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;2;20;1896.9281803
6,005,622;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;697.41444633
6,005,623;1;1;1;80;2;1;40;400,000;1;4;;2;;;4;;2;2;;2;;1;11;1.2;20;1262.5829314
6,005,623;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;1262.5829314
6,005,623;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;1262.5829314
6,005,623;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;1262.5829314
6,005,624;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;1433.8551866
6,005,624;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;1433.8551866
6,005,625;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;20;1917.3450689
6,005,626;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;885.97666807
6,005,626;1;2;1;80;2;1;50;500,000;1;8;;2;;;1;;2;2;;1;300,000;1;11;1.2;20;885.97666807
6,005,626;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;885.97666807
6,005,626;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;885.97666807
6,005,640;1;1;1;80;2;1;40;900,000;1;1;;2;;;1;;2;2;;2;;1;11;2;20;1767.2442049
6,005,646;1;2;1;80;2;1;44;600,000;1;3;;2;;;1;;2;2;;2;;1;11;3;20;1271.3066258
6,005,647;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;20;1271.3066258
6,005,651;1;2;1;80;2;1;40;300,000;1;3;;2;;;1;;2;2;;2;;1;11;3;20;1819.0868109
6,005,677;1;2;1;80;2;2;;500,000;1;3;;2;;;9;;2;2;;2;;1;11;4;20;1011.9386751
6,005,678;1;2;1;80;2;2;;900,000;2;;;;2;;;.;2;2;;2;;1;11;;20;1156.8020864
6,005,678;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;1156.8020864
6,005,679;1;1;1;80;2;1;40;400,000;1;9;COVID 19;2;;;1;;2;2;;2;;1;11;2;20;803.11842521
6,005,679;1;2;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;803.11842521
6,005,680;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;1247.4034955
6,005,682;1;2;1;80;2;;;;1;8;;2;;;9;;2;2;;2;;1;11;4;20;1796.3285156
6,005,685;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;1027.118111
6,005,686;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;11;;20;1492.8665714
6,005,686;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;1492.8665714
6,005,686;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;11;;20;1492.8665714
