DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;DPTO;fex_c_2011
990958;1;2;1;50;2;1;1;;;;;;;;;;;;;;;;5;141.665.164.108.341
990959;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;141.665.164.108.341
990959;1;2;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;141.665.164.108.341
990961;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;191.415.901.749.273
990961;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;5;191.415.901.749.273
990961;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;191.415.901.749.273
990961;1;6;1;50;2;6;4;;2;2;2;2;;;2;;;;;;;;5;191.415.901.749.273
990963;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;53.652.979.229.921
990963;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;53.652.979.229.921
990964;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;624.016.421.632.126
990964;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;624.016.421.632.126
990966;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;110.179.505.903.072
990966;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;5;110.179.505.903.072
990966;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;110.179.505.903.072
990967;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;660.989.224.102.577
990969;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;660.989.224.102.577
990982;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;190.350.395.810.008
990982;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;190.350.395.810.008
990982;1;4;1;50;2;3;3;;2;2;2;2;;;2;;;;;;;;5;190.350.395.810.008
990985;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;159.074.325.386.284
990985;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;159.074.325.386.284
990985;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;159.074.325.386.284
990988;1;1;1;50;2;1;2;;2;2;2;1;2;;;;;;;;;1;5;105.709.560.762.081
990988;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;5;105.709.560.762.081
990988;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;105.709.560.762.081
990989;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;206.451.787.645.959
990989;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;206.451.787.645.959
990991;1;1;1;50;2;1;2;;2;2;2;1;1;;;;;;;;;1;5;83.939.183.280.308
990991;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;83.939.183.280.308
990991;1;3;1;50;2;3;4;;2;2;2;2;;;2;;;;;;;;5;83.939.183.280.308
990994;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;407.973.931.734.752
990994;1;2;1;50;2;2;4;;1;;;;;;;;;;;;;;5;407.973.931.734.752
990994;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;407.973.931.734.752
990995;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;831.749.136.212.903
990995;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;831.749.136.212.903
990995;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;831.749.136.212.903
990995;1;6;1;50;2;6;1;;;;;;;;;;;;;;;;5;831.749.136.212.903
990997;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;642.341.478.206.716
990997;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;5;642.341.478.206.716
991010;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;131.316.645.539.983
991010;1;2;1;50;2;2;4;;2;2;2;2;;;1;2;;1;1;;8;1;5;131.316.645.539.983
991011;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;143.639.887.852.467
991011;1;2;1;50;2;2;4;;1;;;;;;;;;;;;;;5;143.639.887.852.467
991012;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;199.620.610.475.083
991012;1;2;1;50;2;2;4;;1;;;;;;;;;;;;;;5;199.620.610.475.083
991014;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;255.910.165.367.615
991014;1;2;1;50;2;2;4;;1;;;;;;;;;;;;;;5;255.910.165.367.615
991014;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;255.910.165.367.615
991014;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;255.910.165.367.615
991016;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;261.747.685.338.268
991016;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;261.747.685.338.268
991017;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;377.360.543.097.275
991017;1;2;1;50;2;2;4;;2;2;2;2;;;1;10;;;;;;;5;377.360.543.097.275
991017;1;3;1;50;2;3;3;;1;;;;;;;;;;;;;;5;377.360.543.097.275
991019;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;240.827.504.048.611
991019;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;240.827.504.048.611
991020;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;173.962.696.151.227
991020;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;173.962.696.151.227
991020;1;3;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;173.962.696.151.227
991020;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;173.962.696.151.227
991020;1;5;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;173.962.696.151.227
991020;1;6;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;173.962.696.151.227
991020;1;7;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;173.962.696.151.227
991020;1;8;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;173.962.696.151.227
991022;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;227.494.275.530.085
991022;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;227.494.275.530.085
991022;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;227.494.275.530.085
991022;1;4;1;50;2;4;1;;;;;;;;;;;;;;;;5;227.494.275.530.085
991022;1;5;1;50;2;5;1;;;;;;;;;;;;;;;;5;227.494.275.530.085
991025;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;377.360.543.097.275
991025;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;377.360.543.097.275
991025;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;377.360.543.097.275
991029;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;199.620.610.475.083
991029;1;2;1;50;2;2;4;;2;2;2;1;1;;;;;;;;;1;5;199.620.610.475.083
991030;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;322.552.696.329.766
991030;1;2;1;50;2;2;4;;2;2;2;2;;;1;10;;;;;;;5;322.552.696.329.766
991030;1;4;1;50;2;4;6;ESTABA  ENFERMA;1;;;;;;;;;;;;;;5;322.552.696.329.766
991030;1;5;1;50;2;4;3;;2;2;2;2;;;2;;;;;;;;5;322.552.696.329.766
991031;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;23.929.166.563.942
991031;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;23.929.166.563.942
991037;1;1;1;50;2;6;1;;;;;;;;;;;;;;;;5;514.007.076.583.672
991037;1;2;1;50;2;6;4;;1;;;;;;;;;;;;;;5;514.007.076.583.672
991037;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;514.007.076.583.672
991037;1;4;1;50;2;4;3;;2;2;2;2;;;2;;;;;;;;5;514.007.076.583.672
991037;1;5;1;50;2;5;1;;;;;;;;;;;;;;;;5;514.007.076.583.672
991037;1;6;1;50;2;5;1;;;;;;;;;;;;;;;;5;514.007.076.583.672
991039;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;646.760.596.289.078
991041;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;146.567.377.343.734
991041;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;5;146.567.377.343.734
991042;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;240.445.582.860.042
991042;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;240.445.582.860.042
991042;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;240.445.582.860.042
991044;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;217.813.082.708.997
991044;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;217.813.082.708.997
991044;1;3;1;50;2;3;4;;2;2;2;2;;;1;4;;2;;2;;;5;217.813.082.708.997
991044;1;4;1;50;2;4;1;;;;;;;;;;;;;;;;5;217.813.082.708.997
991044;1;5;1;50;2;5;1;;;;;;;;;;;;;;;;5;217.813.082.708.997
991046;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;513.121.586.113.886
991046;1;2;1;50;2;2;4;;2;2;2;2;;;1;10;;;;;;;5;513.121.586.113.886
991047;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;376.206.625.876.653
991047;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;376.206.625.876.653
991048;1;1;1;50;2;1;6;EL HIJO ESTA  ENFERMO Y TUVO  QUE  DESPLAZARSE A  OTRO MUNICIPIO;1;;;;;;;;;;;;;;5;363.377.668.714.725
991048;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;363.377.668.714.725
991048;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;363.377.668.714.725
991048;1;4;1;50;2;4;3;;2;2;2;2;;;2;;;;;;;;5;363.377.668.714.725
991048;1;5;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;363.377.668.714.725
991049;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;242.484.325.558.632
991050;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;235.110.967.178.788
991050;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;235.110.967.178.788
991050;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;235.110.967.178.788
991053;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;258.149.246.374.444
991053;1;2;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;258.149.246.374.444
991058;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;456.900.784.655.769
991058;1;2;1;50;2;2;4;;2;2;2;2;;;1;10;;;;;;;5;456.900.784.655.769
991058;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;456.900.784.655.769
991058;1;7;1;50;2;7;1;;;;;;;;;;;;;;;;5;456.900.784.655.769
991061;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;258.555.025.419.056
991061;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;258.555.025.419.056
991061;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;258.555.025.419.056
991063;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;247.818.941.239.886
991064;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;350.669.694.653.627
991064;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;350.669.694.653.627
991064;1;3;1;50;2;3;3;;2;2;2;2;;;2;;;;;;;;5;350.669.694.653.627
991064;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;350.669.694.653.627
991064;1;5;1;50;2;5;4;;2;2;2;2;;;1;10;;;;;;;5;350.669.694.653.627
991064;1;6;1;50;2;5;3;;2;2;2;2;;;2;;;;;;;;5;350.669.694.653.627
991064;1;7;1;50;2;5;3;;2;2;2;2;;;2;;;;;;;;5;350.669.694.653.627
991074;1;1;1;50;2;1;6;DESCANSAR;2;2;2;2;;;2;;;;;;;;5;682.570.350.756.858
991074;1;2;1;50;2;2;4;;2;2;2;2;;;1;10;;;;;;;5;682.570.350.756.858
991074;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;682.570.350.756.858
991074;1;4;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;682.570.350.756.858
991076;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;59.954.091.747.191
991076;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;5;59.954.091.747.191
991078;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;143.639.887.852.467
991078;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;143.639.887.852.467
991085;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;233.454.145.668.767
991085;1;2;1;50;2;2;4;;2;2;2;2;;;1;2;;1;2;;;;5;233.454.145.668.767
991085;1;3;1;50;2;2;6;COLABORA CON LOS OFICIOS;2;2;2;2;;;2;;;;;;;;5;233.454.145.668.767
991085;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;233.454.145.668.767
991091;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;641.322.807.927.368
991091;1;2;1;50;2;2;6;HOSPITALIZADA;2;1;;;;;;;;;;;;;5;641.322.807.927.368
991091;1;3;1;50;2;3;6;ENFERMO;1;;;;;;;;;;;;;;5;641.322.807.927.368
991093;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;642.341.478.206.716
991093;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;642.341.478.206.716
991094;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;136.852.096.620.238
991094;1;2;1;50;2;1;1;;;;;;;;;;;;;;;;5;136.852.096.620.238
991094;1;3;1;50;2;1;1;;;;;;;;;;;;;;;;5;136.852.096.620.238
991096;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;877.758.905.764.374
991096;1;2;1;50;2;2;4;;2;2;2;2;;;1;10;;;;;;;5;877.758.905.764.374
991097;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;116.879.034.160.327
991097;1;2;1;50;2;2;4;;1;;;;;;;;;;;;;;5;116.879.034.160.327
991097;1;3;1;50;2;3;3;;2;2;2;1;2;;;;;;;;;1;5;116.879.034.160.327
991097;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;116.879.034.160.327
991097;1;5;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;116.879.034.160.327
991099;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;23.929.166.563.942
991099;1;2;1;50;2;1;1;;;;;;;;;;;;;;;;5;23.929.166.563.942
991101;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;256.995.329.153.822
991102;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;220.746.171.607.669
991102;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;220.746.171.607.669
991102;1;3;1;50;2;2;1;;;;;;;;;;;;;;;;5;220.746.171.607.669
991102;1;4;1;50;2;4;6;VTV;2;2;2;2;;;1;2;;2;;1;8;1;5;220.746.171.607.669
991102;1;5;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;220.746.171.607.669
991102;1;6;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;220.746.171.607.669
991105;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;241.599.500.080.664
991105;1;2;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;241.599.500.080.664
991105;1;3;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;241.599.500.080.664
991105;1;4;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;241.599.500.080.664
991107;1;1;1;50;2;1;6;COGER LEÑA;2;2;2;2;;;2;;;;;;;;5;281.011.045.117.904
991107;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;281.011.045.117.904
991107;1;3;1;50;2;2;6;ARREGLAR LA HUERTA CASERA;2;2;2;2;;;1;11;;;;;;;5;281.011.045.117.904
991108;1;1;1;50;2;2;6;CAMINAR;2;2;2;2;;;1;11;;;;;;;5;261.747.685.338.268
991108;1;2;1;50;2;2;4;;1;;;;;;;;;;;;;;5;261.747.685.338.268
991109;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;240.445.582.860.042
991109;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;240.445.582.860.042
991109;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;240.445.582.860.042
991112;1;1;1;50;2;1;4;;1;;;;;;;;;;;;;;5;245.320.289.212.516
991112;1;2;1;50;2;1;1;;;;;;;;;;;;;;;;5;245.320.289.212.516
991112;1;3;1;50;2;1;1;;;;;;;;;;;;;;;;5;245.320.289.212.516
991112;1;4;1;50;2;4;4;;2;2;2;2;;;2;;;;;;;;5;245.320.289.212.516
991112;1;5;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;245.320.289.212.516
991113;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;201.156.448.884.274
991113;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;201.156.448.884.274
991115;1;1;1;50;2;2;6;SEMBRAR PAPA PARA EL AUTOCONSUMO;2;2;2;2;;;2;;;;;;;;5;235.110.967.178.788
991115;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;235.110.967.178.788
991115;1;3;1;50;2;2;1;;;;;;;;;;;;;;;;5;235.110.967.178.788
991121;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;660.989.224.102.577
991122;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;102.782.071.270.813
991122;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;102.782.071.270.813
991122;1;3;1;50;2;2;6;CUIDAR LA ABUELA QUE ESTA ENFERMA;2;2;2;2;;;2;;;;;;;;5;102.782.071.270.813
991124;1;1;1;50;2;2;6;RECOGIENDO MAIZ PARA EL AUTOCONSUMO;2;2;2;1;1;;;;;;;;;1;5;226.462.708.477.492
991124;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;5;226.462.708.477.492
991124;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;226.462.708.477.492
991124;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;226.462.708.477.492
991124;1;5;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;226.462.708.477.492
991127;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;199.184.559.002.346
991127;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;199.184.559.002.346
991127;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;199.184.559.002.346
991127;1;4;1;50;2;3;3;;2;2;2;2;;;2;;;;;;;;5;199.184.559.002.346
991127;1;5;1;50;2;5;4;;2;2;2;2;;;2;;;;;;;;5;199.184.559.002.346
991127;1;6;1;50;2;5;3;;2;2;2;2;;;2;;;;;;;;5;199.184.559.002.346
991130;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;29.686.451.554.798
991130;1;2;1;50;2;2;4;;2;2;2;2;;;1;10;;;;;;;5;29.686.451.554.798
991132;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;262.398.698.269.491
991132;1;2;1;50;2;1;6;DEPORTE;2;2;2;2;;;1;13;POR FALTA DE DOCUMENTOS;;;;;;5;262.398.698.269.491
991132;1;3;1;50;2;1;6;V TV;1;;;;;;;;;;;;;;5;262.398.698.269.491
991132;1;4;1;50;2;1;2;;2;2;2;1;1;;;;;;;;;1;5;262.398.698.269.491
991132;1;5;1;50;2;5;6;LEER;1;;;;;;;;;;;;;;5;262.398.698.269.491
991134;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;284.785.964.533.925
991135;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;233.454.145.668.767
991135;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;233.454.145.668.767
991135;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;233.454.145.668.767
991135;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;233.454.145.668.767
991137;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;285.939.881.754.547
991137;1;2;1;50;2;1;6;ARREGLAR SU CASA;1;;;;;;;;;;;;;;5;285.939.881.754.547
991138;1;1;1;50;2;1;4;;2;2;1;;;;;;;;;;;;5;23.994.077.795.289
991138;1;2;1;50;2;2;6;COCINAR;2;2;2;2;;;2;;;;;;;;5;23.994.077.795.289
991138;1;3;1;50;2;1;1;;;;;;;;;;;;;;;;5;23.994.077.795.289
991140;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;336.535.570.712.316
991140;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;336.535.570.712.316
991142;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;247.818.941.239.886
991143;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;467.994.932.167.466
991143;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;467.994.932.167.466
991143;1;6;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;467.994.932.167.466
991148;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;329.544.133.521.041
991148;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;329.544.133.521.041
991148;1;3;1;50;2;2;6;COCINAR;2;2;2;2;;;2;;;;;;;;5;329.544.133.521.041
991149;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;177.316.373.885.549
991149;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;177.316.373.885.549
991149;1;3;1;50;2;2;1;;;;;;;;;;;;;;;;5;177.316.373.885.549
991149;1;4;1;50;2;2;6;ARREGLAR LA HUERTA CASERA;1;;;;;;;;;;;;;;5;177.316.373.885.549
991149;1;5;1;50;2;2;1;;;;;;;;;;;;;;;;5;177.316.373.885.549
991149;1;6;1;50;2;2;1;;;;;;;;;;;;;;;;5;177.316.373.885.549
991149;1;7;1;50;2;2;6;DEPORTE;2;2;2;2;;;2;;;;;;;;5;177.316.373.885.549
991149;1;8;1;50;2;2;6;LAVAR;2;2;2;2;;;2;;;;;;;;5;177.316.373.885.549
991149;1;9;1;50;2;2;6;JUGAR;2;2;2;2;;;2;;;;;;;;5;177.316.373.885.549
991151;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;377.360.543.097.275
991151;1;2;1;50;2;2;4;;1;;;;;;;;;;;;;;5;377.360.543.097.275
991151;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;377.360.543.097.275
991159;1;1;1;50;2;2;6;SEMBRAR TOMATE PARA EL AUTOCONSUMO;2;2;2;1;1;;;;;;;;;1;5;627.094.180.113.869
991159;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;627.094.180.113.869
991159;1;3;1;50;2;2;6;ARREGLAR LA HUERTA CASERA;2;2;2;2;;;1;7;;2;;2;;;5;627.094.180.113.869
991160;1;1;1;50;2;2;1;;;;;;;;;;;;;;;;5;114.383.079.879.393
991160;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;114.383.079.879.393
991160;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;114.383.079.879.393
991162;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;149.908.847.294.365
991162;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;149.908.847.294.365
991162;1;6;1;50;2;1;6;DESCANSAR;2;2;2;1;1;;;;;;;;;1;5;149.908.847.294.365
991164;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;187.684.117.717.457
991164;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;187.684.117.717.457
991166;1;1;1;50;2;1;6;EMFERMO;2;2;2;2;;;2;;;;;;;;5;124.018.434.699.372
991167;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;121.348.781.269.324
991168;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;129.864.748.132.751
991168;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;129.864.748.132.751
991168;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;129.864.748.132.751
991168;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;5;129.864.748.132.751
991180;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;123.345.476.026.463
991180;1;2;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;123.345.476.026.463
991180;1;3;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;123.345.476.026.463
991180;1;4;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;123.345.476.026.463
991180;1;5;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;123.345.476.026.463
991180;1;6;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;123.345.476.026.463
991209;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;855.206.491.311.914
991209;1;2;1;50;2;2;2;;2;2;2;1;2;;;;;;;;;1;5;855.206.491.311.914
991209;1;3;1;50;2;3;4;;2;2;1;;;;;;;;;;;;5;855.206.491.311.914
991209;1;5;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;855.206.491.311.914
