DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
5570733;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;1.2;05;1030.4450131
5570733;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1030.4450131
5570734;1;1;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;2;05;1212.4207996
5570737;1;1;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;05;987.06800115
5570738;1;2;1;80;05;1;2;;908526;1;4;;2;;;4;;2;2;;2;;1;10;1.2;05;627.67791867
5570738;1;3;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;10;;05;627.67791867
5570738;1;4;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;10;;05;627.67791867
5570738;1;5;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;627.67791867
5570739;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1125.5604548
5570740;1;2;1;80;05;1;;;;1;7;;2;;;1;;2;2;;2;;1;10;3;05;1180.58449
5570744;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1180.58449
5570744;1;2;1;80;05;1;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;05;1180.58449
5570745;1;2;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1133.5993078
5570745;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1133.5993078
5570748;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1192.6734875
5570750;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1243.7088141
5570751;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1422.5392256
5570751;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1422.5392256
5570751;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1422.5392256
5570752;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1121.5103103
5570753;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1192.6734875
5570753;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1192.6734875
5570754;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1258.5536113
5570754;1;2;1;80;05;1;;;;1;8;;2;;;11;;2;2;;2;;1;10;4;05;1258.5536113
5570754;1;6;1;80;05;1;1;24;908526;1;7;;1;;3;9;;1;1;2;2;;1;10;4;05;1258.5536113
5570754;1;7;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1258.5536113
5570754;1;8;1;80;05;1;;;;1;2;;2;;;2;;;;;1;30000;1;10;1.1;05;1258.5536113
5570755;1;5;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1111.2707145
5570759;1;1;1;80;13;1;;;;1;3;;2;;;8;;2;2;;2;;1;10;4;13;431.27918096
5570761;1;2;1;80;17;1;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;17;211.91051043
5570763;1;2;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;17;224.64824648
5570764;1;3;1;80;17;1;;;;2;;;;2;;;.;;;;2;;1;10;;17;225.64153838
5570764;1;5;1;80;17;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;17;225.64153838
5570765;1;2;1;80;17;1;;;;1;3;;2;;;9;;1;2;;2;;1;10;4;17;238.05719046
5570767;1;2;1;80;19;1;;;;1;8;;2;;;1;;2;2;;2;;1;10;2;19;135.23391215
5570768;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;174.37350978
5570770;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;230.72654095
5570772;1;1;1;80;20;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;20;109.27589843
5570775;1;1;1;80;20;1;;;;1;1;;1;;3;8;;2;2;;2;;1;10;4;20;187.1414769
5570775;1;2;1;80;20;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;1.3;20;187.1414769
5570777;1;1;1;80;20;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;20;109.27589843
5570777;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;109.27589843
5570777;1;4;1;80;20;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;20;109.27589843
5570778;1;3;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;259.79595731
5570780;1;2;1;80;20;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;20;178.66818198
5570780;1;3;1;80;20;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;20;178.66818198
5570781;1;1;1;80;20;1;1;48;400000;1;3;;2;;;9;;2;2;;2;;1;10;3;20;246.7432936
5570781;1;6;1;80;20;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;20;246.7432936
5570782;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;240.42446687
5570782;1;5;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;240.42446687
5570784;1;2;1;80;20;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;2;20;308.08051874
5570785;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;290.24587343
5570786;1;1;1;80;20;1;;;;1;6;;2;;;12;NO TIENE SUS PAPELES LEGALES (PEP) PARA SOLICITUD DE EMPLEO;2;2;;2;;1;10;4;20;253.22494345
5570786;1;4;1;80;20;1;1;48;700000;1;6;;2;;;1;;2;2;;2;;1;10;3;20;253.22494345
5570786;1;5;1;80;20;1;1;48;600000;2;;;;2;;;.;2;2;;2;;1;10;;20;253.22494345
5570787;1;2;1;80;20;1;;;;1;4;;2;;;4;;2;2;;1;150000;1;10;4;20;216.39609903
5570787;1;3;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;216.39609903
5570788;1;1;1;80;20;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;20;257.27486218
5570791;1;2;1;80;20;1;2;;908000;2;;;;2;;;.;2;2;;2;;1;10;;20;143.1020789
5570791;1;3;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;143.1020789
5570791;1;4;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;143.1020789
5570791;1;5;1;80;20;1;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;20;143.1020789
5570791;1;6;1;80;20;1;1;48;500000;1;8;;2;;;1;;2;2;;2;;1;10;3;20;143.1020789
5570793;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;205.37402896
5570793;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;205.37402896
5570793;1;4;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;205.37402896
5570794;1;3;1;80;20;1;1;48;700000;1;9;POR EL COVID19;2;;;1;;2;2;;2;;1;10;1.3;20;149.93534115
5570794;1;4;1;80;20;1;2;;908000;1;4;;2;;;4;;2;2;;2;;1;10;1.3;20;149.93534115
5570795;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;242.58016471
5570796;1;3;1;80;20;1;2;;1200000;1;2;;1;;1;2;;2;2;;2;;1;10;2;20;240.42446687
5570796;1;4;1;80;20;1;1;40;1200000;1;2;;2;;;2;;2;2;;2;;1;10;1.1;20;240.42446687
5570796;1;5;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;240.42446687
5570799;1;2;1;80;20;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;20;272.59643389
5570800;1;2;1;80;20;1;1;25;908526;1;2;;1;;1;2;;2;2;;2;;1;10;1.3;20;200.525066
5570801;1;1;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;172.21781194
5570801;1;4;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;172.21781194
5570801;1;5;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;172.21781194
5570802;1;1;1;80;20;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;20;219.63753878
5570805;1;2;1;80;20;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;20;205.66072664
5570805;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;205.66072664
5570806;1;3;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;256.4769597
5570807;1;2;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;223.75438961
5570809;1;1;1;80;20;1;;;;1;4;;1;;1;4;;2;2;;2;;1;10;1.3;20;169.52454682
5570810;1;1;1;80;20;1;1;48;500000;1;9;POR COVID19;2;;;9;;2;2;;2;;1;10;2;20;270.87438299
5570810;1;3;1;80;20;1;1;48;500000;1;6;;2;;;1;;2;2;;2;;1;10;1.3;20;270.87438299
5570810;1;5;1;80;20;1;1;24;600000;1;9;POR EL COVID19;2;;;2;;2;2;;2;;1;10;2;20;270.87438299
5570811;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;318.87476306
5570811;1;4;1;80;20;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;20;318.87476306
5570811;1;7;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;318.87476306
5570812;1;4;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;274.12639924
5570813;1;1;1;80;20;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;20;236.66124582
5570813;1;4;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;236.66124582
5570813;1;5;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;236.66124582
5570814;1;1;1;80;20;1;;;;1;9;EDAD;2;;;8;;2;2;;2;;1;10;4;20;292.61313952
5570814;1;5;1;80;20;1;1;48;908000;1;2;;2;;;2;;2;2;;2;;1;10;2;20;292.61313952
5570815;1;2;1;80;20;1;;;;1;9;PANDEMIA COVID 19;2;;;9;;2;2;;2;;1;10;2;20;238.38329672
5570815;1;4;1;80;20;1;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;20;238.38329672
5570817;1;1;1;80;20;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;20;193.55291466
5570817;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;193.55291466
5570817;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;193.55291466
5570819;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;154.30560877
5570819;1;4;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;154.30560877
5570821;1;5;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;291.6149944
5570821;1;13;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;291.6149944
5570822;1;1;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;232.75590496
5570822;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;232.75590496
5570824;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;153.21986686
5570825;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;249.90594583
5570825;1;4;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;249.90594583
5570827;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;249.90594583
5570827;1;4;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;249.90594583
5570828;1;2;1;80;20;1;1;48;2500000;1;6;;2;;;9;;2;2;;2;;1;10;4;20;163.60562793
5570828;1;3;1;80;20;1;1;24;908000;2;;;;1;2;2;;2;2;;2;;1;10;;20;163.60562793
5570829;1;1;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;169.52454682
5570831;1;4;1;80;20;1;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;20;240.71116455
5570835;1;1;1;80;20;1;1;48;2000000;1;1;;2;;;4;;2;2;;2;;1;10;3;20;180.16932556
5570837;1;3;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;235.57550391
5570837;1;4;1;80;20;1;;;;2;;;;2;;;.;;;;2;;1;10;;20;235.57550391
5570840;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;211.54713607
5570842;1;2;1;80;20;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;20;195.67610304
5570843;1;1;1;80;20;1;1;48;908000;1;6;;2;;;1;;2;2;;2;;1;10;3;20;176.49669816
5570845;1;3;1;80;20;1;1;48;500000;2;;;;2;;;.;2;2;;2;;1;10;;20;238.89450153
5570851;1;1;1;80;23;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;116.02634919
5570851;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;116.02634919
5570853;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;103.12185572
5570853;1;4;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;103.12185572
5570854;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;165.60422839
5570855;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;248.88813184
5570855;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;248.88813184
5570855;1;6;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;248.88813184
5570858;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;165.54231167
5570858;1;5;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;165.54231167
5570859;1;1;1;80;23;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;164.54409837
5570859;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;164.54409837
5570859;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;164.54409837
5570859;1;5;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;164.54409837
5570860;1;1;1;80;23;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;23;304.66666303
5570860;1;5;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;304.66666303
5570862;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;235.80029359
5570863;1;1;1;80;23;1;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;23;141.69289106
5570863;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;141.69289106
5570864;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;118.89992306
5570865;1;1;1;80;23;1;1;48;500000;1;8;;1;;1;1;;2;2;;1;400000;1;10;1.1;23;116.58068078
5570865;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;116.58068078
5570866;1;3;1;80;23;1;;;;1;8;;2;;;8;;2;2;;2;;1;10;1.3;23;159.78463138
5570866;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;159.78463138
5570869;1;1;1;80;23;1;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;23;167.41767224
5570869;1;2;1;80;23;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;167.41767224
5570869;1;5;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;167.41767224
5570870;1;1;1;80;23;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;23;257.54940569
5570870;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;257.54940569
5570870;1;4;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;257.54940569
5570871;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.28139131
5570871;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.28139131
5570872;1;1;1;80;23;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;3;23;193.76634372
5570873;1;1;1;80;23;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;1.2;23;137.26779709
5570873;1;4;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;137.26779709
5570873;1;6;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;137.26779709
5570875;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;144.90083796
5570877;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;134.70329332
5570877;1;3;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;134.70329332
5570878;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;219.99692333
5570879;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;204.35159491
5570880;1;1;1;80;23;1;2;;908526;1;3;;2;;;9;;2;2;;2;;1;10;1.4;23;261.36703292
5570880;1;2;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;261.36703292
5570882;1;2;1;80;23;1;2;;800000;2;;;;2;;;.;2;2;;2;;1;10;;23;196.23104494
5570883;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;180.85326706
5570883;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;180.85326706
5570884;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;196.89488522
5570885;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;183.56879908
5570886;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.28139131
5570886;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.28139131
5570887;1;1;1;80;23;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;251.60366386
5570887;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;251.60366386
5570887;1;4;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;251.60366386
5570888;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;118.89992306
5570890;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;195.34336513
5570891;1;3;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;185.83269262
5570893;1;2;1;80;23;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;93.309352064
5570894;1;1;1;80;23;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;183.56879908
5570894;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;183.56879908
5570895;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;93.309352064
5570895;1;3;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;93.309352064
5570897;1;1;1;80;23;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;134.54525147
5570898;1;1;1;80;23;1;;;;1;4;;2;;;4;;3;3;;2;;1;10;4;23;209.41167213
5570899;1;1;1;80;23;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;3;23;108.31467186
5570899;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;108.31467186
5570901;1;1;1;80;23;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;1.4;23;133.93557114
5570901;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;133.93557114
5570901;1;3;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;133.93557114
5570902;1;3;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;168.25784369
5570903;1;1;1;80;23;1;;;;1;7;;2;;;4;;2;2;;2;;1;10;2;23;124.11804213
5570903;1;2;1;80;23;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;23;124.11804213
5570904;1;2;1;80;23;1;2;;908526;1;3;;2;;;9;;2;2;;2;;1;10;4;23;130.8856661
5570904;1;3;1;80;23;1;2;;908526;2;;;;2;;;.;2;2;;2;;1;10;;23;130.8856661
5570904;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;130.8856661
5570904;1;5;1;80;23;1;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;23;130.8856661
5570906;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;108.31467186
5570907;1;1;1;80;23;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;23;152.27814225
5570908;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;129.17610415
5570908;1;4;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;129.17610415
5570909;1;3;1;80;23;1;2;;800000;1;4;;2;;;9;;2;2;;2;;1;10;1.4;23;373.23740826
5570910;1;1;1;80;23;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;108.31467186
5570910;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;108.31467186
5570913;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.12334946
5570915;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;118.59085296
5570916;1;1;1;80;23;1;;;;1;7;;2;;;8;;2;2;;2;;1;10;4;23;150.34862174
5570916;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;150.34862174
5570917;1;1;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;196.71855405
5570917;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;196.71855405
5570919;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;274.35874603
5570921;1;2;1;80;23;1;;;;1;4;;2;;;10;;3;3;;2;;1;10;4;23;108.31467186
5570922;1;1;1;80;23;1;;;;1;3;;2;;;9;;3;3;;2;;1;10;4;23;98.275169081
5570922;1;2;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;98.275169081
5570922;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;98.275169081
5570923;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;202.58011625
5570924;1;3;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;133.93557114
5570925;1;4;1;80;23;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;158.30556055
5570925;1;5;1;80;23;1;;;;2;;;;2;;;.;;;;2;;1;10;;23;158.30556055
5570926;1;1;1;80;23;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;93.309352064
5570926;1;2;1;80;23;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;23;93.309352064
5570946;1;3;1;80;27;1;;;;2;;;;2;;;.;;;;2;;1;10;;27;37.017988233
