DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
6,001,083;1;3;1;70;08;1;16;48;908,526;1;;2;20;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;11;5611;08;707.78182449
6,001,083;1;7;1;70;08;1;104;48;908,526;1;;2;80;1;;4;2;8;;2;;;;;;;;;;;1;2;;28;03;03;1;2;11;2825;08;707.78182449
6,001,094;1;3;1;70;08;1;48;48;900,000;1;;2;48;4;;8;2;1;;2;;;;;;;;;;;1;2;;61;45;45;1;2;11;6120;08;634.55505149
6,001,113;1;1;1;70;08;1;4;40;900,000;3;;2;12;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;11;9700;08;601.25483035
6,001,118;1;1;1;70;08;1;4;48;1,000,000;1;;2;10;1;;9;2;1;;3;;;;1;;;;;;;;2;;42;97;97;1;1;11;4210;08;573.31062351
6,001,120;1;3;1;70;08;1;26;48;920,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;11;;08;649.03707822
6,001,124;1;3;1;70;08;1;20;72;908,526;1;;2;20;1;;9;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;2;11;8610;08;474.88650754
6,001,126;1;1;1;70;08;1;3;40;2,000,000;4;;2;3;4;;2;2;1;;2;;;;;;;;;;;1;1;5000000;47;40;40;1;1;11;4711;08;656.5207059
6,001,126;1;3;1;70;08;1;8;40;1,000,000;1;;2;3;6;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;11;4711;08;656.5207059
6,001,127;1;3;1;70;08;1;5;48;1,000,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;38;;1;1;11;;08;540.43092183
6,001,130;1;6;1;70;08;1;12;48;908,000;1;;2;12;1;;5;2;1;;2;;;;;;;;;;;1;2;;31;81;81;1;1;11;3110;08;477.57972148
6,001,130;1;16;1;70;08;1;52;48;908,000;1;;2;52;1;;8;2;1;;2;;;;;;;;;;;1;2;;23;55;55;1;2;11;2393;08;477.57972148
6,001,134;1;1;1;70;08;1;104;48;900,000;1;;2;104;1;;9;2;1;;2;;;;;;;;;;;1;2;;52;97;93;1;2;11;5222;08;540.45249155
6,001,142;1;6;1;70;08;1;2;48;1,000,000;1;;2;2;1;;7;2;1;;2;;;;;;;;;;;1;1;850000;22;97;97;1;1;11;2229;08;556.82093706
6,001,155;1;1;1;70;08;1;12;48;1,800,000;1;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;74;15;16;1;1;11;7490;08;573.92443065
6,001,157;1;1;1;70;08;1;4;48;908,000;1;;2;12;1;;4;2;1;;2;;;;;;;;;;;1;2;;85;57;13;1;1;11;8530;08;772.29892288
6,001,162;1;1;1;70;08;1;48;24;400,000;4;;2;18;4;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;11;4771;08;656.23070853
6,001,164;1;3;1;70;08;1;102;48;980,000;1;;2;102;1;;9;2;1;;2;;;;;;;;;;;1;2;;86;32;33;1;2;11;8610;08;525.45323568
6,001,164;1;4;1;70;08;1;52;48;900,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;2;11;;08;525.45323568
6,001,172;1;1;1;70;08;1;48;48;1,500,000;1;;2;48;2;;9;2;1;;3;;;;;;;;;;;1;2;;84;58;58;1;2;11;8424;08;682.2621594
6,001,184;1;2;1;70;08;1;52;48;906,000;1;;2;53;1;;9;2;1;;2;;;;;;;;;;;1;2;;85;58;39;1;2;11;8530;08;532.01148912
6,001,187;1;3;1;70;08;1;48;48;900,000;1;;2;48;1;;7;2;2;;2;;;;;;;;;;;1;2;;85;13;13;1;2;11;8521;08;620.55981555
6,001,189;1;2;1;70;08;1;4;48;1,200,000;1;;2;60;1;;9;2;2;;2;;;;;;;;;;;1;2;;47;33;33;1;1;11;4711;08;645.8807496
6,001,194;1;2;1;70;08;1;99;48;906,000;1;;2;99;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;45;54;1;2;11;9700;08;689.99264501
6,001,195;1;1;1;70;08;1;4;48;908,526;1;;2;6;3;;1;2;8;;2;;;;;;;;;;;1;2;;97;53;54;1;1;11;9700;08;532.96886387
6,001,201;1;1;1;70;08;1;48;48;900,000;1;;2;48;1;;9;2;2;;2;;;;;;;;;;;1;2;;25;45;39;1;2;11;2599;08;473.56965878
6,001,211;1;1;1;70;08;1;4;48;98;4;;2;4;4;;1;2;2;;2;;;;;;;;;;;1;1;99;69;12;12;1;1;11;6910;08;580.77268146
6,001,213;1;3;1;70;08;1;32;48;900,000;1;;2;32;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;97;59;1;2;11;9700;08;630.48925503
6,001,213;1;4;1;70;08;1;48;48;900,000;3;;2;48;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;11;9700;08;630.48925503
6,001,214;1;2;1;70;08;1;52;48;900,000;3;;2;60;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;11;9700;08;656.49913618
6,001,220;1;7;1;70;08;1;52;48;908,000;1;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;2;11;4111;08;567.24603595
6,001,249;1;4;1;70;08;1;4;48;900,000;1;;2;16;1;;8;2;1;;2;;;;;;;;;;;1;2;;10;45;45;1;1;11;1089;08;419.29542882
6,001,263;1;1;1;70;08;1;18;48;910,000;1;;2;12;1;;5;2;1;;2;;;;;;;;;;;1;2;;45;93;93;1;2;11;4520;08;697.52984292
6,001,265;1;5;1;70;08;1;40;48;906,000;1;;2;45;1;;9;2;1;;2;;;;;;;;;;;1;2;;14;33;33;1;2;11;1410;08;649.03707822
6,001,277;1;4;1;70;08;1;8;48;908,000;1;;2;106;1;;9;2;2;;2;;;;;;;;;;;1;2;;11;45;45;1;1;11;1103;08;641.05973469
6,001,288;1;3;1;70;08;1;70;48;908,526;1;;2;70;1;;9;2;4;;2;;;;;;;;;;;1;2;;47;45;45;1;2;11;4741;08;540.45249155
6,001,294;1;5;1;70;08;1;12;48;908,526;1;;2;20;1;;4;2;4;;2;;;;;;;;;;;1;2;;38;86;99;1;1;11;3830;08;836.39423414
6,001,301;1;2;1;70;08;1;4;48;900,000;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;2;;10;33;39;1;1;11;1051;08;690.06778496
6,001,304;1;2;1;70;08;1;36;48;900,000;1;;2;7;1;;4;2;2;;2;;;;;;;;;;;1;2;;47;03;45;1;2;11;4719;08;689.99264501
6,001,360;1;1;1;70;08;1;53;48;908,000;1;;2;53;1;;6;2;1;;2;;;;;;;;;;;1;1;300000;82;97;97;1;2;11;8299;08;656.23070853
6,001,365;1;3;1;70;08;1;70;48;1,000,000;1;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;33;45;1;2;11;4724;08;993.816965
6,001,365;1;4;1;70;08;1;6;48;1,200,000;1;;2;8;4;;2;2;8;;2;;;;;;;;;;;1;2;;49;98;98;1;1;11;4923;08;993.816965
6,001,366;1;1;1;70;08;1;16;48;908,000;1;;2;16;1;;4;2;1;;2;;;;;;;;;;;1;2;;25;87;87;1;2;11;2592;08;756.83795167
6,001,368;1;4;1;70;08;1;24;48;1,000,000;1;;2;25;1;;9;2;1;;2;;;;;;;;;;;1;2;;49;33;33;1;2;11;4921;08;456.44092568
6,001,394;1;1;1;70;08;1;30;48;908,000;1;;2;53;1;;7;2;4;;2;;;;;;;;;;;1;2;;85;13;13;1;2;11;8511;08;581.46162857
6,001,408;1;1;1;70;08;1;8;48;910,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;1;11;;08;688.82041284
6,001,423;1;2;1;70;08;1;108;40;2,000,000;2;;2;108;4;;9;2;2;;2;;;;;;;;;;;1;2;;84;12;20;1;2;11;8412;08;637.27182867
6,001,423;1;6;1;70;08;1;52;40;900,000;1;;2;18;4;;2;2;1;;2;;;;;;;;;;;1;2;;47;32;45;1;2;11;4711;08;637.27182867
6,001,423;1;8;1;70;08;1;24;40;300,000;1;;2;18;1;;5;2;2;;2;;;;;;;;;;;1;2;;85;33;33;1;2;11;8559;08;637.27182867
6,001,427;1;2;1;70;08;1;12;48;908,000;1;;2;48;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;33;77;1;1;11;5611;08;627.31135669
6,001,431;1;3;1;70;08;1;52;20;900,000;1;;2;180;1;;9;2;1;;2;;;;;;;;;;;1;2;;82;38;38;1;2;11;8220;08;539.74197473
6,001,448;1;1;1;70;08;1;8;48;800,000;1;;2;8;1;;9;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;1;11;1410;08;551.26982914
6,001,449;1;2;1;70;08;1;98;48;1,300,000;1;;2;98;1;;6;2;2;;2;;;;;;;;;1;;;2;;42;03;03;1;2;11;4210;08;653.34280755
6,001,454;1;1;1;70;08;1;60;48;908,526;1;;2;80;1;;9;2;4;;2;;;;;;;;;;;1;2;;47;45;33;1;2;11;4773;08;689.99264501
6,001,456;1;5;1;70;08;1;3;48;900,000;1;;2;25;1;;9;2;1;;2;;;;;;;;;;;1;2;;21;38;16;1;1;11;2100;08;825.97584628
6,001,457;1;7;1;70;08;1;3;48;900,000;1;;2;3;1;;5;2;1;;2;;;;;;;;;;;1;1;900000;52;97;97;1;1;11;5210;08;684.71050894
6,001,461;1;1;1;70;08;1;52;48;908,526;1;;2;80;1;;9;2;4;;2;;;;;;;;;;;1;2;;86;59;07;1;2;11;8610;08;616.20051599
6,001,468;1;1;1;70;08;1;8;48;2,000,000;1;;2;8;1;;9;2;9;ESTA AFILIADO A LA EPS POR DESEMPLEO EL CUAL LO COBIJA POR 3 MESES;2;;;;;;;;;;;1;2;;86;98;98;1;1;11;8699;08;638.15026399
6,001,484;1;4;1;70;08;1;20;48;906,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;32;;1;2;11;;08;739.70921857
6,001,488;1;1;1;70;08;1;24;48;900,000;1;;2;35;1;;4;2;1;;2;;;;;;;;;;;1;2;;74;92;92;1;2;11;7410;08;515.20669746
6,001,492;1;1;1;70;08;1;108;48;1,200,000;1;;2;4;1;;7;2;7;;2;;;;;;;;;;;1;1;2000000;86;03;03;1;2;11;8621;08;559.00031474
6,001,512;1;3;1;70;08;1;24;48;1,200,000;1;;2;12;1;;9;2;7;;2;;;;;;;;;;;1;2;;60;15;86;1;2;11;6010;08;460.50105882
6,001,514;1;4;1;70;08;1;48;48;906,000;1;;2;49;1;;9;2;1;;2;;;;;;;;;;;1;2;;31;95;95;1;2;11;3110;08;812.90911017
6,001,530;1;3;1;70;08;1;12;40;3,000,000;1;;2;12;4;;9;2;2;;2;;;;;;;;;;;1;2;;86;06;06;1;1;11;8610;08;637.24079616
6,001,531;1;7;1;70;08;1;6;48;900,000;1;;2;60;1;;6;2;1;;2;;;;;;;;;;;1;2;;86;32;32;1;1;11;8691;08;552.80871084
6,001,560;1;3;1;70;08;1;52;48;900,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;11;;08;593.81784786
6,001,575;1;1;1;70;08;1;53;48;908,000;1;;2;156;1;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;11;9700;08;656.23070853
6,001,575;1;2;1;70;08;1;4;48;908,000;1;;2;4;1;;6;2;1;;2;;;;;;;;;;;1;1;908000;82;95;97;1;1;11;8299;08;656.23070853
6,001,581;1;3;1;70;08;1;2;48;800,000;1;;2;35;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;11;4711;08;682.53058705
6,001,598;1;4;1;70;08;1;3;48;908,526;1;;2;4;1;;3;2;1;;2;;;;;;;;;;;1;1;454000;47;59;59;1;1;11;4773;08;587.06630673
6,001,599;1;3;1;70;08;1;104;48;910,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;84;;1;2;11;;08;682.53058705
6,001,613;1;2;1;70;08;1;4;48;908,000;1;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;800000;41;55;95;1;1;11;4111;08;448.36185529
6,001,613;1;3;1;70;08;1;2;48;908,000;1;;2;2;1;;4;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;1;11;1410;08;448.36185529
6,001,617;1;4;1;70;08;1;52;48;908,000;1;;2;52;4;;1;2;8;;2;;;;;;;;;;;1;2;;56;53;45;1;2;11;5619;08;582.93103363
6,001,618;1;2;1;70;08;1;86;48;906,000;1;;2;86;1;;2;2;2;;2;;;;;;;;;;;1;2;;56;55;53;1;2;11;5611;08;696.55089845
6,001,632;1;2;1;70;08;1;60;48;700,000;1;;2;60;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;45;53;1;2;11;5611;08;634.47991153
6,001,646;1;2;1;70;08;1;4;48;900,000;1;;2;4;1;;4;2;7;;2;;;;;;;;;;;1;1;1000000;93;53;53;1;1;11;9329;08;715.38871901
6,001,650;1;2;1;70;08;1;52;40;900,000;1;;2;24;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;53;45;1;2;11;4721;08;526.14218278
6,001,654;1;3;1;70;08;1;104;48;908,526;1;;2;76;1;;4;2;8;;2;;;;;;;;;;;1;2;;47;13;45;1;2;11;4771;08;623.71614418
6,001,661;1;2;1;70;08;1;52;48;1,000,000;1;;2;60;1;;9;2;8;;2;;;;;;;;;;;1;2;;82;03;03;1;2;11;8220;08;533.60424074
6,001,703;1;3;1;70;15;1;52;48;1,500,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;02;;1;2;11;;15;129.91802238
6,001,704;1;3;1;70;15;1;68;40;3,000,000;2;;2;80;2;;9;2;1;;2;;;;;;;;;;;1;2;;84;12;12;1;2;11;8412;15;158.69828238
6,001,705;1;2;1;70;15;1;24;40;908,000;2;;2;260;1;;5;2;7;;2;;;;;;;;;;;1;2;;85;13;13;1;2;11;8530;15;140.91048235
6,001,708;1;5;1;70;15;1;36;40;908,700;1;;2;36;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;39;39;1;2;11;4711;15;100.81227358
6,001,711;1;3;1;70;15;1;24;40;98;1;;2;72;1;;9;2;1;;2;;;;;;;;;;;1;2;;35;45;85;1;2;11;3513;15;144.49107421
