directorio;secuencia_p;orden;P7250;P7310;P7320;OFICIO2;RAMA2D_D_r4;RAMA4D_D_r4;P7350;P7360;dsi;mes;area;dpto;fex_c_2011
141487;1;2;6;2;6;97;53;5320;4;2;1;07;44;44;77,862243433191
141490;1;2;50;2;50;02;42;4210;1;5;1;07;17;17;348,238767834975
141493;1;2;40;2;40;97;49;4921;1;2;1;07;23;23;125,143322313925
141494;1;3;8;2;10;13;85;8530;1;6;1;07;63;63;87,9763959342019
141501;1;3;20;2;24;41;47;4729;4;1;1;07;44;44;58,243216915828
141506;1;4;24;1; ; ; ; ; ; ;1;07;11;11;4497,39201234387
141512;1;2;15;2;60;53;56;5611;1;3;1;07;17;17;261,746966214322
141515;1;3;27;2;27;45;10;1082;1;9;1;07;68;68;364,355946233269
141516;1;2;14;2;14;58;52;5221;1;3;1;07;66;66;192,91770390395
141518;1;4;26;2;26;39;10;1020;1;7;1;07;68;68;365,883348010786
141521;1;2;3;1; ; ; ; ; ; ;1;07;68;68;442,002748035306
141522;1;3;39;2;39;97;56;5621;1;2;1;07;68;68;270,163329282905
141524;1;2;10;2;15;39;55;5511;1;4;1;07;13;13;334,844326335303
141528;1;1;2;2;2;37;49;4921;1;9;1;07;68;68;398,546536506828
141532;1;1;14;2;14;81;95;9524;4;1;1;07;66;66;208,68871455898
141554;1;2;16;1; ; ; ; ; ; ;1;07;70;70;179,050858229117
141555;1;3;52;2;52;21;94;9499;1;7;1;07;13;13;331,189247488208
141563;1;2;14;2;14;95;41;4111;4;1;1;07;41;41;136,337935252214
141581;1;2;21;2;21;57;96;9602;4;3;1;07;52;52;323,745290312669
141590;1;5;78;2;78;55;81;8121;4;1;1;07;50;50;146,079705319012
141593;1;1;12;2;12;58;84;8422;2;9;1;07;50;50;115,199179606366
141597;1;1;5;2;13;12;69;6910;1;3;1;07;23;23;286,553068369712
141599;1;1;16;2;16;98;49;4921;4;1;1;07;70;70;207,883346853001
141604;1;1;52;1; ; ; ; ; ; ;1;07;27;27;9,96715418851175
141605;1;3;32;2;32;03;11;1104;4;9;1;07;13;13;467,330989725264
141605;1;4;24;1; ; ; ; ; ; ;1;07;13;13;467,330989725264
141611;1;3;8;2;24;95;41;4111;1;4;1;07;23;23;184,619417663936
141611;1;4;12;2;20;33;47;4711;1;7;1;07;23;23;184,619417663936
141613;1;2;12;2;12;44;46;4620;4;2;1;07;19;19;147,059749915026
141614;1;2;4;2;4;44;64;6424;1;6;1;07;50;50;98,9584669460276
141614;1;4;16;2;16;45;47;4772;1;7;1;07;50;50;98,9584669460276
141615;1;2;25;2;26;53;56;5611;1;4;1;07;17;17;94,4780167961736
141619;1;1;5;2;15;45;56;5619;4;1;1;07;63;63;156,587443418376
141619;1;2;8;2;13;53;56;5613;4;1;1;07;63;63;156,587443418376
141625;1;3;21;1; ; ; ; ; ; ;1;07;52;52;119,839527360636
141629;1;2;6;2;96;19;85;8512;1;4;1;07;19;19;132,498365310405
141633;1;3;8;2;8;39;52;5229;1;6;1;07;13;13;231,403128435572
141639;1;1;15;2;15;53;56;5611;1;5;1;07;76;76;2085,61699155817
141639;1;2;15;2;15;39;55;5511;1;6;1;07;76;76;2085,61699155817
141641;1;1;12;2;12;98;49;4921;1;9;1;07;19;19;161,696753279386
141644;1;2;14;2;14;45;47;4789;4;1;1;07;76;76;1919,18563527803
141648;1;1;3;2;8;55;86;8610;1;9;1;07;47;47;50,8620022329885
141650;1;3;3;1; ; ; ; ; ; ;1;07;52;52;293,036656341864
141653;1;2;12;2;12;13;85;8544;4;9;1;07;41;41;142,691575646714
141658;1;1;12;2;12;54;97;9700;3;1;1;07;68;68;389,669307155185
141661;1;3;3;2;12;95;41;4111;1;3;1;07;23;23;131,47285165291
141662;1;2;20;2;52;39;84;8412;4;9;1;07;23;23;175,470708435277
141662;1;3;20;2;22;53;56;5619;1;4;1;07;23;23;175,470708435277
141675;1;1;2;2;3;02;42;4210;1;9;1;07;52;52;233,03446731036
141676;1;2;12;2;12;33;64;6499;1;3;1;07;23;23;145,755295433249
141678;1;3;52;2;52;45;47;4721;1;4;1;07;19;19;91,9913019938073
141679;1;1;13;2;13;97;53;5320;4;1;1;07;68;68;355,857503760728
141679;1;2;14;2;14;39;42;4210;1;6;1;07;68;68;355,857503760728
141696;1;2;16;2;16;17;90;9007;4;1;1;07;41;41;98,5752851839044
141699;1;2;16;2;16;54;88;8890;9;2;1;07;68;68;1627,96569863397
141699;1;3;16;2;16;54;88;8890;9;2;1;07;68;68;1627,96569863397
141702;1;1;33;2;21;45;46;4631;1;4;1;07;52;52;264,927539071637
141710;2;1;13;2;13;53;56;5613;1;3;1;07;50;50;71,6999564060585
141716;1;1;8;2;8;77;10;1081;4;1;1;07;68;68;2034,8142210438
141718;1;1;15;2;16;59;86;8621;1;7;1;07;23;23;104,441890316046
141723;1;3;5;1; ; ; ; ; ; ;1;07;27;27;28,9513481991262
141728;2;2;20;1; ; ; ; ; ; ;1;07;44;44;105,836398464493
141732;1;2;8;2;25;97;47;4729;1;3;1;07;52;52;203,200266900445
141739;1;2;25;2;25;59;97;9700;3;1;1;07;50;50;242,113154039045
141748;1;1;8;2;8;97;47;4711;1;9;1;07;76;76;830,9444576049
141748;1;2;8;2;8;54;97;9700;3;1;1;07;76;76;830,9444576049
141753;1;3;5;2;5;45;47;4711;1;4;1;07;54;54;1030,64349733693
141754;1;3;16;2;16;13;85;8553;4;1;1;07;11;11;2240,01306475195
141754;1;4;4;2;48;59;73;7310;1;4;1;07;11;11;2240,01306475195
141764;1;1;12;2;13;93;41;4111;4;1;1;07;15;15;108,858110421232
141787;1;1;5;2;5;53;56;5611;1;2;1;07;52;52;192,983901845282
141788;1;3;12;2;12;05;20;2021;1;6;1;07;19;19;131,097575629814
141794;1;1;20;2;20;53;55;5511;1;7;1;07;13;13;277,626241609527
141794;1;3;26;1; ; ; ; ; ; ;1;07;13;13;277,626241609527
141794;1;4;26;2;26;32;25;2592;1;7;1;07;13;13;277,626241609527
141796;1;1;6;2;12;41;47;4773;4;1;1;07;15;15;64,8378191994775
141802;1;3;28;2;52;32;85;8544;1;9;1;07;52;52;148,467774327646
141815;1;2;8;2;12;95;41;4112;4;2;1;07;63;63;177,647781970688
141819;1;1;52;2;52;45;47;4771;1;2;1;07;19;19;80,6223097532748
141829;1;1;8;2;8;95;42;4210;1;6;1;07;76;76;813,572344903244
141831;1;2;3;2;15;54;81;8121;4;1;1;07;76;76;1477,31787207169
141835;1;3;20;2;32;11;42;4210;4;7;1;07;63;63;179,572872427256
141837;1;3;2;2;18;45;47;4724;1;3;1;07;18;18;169,374928127547
141837;1;4;1;2;16;45;47;4724;6;3;1;07;18;18;169,374928127547
141837;1;5;1;2;18;45;47;4724;6;3;1;07;18;18;169,374928127547
141838;1;3;28;2;28;62;01;0123;8;4;1;07;17;17;134,49808346843
141841;1;1;8;2;8;44;45;4511;1;5;1;07;19;19;95,4754669459225
141847;1;1;6;2;6;97;47;4722;1;6;1;07;41;41;210,38656853375
141853;1;1;12;2;12;98;49;4921;1;9;1;07;50;50;466,291025471908
141871;1;3;8;2;12;93;43;4330;4;1;1;07;63;63;27,5130298565381
141876;1;1;6;2;11;84;45;4520;4;1;1;07;47;47;88,9794890342917
141877;1;4;14;2;14;95;41;4111;1;4;1;07;50;50;190,218167659826
141880;1;1;3;2;110;21;84;8412;2;9;1;07;44;44;28,2319306715797
141880;1;5;144;2;144;40;47;4772;1;2;1;07;44;44;28,2319306715797
141889;1;1;4;2;15;55;81;8121;4;1;1;07;52;52;256,964131055698
141893;1;3;28;2;48;58;46;4663;1;6;1;07;63;63;165,86615263729
141899;1;1;28;2;28;95;41;4111;1;7;1;07;63;63;44,9889556736144
141900;1;1;3;2;24;54;97;9700;3;1;1;07;63;63;172,037852013719
141909;1;3;9;2;10;87;25;2592;4;1;1;07;73;73;294,671917540738
141912;1;7;6;2;9;53;56;5619;1;3;1;07;47;47;84,2817537679466
141914;1;2;24;2;16;19;74;7490;4;1;1;07;50;50;161,347710162476
141928;1;2;78;2;104;92;18;1811;1;2;1;07;63;63;69,2952466097106
141930;1;2;24;1; ; ; ; ; ; ;1;07;50;50;205,782033961109
141930;1;3;13;2;5;45;47;4781;4;1;1;07;50;50;205,782033961109
141932;1;1;6;2;15;95;71;7110;1;4;1;07;08;08;397,883879133036
141934;1;3;14;2;14;53;56;5630;1;5;1;07;50;50;305,251381831868
141937;1;4;4;2;24;45;47;4771;1;2;1;07;52;52;62,6348422944756
141943;1;1;4;2;12;41;47;4771;4;2;1;07;63;63;111,268830314204
141943;1;2;3;2;12;41;47;4771;4;2;1;07;63;63;111,268830314204
141950;1;1;16;2;16;98;49;4921;1;3;1;07;17;17;226,417713592873
141952;1;1;45;2;45;53;07;0722;4;4;1;07;27;27;162,256034140366
141952;1;2;4;2;4;95;41;4112;4;2;1;07;27;27;162,256034140366
141956;1;2;104;2;20;12;69;6910;4;1;1;07;63;63;73,8239705694462
141958;1;3;3;2;7;54;55;5511;1;8;1;07;47;47;110,890156630274
141958;1;5;4;2;12;53;56;5611;1;6;1;07;47;47;110,890156630274
141964;1;2;3;2;12;59;96;9609;4;1;1;07;63;63;147,584946832547
141970;1;2;12;2;16;54;49;4921;1;2;1;07;63;63;78,6949669084494
141970;1;3;12;2;16;53;56;5611;4;1;1;07;63;63;78,6949669084494
141972;1;5;4;2;10;45;47;4761;1;2;1;07;18;18;102,982559588332
141975;1;6;8;2;16;45;47;4719;1;4;1;07;63;63;27,5130298565381
141978;1;3;52;2;30;21;82;8220;1;9;1;07;11;11;2074,01714531389
141983;1;3;12;2;16;54;55;5511;4;1;1;07;63;63;65,8925504967509
141984;1;1;8;1; ; ; ; ; ; ;1;07;27;27;28,9513481991262
141984;1;2;8;2;30;44;64;6499;1;6;1;07;27;27;28,9513481991262
141989;1;1;4;2;12;55;81;8121;4;1;1;07;63;63;144,142970862938
141990;1;2;16;2;40;59;86;8622;1;3;1;07;47;47;126,25434491973
141991;1;1;4;2;14;55;75;7500;1;2;1;07;63;63;214,501835148055
141991;1;2;6;2;20;59;96;9609;4;1;1;07;63;63;214,501835148055
142007;1;1;8;2;8;97;10;1081;1;9;1;07;73;73;237,327615993003
142024;1;1;4;2;4;55;81;8121;4;1;1;07;68;68;1950,04573300505
142025;1;2;8;2;14;92;18;1812;4;1;1;07;73;73;90,370756454432
142026;1;2;24;2;24;45;47;4724;1;6;1;07;20;20;129,378652650604
142031;1;3;20;2;32;57;96;9609;1;3;1;07;05;05;1498,42346266128
142032;1;2;8;2;8;11;49;4921;1;4;1;07;66;66;383,573108340699
142034;1;1;12;2;14;45;47;4782;4;1;1;07;68;68;1828,43145863029
142034;2;1;14;2;14;54;97;9700;3;1;1;07;68;68;1828,43145863029
142036;1;1;10;2;13;33;56;5613;1;4;1;07;73;73;103,692193801151
142040;1;1;4;2;13;33;56;5613;1;3;1;07;73;73;112,48412394952
142040;1;2;8;2;14;53;56;5611;1;3;1;07;73;73;112,48412394952
142041;1;1;16;2;16;98;49;4921;1;9;1;07;44;44;60,8471781625773
142053;1;1;4;2;12;53;56;5611;1;2;1;07;76;76;1328,3642295819
142053;1;2;12;2;12;99;41;4111;1;4;1;07;76;76;1328,3642295819
142054;1;3;12;2;12;39;52;5229;1;7;1;07;13;13;571,523106804429
142055;1;2;6;2;16;41;47;4771;4;1;1;07;44;44;94,4883218273638
142058;1;2;2;2;48;53;56;5619;1;3;1;07;08;08;514,865008989763
142066;1;1;26;2;26;97;49;4921;1;9;1;07;13;13;504,223833392014
142069;1;1;14;2;14;11;69;6920;4;1;1;07;73;73;194,772319332189
142070;1;2;52;2;104;39;42;4210;1;9;1;07;44;44;71,9261778922925
142076;1;2;8;2;8;53;56;5619;1;4;1;07;50;50;93,5232239222828
142094;1;3;6;2;12;62;01;0122;1;3;1;07;68;68;308,493896442268
142095;1;2;25;2;152;12;84;8424;4;9;1;07;73;73;156,74742962675
142099;1;1;4;2;6;81;31;3110;1;2;1;07;66;66;373,991434916374
142099;1;4;4;1; ; ; ; ; ; ;1;07;66;66;373,991434916374
142103;1;3;6;2;6;19;10;1011;9;9;1;07;63;63;187,882566079115
142103;1;5;4;2;12;53;92;9200;4;4;1;07;63;63;187,882566079115
142105;1;1;8;2;11;98;49;4921;1;9;1;07;52;52;250,852167042673
142112;1;3;12;2;48;03;25;2592;1;9;1;07;08;08;584,813988643207
142118;1;1;12;2;12;41;47;4772;4;1;1;07;68;68;425,448672261525
142122;1;2;12;2;12;45;47;4771;1;2;1;07;11;11;1943,05791188954
142122;1;3;16;2;16;45;47;4772;1;2;1;07;11;11;1943,05791188954
142125;1;2;13;2;13;59;73;7310;4;1;1;07;68;68;335,385739048807
142128;1;4;12;1; ; ; ; ; ; ;1;07;13;13;351,040191392124
142131;1;1;8;2;14;80;15;1522;4;3;1;07;66;66;606,359231407525
142136;1;2;4;2;17;53;56;5611;1;2;1;07;73;73;270,871689972402
142139;1;1;20;2;20;12;69;6910;1;6;1;07;73;73;204,268839913117
142141;1;2;208;2;208;02;41;4111;1;6;1;07;13;13;557,705071620584
142142;1;2;26;1; ; ; ; ; ; ;1;07;63;63;181,571510426902
142143;2;3;4;2;4;39;55;5511;1;6;1;07;47;47;119,370896748116
142148;1;1;15;2;15;45;47;4773;1;2;1;07;73;73;103,692193801151
142151;1;1;13;2;13;79;14;1410;4;1;1;07;68;68;363,84389762376
142157;1;1;16;2;16;53;55;5511;1;5;1;07;73;73;214,047586943628
142157;1;2;25;1; ; ; ; ; ; ;1;07;73;73;214,047586943628
142160;1;1;24;2;38;54;97;9700;3;1;1;07;50;50;241,661449835651
142160;1;2;12;2;12;45;47;4724;1;3;1;07;50;50;241,661449835651
142163;1;1;12;2;12;39;14;1410;1;8;1;07;73;73;347,557806294042
142163;1;3;2;2;14;55;81;8121;4;1;1;07;73;73;347,557806294042
142166;1;2;52;2;52;93;45;4511;1;8;1;07;05;05;1122,75194655256
142183;1;1;8;2;16;54;85;8512;1;4;1;07;50;50;240,446143040014
142184;1;1;98;2;312;59;86;8610;1;9;1;07;44;44;31,666226352559
142184;1;2;52;2;78;45;47;4792;4;1;1;07;44;44;31,666226352559
142184;1;3;4;2;104;03;85;8530;1;9;1;07;44;44;31,666226352559
142186;1;2;14;2;14;59;86;8621;1;7;1;07;13;13;645,062016416922
142188;1;1;8;2;8;19;94;9499;2;7;1;07;23;23;310,44077395352
142191;1;2;2;2;2;55;81;8121;4;1;1;07;63;63;374,998629776647
142195;1;1;16;2;8;98;49;4923;1;3;1;07;13;13;515,439832954419
142196;1;2;2;2;24;58;93;9312;4;1;1;07;63;63;248,299521176927
142199;1;2;8;2;16;55;81;8121;4;1;1;07;66;66;577,309019184081
142200;1;1;2;2;52;98;49;4923;1;8;1;07;73;73;401,862344013597
142204;1;1;28;2;30;58;80;8010;1;9;1;07;13;13;515,439832954419
142204;1;2;12;2;26;59;47;4773;1;9;1;07;13;13;515,439832954419
142207;1;2;20;1; ; ; ; ; ; ;1;07;13;13;354,34508759823
142209;1;1;4;2;4;97;13;1313;1;9;1;07;05;05;796,801997403891
142216;1;3;20;2;20;45;10;1081;1;3;1;07;23;23;141,027102162537
142217;1;1;12;2;20;55;81;8121;4;1;1;07;63;63;59,5859464462926
142217;1;2;4;2;5;58;84;8422;2;9;1;07;63;63;59,5859464462926
142217;1;3;100;2;100;39;86;8610;1;9;1;07;63;63;59,5859464462926
142220;1;3;4;2;24;18;84;8413;4;9;1;07;73;73;180,741512908864
142221;1;3;9;2;9;98;49;4923;4;2;1;07;13;13;425,16469526298
142224;1;2;4;2;12;98;49;4921;4;1;1;07;13;13;562,832125234546
142226;1;1;6;1; ; ; ; ; ; ;1;07;27;27;23,2597563133577
142230;1;1;8;2;8;98;49;4923;1;2;1;07;15;15;75,198859698836
142233;1;2;4;2;12;95;41;4111;4;1;1;07;54;54;332,997293431576
142233;1;3;4;1; ; ; ; ; ; ;1;07;54;54;332,997293431576
142237;1;4;20;2;78;45;13;1312;1;6;1;07;05;05;576,005939831305
142246;1;1;16;2;16;54;97;9700;3;1;1;07;70;70;168,851858345395
142247;1;2;6;2;13;98;49;4921;1;9;1;07;41;41;121,958611663858
142252;1;1;3;2;8;55;85;8530;1;5;1;07;73;73;211,314632820401
142256;1;2;10;2;15;53;56;5611;1;3;1;07;05;05;1576,82891108628
142266;1;2;208;2;208;33;01;0161;1;5;1;07;41;41;101,316526349206
142272;1;3;6;2;52;33;86;8610;4;9;1;07;73;73;273,426454803293
142272;1;4;5;1; ; ; ; ; ; ;1;07;73;73;273,426454803293
142275;1;1;8;2;8;98;49;4921;4;1;1;07;17;17;288,904276708301
142276;1;1;14;2;14;41;47;4773;4;1;1;07;63;63;96,4921285396187
142278;1;4;3;1; ; ; ; ; ; ;1;07;63;63;78,067306425686
142295;1;1;3;2;3;95;41;4111;1;7;1;07;52;52;399,514494256322
142297;1;2;12;2;156;54;97;9700;3;1;1;07;73;73;407,969646459708
142298;1;1;10;2;14;59;59;5911;1;9;1;07;73;73;230,887579010701
142303;1;1;16;2;16;97;42;4210;1;6;1;07;11;11;5319,5478525051
142304;1;2;8;2;12;45;47;4711;1;4;1;07;15;15;70,9426361624189
142306;1;1;48;2;52;94;47;4774;1;6;1;07;05;05;1092,7571733008
142306;1;2;15;2;15;33;93;9319;1;5;1;07;05;05;1092,7571733008
142309;1;1;54;2;54;12;69;6910;1;3;1;07;41;41;77,5005690411386
142315;1;3;4;2;104;03;17;1702;1;9;1;07;05;05;1381,63816888654
142320;1;2;16;2;16;03;95;9511;4;1;1;07;11;11;4957,89745301799
142323;1;2;16;2;16;45;56;5619;1;3;1;07;52;52;301,435023156266
142324;1;1;10;2;18;55;81;8121;4;1;1;07;63;63;256,120456542602
142326;1;1;998;2;70;19;42;4210;4;9;1;07;68;68;556,332887485655
142330;1;2;24;2;39;44;61;6110;1;8;1;07;13;13;338,55793599508
142330;1;3;10;2;12;98;49;4921;4;1;1;07;13;13;338,55793599508
142335;1;1;4;2;4;59;86;8691;1;9;1;07;05;05;1237,10664637663
142342;1;2;15;2;15;45;56;5619;4;1;1;07;68;68;362,513864218287
142346;1;3;32;1; ; ; ; ; ; ;1;07;13;13;327,330294542845
142347;1;1;2;2;4;97;14;1410;1;6;1;07;66;66;277,83213582663
142351;1;2;26;2;26;39;68;6820;1;5;1;07;13;13;452,844435654195
142353;1;1;2;2;11;79;14;1410;1;4;1;07;23;23;145,903461289555
142360;1;2;16;2;16;45;47;4792;4;1;1;07;11;11;4364,43664395011
142362;1;3;2;2;32;16;96;9609;1;3;1;07;05;05;1412,73650588779
142363;1;2;30;2;48;62;01;0126;8;5;1;07;50;50;145,226828894394
142363;1;3;30;2;48;54;97;9700;3;1;1;07;50;50;145,226828894394
142364;1;2;14;2;14;33;35;3511;1;9;1;07;68;68;1568,88868718279
142370;1;2;12;2;12;97;06;0610;1;9;1;07;41;41;90,6705399086259
142370;1;3;52;2;52;32;78;7810;1;9;1;07;41;41;90,6705399086259
142372;1;1;5;2;6;53;56;5613;1;4;1;07;73;73;288,572329881664
142372;1;2;13;2;13;59;88;8810;4;1;1;07;73;73;288,572329881664
142383;1;1;12;2;12;39;47;4724;4;3;1;07;19;19;131,303523789772
142387;1;1;4;2;16;39;86;8621;1;9;1;07;50;50;129,089240704486
142390;1;2;24;2;24;53;56;5611;1;3;1;07;70;70;111,696281402434
142393;1;1;12;2;12;55;81;8121;4;1;1;07;50;50;173,082004577359
142398;1;2;5;1; ; ; ; ; ; ;1;07;76;76;1217,23466807102
142401;1;1;3;2;16;33;56;5619;1;3;1;07;19;19;274,410490920153
142401;1;2;1;2;16;44;79;7911;1;3;1;07;19;19;274,410490920153
142402;1;2;10;2;18;21;56;5611;1;4;1;07;63;63;42,0065009416787
142403;1;3;8;2;14;51;56;5630;4;2;1;07;54;54;631,288646615445
142403;1;4;12;2;14;51;56;5630;4;2;1;07;54;54;631,288646615445
142410;1;2;12;2;15;55;55;5511;1;3;1;07;68;68;1623,52901496839
142414;1;3;12;1; ; ; ; ; ; ;1;07;73;73;422,236675035174
142415;1;1;8;2;26;18;84;8413;4;9;1;07;13;13;468,135017938967
142416;1;2;14;2;15;58;68;6820;1;2;1;07;70;70;184,942705621931
142417;4;2;4;2;4;95;42;4210;1;6;1;07;68;68;1309,15821812382
142419;1;2;8;2;18;34;82;8299;1;5;1;07;63;63;51,1081366666994
142426;1;2;12;2;12;58;80;8010;1;3;1;07;19;19;158,357584830996
142429;1;1;2;2;9;54;97;9700;3;1;1;07;47;47;99,2635448770361
142429;1;3;2;2;12;54;55;5511;1;8;1;07;47;47;99,2635448770361
142429;2;2;5;2;10;54;55;5511;1;8;1;07;47;47;99,2635448770361
142433;1;3;3;2;20;81;31;3110;1;2;1;07;54;54;258,488210418238
142443;1;1;3;2;24;55;81;8121;4;1;1;07;54;54;224,808408695471
142443;1;2;8;2;12;95;41;4111;1;7;1;07;54;54;224,808408695471
142448;1;2;4;2;24;54;97;9700;3;1;1;07;27;27;134,817222835102
142449;1;8;24;1; ; ; ; ; ; ;1;07;54;54;300,401731036851
142456;1;4;16;2;16;33;55;5511;1;7;1;07;50;50;400,065107408718
142459;1;1;3;2;12;53;56;5630;1;4;1;07;23;23;150,981902047412
142460;1;1;12;2;12;21;49;4923;1;6;1;07;73;73;304,254873003149
142460;1;2;12;2;12;98;49;4923;1;6;1;07;73;73;304,254873003149
142463;1;3;12;2;12;45;46;4645;1;4;1;07;19;19;160,128742930803
142466;1;1;10;2;14;51;56;5611;5;2;1;07;73;73;804,18265333877
142466;1;2;8;2;14;33;56;5611;1;2;1;07;73;73;804,18265333877
142470;1;1;14;2;14;53;56;5611;1;3;1;07;76;76;1465,75835313637
142470;1;3;13;2;13;79;31;3110;1;4;1;07;76;76;1465,75835313637
142470;1;5;13;2;13;79;31;3110;1;4;1;07;76;76;1465,75835313637
142471;1;2;12;2;12;53;56;5611;1;4;1;07;73;73;291,639389583171
142473;1;1;12;2;16;77;56;5619;5;2;1;07;63;63;65,3944543755923
142473;1;2;10;2;16;55;81;8121;4;1;1;07;63;63;65,3944543755923
142473;1;3;4;2;4;59;47;4774;4;1;1;07;63;63;65,3944543755923
142477;1;2;15;2;15;45;47;4789;4;1;1;07;76;76;1028,93745751183
142479;1;1;4;2;12;79;14;1410;1;2;1;07;05;05;1568,50261354577
142479;1;4;8;2;12;53;10;1081;1;2;1;07;05;05;1568,50261354577
142487;1;3;12;2;12;45;47;4771;1;3;1;07;73;73;140,822998192784
142495;1;1;2;2;14;45;56;5619;4;1;1;07;63;63;108,996900490288
142496;1;1;12;2;2;98;49;4921;4;1;1;07;23;23;283,117232491389
142506;1;4;6;2;15;59;87;8730;1;3;1;07;19;19;228,958992335533
142511;1;1;16;2;16;98;49;4921;4;1;1;07;50;50;229,017785379033
142518;1;2;14;2;14;59;97;9700;3;1;1;07;63;63;52,8881736351348
142520;1;3;16;2;16;39;86;8610;1;8;1;07;13;13;360,426323219756
142532;1;2;32;2;52;53;56;5630;1;3;1;07;63;63;73,3001785941892
142533;1;3;6;2;15;98;49;4921;4;1;1;07;19;19;227,846809091307
142536;1;3;52;1; ; ; ; ; ; ;1;07;52;52;116,123585250232
142539;1;7;1;1; ; ; ; ; ; ;1;07;44;44;65,682893368405
142545;1;3;15;2;15;17;90;9007;4;1;1;07;73;73;341,074717734868
142545;1;4;24;1; ; ; ; ; ; ;1;07;73;73;341,074717734868
142550;1;3;4;2;96;45;47;4771;1;4;1;07;73;73;271,395846925625
142550;1;4;5;2;144;45;10;1081;1;4;1;07;73;73;271,395846925625
142552;1;2;12;2;12;53;56;5611;1;2;1;07;50;50;371,855622186456
142566;1;2;8;2;10;13;85;8513;4;1;1;07;47;47;59,6004895174947
142570;1;2;16;2;16;55;81;8121;4;1;1;07;41;41;70,3854303231975
142579;1;1;6;2;15;55;81;8121;4;2;1;07;19;19;154,766079868379
142579;1;2;2;2;2;62;01;0123;4;3;1;07;19;19;154,766079868379
142580;1;1;10;2;16;55;81;8121;4;1;1;07;54;54;212,79486826564
142585;1;2;7;2;11;06;86;8622;1;9;1;07;47;47;55,9048313825707
142587;1;1;4;2;14;45;31;3110;1;3;1;07;73;73;456,61392620496
142591;1;1;16;2;16;55;81;8121;4;1;1;07;41;41;86,040531994249
142593;1;1;8;2;8;84;45;4520;4;1;1;07;44;44;74,7413937322319
142594;1;4;2;1; ; ; ; ; ; ;1;07;18;18;65,6250519599514
142594;1;5;1;1; ; ; ; ; ; ;1;07;18;18;65,6250519599514
142600;1;4;8;2;16;37;53;5320;1;1;1;07;20;20;132,13933952868
142600;1;6;1;1; ; ; ; ; ; ;1;07;20;20;132,13933952868
142606;1;3;9;2;10;58;80;8010;1;8;1;07;17;17;152,629967763521
142612;1;2;16;2;16;55;85;8530;1;5;1;07;41;41;122,267182097932
142616;1;4;5;2;12;32;93;9329;1;4;1;07;47;47;79,7334429624026
142616;1;5;4;2;12;18;93;9329;1;4;1;07;47;47;79,7334429624026
142618;1;2;12;2;12;58;80;8010;1;3;1;07;19;19;149,217162742322
142621;1;3;12;1; ; ; ; ; ; ;1;07;54;54;195,763587889445
